#wvl [um]      Flux [erg/s/cm]
11             12308.4039        
10.99697583    12312.7712        
10.99395333    12317.1382        
10.99093248    12321.5046        
10.9879133     12325.8707        
10.98489577    12330.2364        
10.9818799     12334.6016        
10.97886568    12338.9664        
10.97585312    12343.3308        
10.97284222    12347.6948        
10.96983296    12352.0584        
10.96682535    12356.4215        
10.9638194     12360.7843        
10.96081509    12365.1466        
10.95781242    12369.5085        
10.9548114     12373.8699        
10.95181203    12378.231         
10.94881429    12382.5916        
10.9458182     12386.9518        
10.94282375    12391.3116        
10.93983093    12395.6709        
10.93683975    12400.0298        
10.93385021    12404.3883        
10.9308623     12408.7464        
10.92787602    12413.1041        
10.92489137    12417.4613        
10.92190836    12421.8181        
10.91892697    12426.1745        
10.91594721    12430.5304        
10.91296907    12434.8859        
10.90999256    12439.241         
10.90701767    12443.5957        
10.90404441    12447.9499        
10.90107276    12452.3037        
10.89810274    12456.657         
10.89513433    12461.01          
10.89216754    12465.3625        
10.88920237    12469.7145        
10.8862388     12474.0662        
10.88327686    12478.4174        
10.88031652    12482.7682        
10.87735779    12487.1185        
10.87440067    12491.4684        
10.87144516    12495.8178        
10.86849126    12500.1669        
10.86553896    12504.5155        
10.86258826    12508.8636        
10.85963916    12513.2113        
10.85669167    12517.5586        
10.85374578    12521.9054        
10.85080148    12526.2518        
10.84785878    12530.5978        
10.84491768    12534.9433        
10.84197817    12539.2884        
10.83904025    12543.633         
10.83610393    12547.9772        
10.83316919    12552.321         
10.83023605    12556.6643        
10.82730449    12561.0072        
10.82437452    12565.3496        
10.82144614    12569.6916        
10.81851934    12574.0331        
10.81559412    12578.3742        
10.81267048    12582.7149        
10.80974843    12587.0551        
10.80682795    12591.3948        
10.80390905    12595.7341        
10.80099173    12600.073         
10.79807598    12604.4114        
10.7951618     12608.7494        
10.7922492     12613.0869        
10.78933817    12617.4239        
10.78642871    12621.7605        
10.78352082    12626.0967        
10.7806145     12630.4324        
10.77770974    12634.7677        
10.77480654    12639.1025        
10.77190491    12643.4369        
