#wvl [um]        modulation
11               0.024005917       
10.9969758       0.0241397065      
10.9939533       0.0242249296      
10.9909325       0.0241330882      
10.9879133       0.0246380306      
10.9848958       0.0240952829      
10.9818799       0.0240570794      
10.9788657       0.0240676805      
10.9758531       0.0242594808      
10.9728422       0.0240042694      
10.969833        0.0244423948      
10.9668254       0.0239972737      
10.9638194       0.0241134554      
10.9608151       0.0240815151      
10.9578124       0.0240004894      
10.9548114       0.024029513       
10.951812        0.0242899859      
10.9488143       0.0240302552      
10.9458182       0.0240807221      
10.9428237       0.0243386712      
10.9398309       0.0241261104      
10.9368398       0.0240135162      
10.9338502       0.0246484415      
10.9308623       0.0242892433      
10.927876        0.02406117        
10.9248914       0.0240488065      
10.9219084       0.0240056763      
10.918927        0.0240206856      
10.9159472       0.0241323114      
10.9129691       0.0244322965      
10.9099926       0.0240353453      
10.9070177       0.0242273251      
10.9040444       0.0240188681      
10.9010728       0.0241075842      
10.8981027       0.0240215667      
10.8951343       0.024029094       
10.8921675       0.0240410046      
10.8892024       0.0241294908      
10.8862388       0.0241584665      
10.8832769       0.0245053774      
10.8803165       0.0240636642      
10.8773578       0.0240547385      
10.8744007       0.0240165841      
10.8714452       0.0242199446      
10.8684913       0.0240638326      
10.865539        0.0240468593      
10.8625883       0.0240104407      
10.8596392       0.024007457       
10.8566917       0.0242133898      
10.8537458       0.0240231722      
10.8508015       0.0240973615      
10.8478588       0.0241370548      
10.8449177       0.0241826204      
10.8419782       0.0240065512      
10.8390403       0.0240406931      
10.8361039       0.024184645       
10.8331692       0.0241550007      
10.830236        0.0241173353      
10.8273045       0.0241301515      
10.8243745       0.0240058201      
10.8214461       0.024065271       
10.8185193       0.0240130574      
10.8155941       0.0240453475      
10.8126705       0.0240366959      
10.8097484       0.0240128582      
10.806828        0.0240259032      
10.8039091       0.0244842504      
10.8009917       0.0241796995      
10.798076        0.0240923682      
10.7951618       0.024006388       
10.7922492       0.024251312       
10.7893382       0.0242110775      
10.7864287       0.0240121719      
10.7835208       0.0241571374      
10.7806145       0.0243545195      
10.7777097       0.0241018876      
10.7748065       0.0240525855      
10.7719049       0.0240836537      
10.7690048       0.0241266829      
10.7661063       0.0241563956      
10.7632094       0.0242392979      
10.760314        0.0241635966      
10.7574202       0.0240656639      
10.7545279       0.0240868808      
10.7516372       0.024301904       
10.748748        0.0240462752      
10.7458604       0.024165888       
10.7429743       0.0241999582      
10.7400898       0.0240419693      
10.7372069       0.0240945461      
10.7343254       0.024154662       
10.7314456       0.0240364908      
10.7285672       0.024182724       
10.7256905       0.0240224643      
10.7228152       0.0240120532      
10.7199415       0.0240237369      
10.7170694       0.0241127917      
10.7141987       0.0240967214      
10.7113297       0.0241161125      
10.7084621       0.0241266186      
10.7055961       0.0243431046      
10.7027316       0.0240163545      
10.6998687       0.0240619851      
10.6970073       0.0242744267      
10.6941474       0.024220181       
10.691289        0.0240062323      
10.6884322       0.0242115016      
10.6855769       0.0241454538      
10.6827231       0.0240144858      
10.6798709       0.0240951158      
10.6770201       0.0240425605      
10.6741709       0.0240018538      
10.6713232       0.0242632212      
10.6684771       0.0242735008      
10.6656324       0.0240377998      
10.6627893       0.0241667269      
10.6599477       0.02412507        
10.6571076       0.0240146928      
10.654269        0.0246799824      
10.6514319       0.0240352883      
10.6485963       0.0240402455      
10.6457623       0.0240348223      
10.6429297       0.0247858238      
10.6400987       0.0240948415      
10.6372691       0.0240660583      
10.6344411       0.0241359954      
10.6316146       0.0240743887      
10.6287895       0.02403349        
10.625966        0.0240344825      
10.623144        0.0240284781      
10.6203234       0.0240268289      
10.6175044       0.0241080927      
10.6146869       0.0244656705      
10.6118708       0.0241038764      
10.6090563       0.0241686694      
10.6062432       0.0240557036      
10.6034317       0.0240436899      
10.6006216       0.0240477216      
10.597813        0.0241054594      
10.5950059       0.0248890753      
10.5922003       0.0241578546      
10.5893962       0.0240887579      
10.5865935       0.0240181727      
10.5837924       0.0242846204      
10.5809927       0.0242823788      
10.5781945       0.0241714602      
10.5753978       0.0242797371      
10.5726025       0.0240423713      
10.5698088       0.0242240655      
10.5670165       0.0241966634      
10.5642257       0.0245059294      
10.5614364       0.0246041452      
10.5586485       0.024162493       
10.5558621       0.0242668051      
10.5530772       0.0242814419      
10.5502937       0.0244187706      
10.5475117       0.0240240802      
10.5447312       0.0241189196      
10.5419522       0.024205232       
