#wvl [um]      Flux [erg/s/cm]
11             15690.8188        
10.99697583    12763.5023        
10.99395333    11193.6962        
10.99093248    12195.4041        
10.9879133     8797.70965        
10.98489577    13131.7184        
10.9818799     13770.5848        
10.97886568    13821.4593        
10.97585312    11528.7889        
10.97284222    13821.1299        
10.96983296    11863.945         
10.96682535    15665.7544        
10.9638194     13547.1528        
10.96081509    13751.4322        
10.95781242    15388.5691        
10.9548114     15077.6214        
10.95181203    11405.4499        
10.94881429    15229.1483        
10.9458182     13949.0629        
10.94282375    10138.3639        
10.93983093    13800.4137        
10.93683975    15234.8331        
10.93385021    8776.59623        
10.9308623     13196.9321        
10.92787602    14957.0242        
10.92489137    15201.3958        
10.92190836    15492.0547        
10.91892697    15574.999         
10.91594721    13338.4762        
10.91296907    10390.7394        
10.90999256    15266.1657        
10.90701767    11457.4538        
10.90404441    15120.2821        
10.90107276    13501.6929        
10.89810274    14386.2636        
10.89513433    13880.269         
10.89216754    15283.3198        
10.88920237    14470.2239        
10.8862388     13530.6602        
10.88327686    9451.29067        
10.88031652    14682.3528        
10.87735779    14446.9092        
10.87440067    15162.4727        
10.87144516    11617.4008        
10.86849126    14701.254         
10.86553896    15500.1145        
10.86258826    15940.969         
10.85963916    15996.0829        
10.85669167    14357.5464        
10.85374578    12574.27          
10.85080148    14839.1459        
10.84785878    14166.4783        
10.84491768    12015.7614        
10.84197817    15828.27          
10.83904025    15213.611         
10.83610393    14773.5751        
10.83316919    12518.4798        
10.83023605    14039.2407        
10.82730449    12510.1596        
10.82437452    15872.5834        
10.82144614    13468.6769        
10.81851934    15645.3007        
10.81559412    15710.4078        
10.81267048    15486.9769        
10.80974843    15712.3846        
10.80682795    15937.2601        
10.80390905    10789.0954        
10.80099173    13057.5531        
10.79807598    13770.608         
10.7951618     15984.8631        
10.7922492     14395.6457        
10.78933817    12987.0894        
10.78642871    15789.4244        
10.78352082    12761.3848        
10.7806145     12068.5759        
10.77770974    14482.7888        
10.77480654    14971.2046        
10.77190491    15464.6648        
10.76900485    13532.4146        
10.76610634    13145.6953        
10.76320939    11533.3302        
10.76031401    14204.1487        
10.75742018    14279.5689        
10.7545279     14584.3296        
10.75163718    13798.8456        
10.74874802    15114.2473        
10.7458604     14543.2623        
10.74297434    11630.0292        
10.74008983    14574.3065        
10.73720686    12703.2365        
10.73432545    13932.7368        
10.73144557    15069.1507        
10.72856725    11274.5783        
10.72569047    14118.3858        
10.72281523    15721.2941        
10.71994153    15878.4278        
10.71706937    13532.8049        
10.71419875    14640.8774        
10.71132967    13074.4888        
10.70846212    13030.7065        
10.70559611    13741.7878        
10.70273163    15815.0777        
10.69986868    14732.0935        
10.69700727    13392.1251        
10.69414738    13660.5601        
10.69128903    16225.2053        
10.6884322     12190.4508        
10.6855769     12667.2797        
10.68272312    16042.4711        
10.67987087    14569.131         
10.67702014    15304.2676        
10.67417093    16315.2116        
10.67132324    11111.6441        
10.66847707    10935.2523        
10.66563242    15257.4818        
10.66278929    11982.3332        
10.65994767    12767.7026        
10.65710756    16351.0355        
10.65426897    9469.43296        
10.65143189    15688.5445        
10.64859632    15775.2218        
10.64576226    16070.4667        
10.64292971    8852.78086        
10.64009866    14323.394         
10.63726912    14930.8024        
10.63444109    14941.9573        
10.63161456    14340.3651        
10.62878953    15672.2715        
10.625966      14490.7156        
10.62314397    15850.5073        
10.62032344    15753.9286        
10.6175044     13971.7107        
10.61468687    10996.8182        
10.61187082    15020.6316        
10.60905628    14096.2157        
10.60624322    15250.5908        
10.60343166    15439.8145        
10.60062158    15760.1837        
10.597813      15501.0142        
10.5950059     8731.9542         
10.59220029    13114.122         
10.58939616    15305.7418        
10.58659352    15956.3811        
10.58379237    10714.8642        
10.58099269    10551.1865        
10.57819449    14145.1528        
10.57539778    11073.1758        
10.57260254    14540.3208        
10.56980878    11436.3356        
10.5670165     12439.7768        
10.56422569    11136.2724        
10.56143636    10612.3698        
10.55864849    13076.9419        
10.5558621     12358.366         
10.55307718    14268.8886        
10.55029373    12312.3117        
10.54751175    16486.755         
10.54473123    14463.9209        
10.54195218    15189.5598        
10.53917459    12673.0124        
10.53639847    14487.1268        
10.53362381    11044.9481        
10.53085061    13410.1332        
10.52807886    16204.5413        
10.52530858    16130.2389        
10.52253976    15423.8429        
10.51977239    14741.1562        
10.51700648    16767.2321        
10.51424202    11417.7589        
10.51147901    13737.4535        
10.50871746    14859.8518        
10.50595736    13276.179         
10.5031987     15857.0828        
10.5004415     15482.6045        
10.49768574    15390.0591        
10.49493143    15826.6679        
10.49217856    15147.8074        
10.48942713    11320.0799        
10.48667715    14979.8806        
10.48392861    14349.5486        
10.48118152    14015.5485        
10.47843586    11973.4704        
10.47569163    12935.731         
10.47294885    13527.7726        
10.4702075     14921.9013        
10.46746759    16435.8826        
10.46472911    12319.1424        
10.46199206    12509.5145        
10.45925644    15957.6799        
10.45652226    14284.457         
10.4537895     14600.7879        
10.45105817    10498.3445        
10.44832827    12627.974         
10.44559979    15963.2153        
10.44287274    16051.5926        
10.44014711    9555.74592        
10.43742291    10303.4641        
10.43470012    11583.6875        
10.43197876    11740.8558        
10.42925881    8786.12028        
10.42654028    14758.5035        
10.42382317    13937.1115        
10.42110748    16008.3355        
10.4183932     11108.4224        
10.41568033    15313.0752        
10.41296888    14527.5167        
10.41025884    14495.3396        
10.4075502     12937.5084        
10.40484298    9185.84258        
10.40213717    15080.1544        
10.39943276    16919.5139        
10.39672976    15657.49          
10.39402816    13131.8419        
10.39132796    16005.981         
10.38862917    16312.5952        
10.38593178    15500.7068        
10.38323579    15067.2505        
10.3805412     14801.0876        
10.37784801    12502.4262        
10.37515622    14753.1754        
10.37246582    16704.0345        
10.36977681    15355.7324        
10.3670892     10591.0255        
10.36440299    15489.3119        
10.36171816    13772.0049        
10.35903473    12794.0114        
10.35635268    16216.2132        
10.35367202    15621.0891        
10.35099275    16017.5123        
10.34831487    16354.119         
10.34563837    16165.1797        
10.34296326    12683.4596        
10.34028953    16127.4656        
10.33761718    10804.5111        
10.33494621    15438.6112        
10.33227662    15097.5552        
10.32960841    11536.94          
10.32694158    12601.3999        
10.32427613    16876.7859        
10.32161205    16682.6826        
10.31894934    12022.7893        
10.31628801    16598.9816        
10.31362805    17165.4914        
10.31096947    15752.2876        
10.30831225    13458.8671        
10.3056564     13783.2453        
10.30300192    10729.3416        
10.30034881    16700.0388        
10.29769706    16244.0344        
10.29504668    14341.3164        
10.29239766    13640.2397        
10.28975001    16674.3975        
10.28710371    17138.6519        
10.28445878    14196.0816        
10.28181521    13721.2326        
10.27917299    16707.271         
10.27653214    10044.8185        
10.27389264    14749.3402        
10.27125449    15677.6395        
10.2686177     16006.5501        
10.26598227    15320.5362        
10.26334818    16341.9767        
10.26071545    13802.3159        
10.25808407    16604.7859        
10.25545404    16485.4736        
10.25282535    17301.3739        
10.25019802    17000.1766        
10.24757202    16178.8052        
10.24494738    14963.7292        
10.24232408    15553.5227        
10.23970212    15913.3547        
10.2370815     16791.9092        
10.23446223    17380.6045        
10.23184429    16292.1199        
10.22922769    16553.7872        
10.22661243    9298.42344        
10.22399851    16529.2614        
10.22138593    15559.4197        
10.21877468    16549.558         
10.21616476    10536.191         
10.21355617    11356.5611        
10.21094892    16802.6977        
10.208343      17145.8818        
10.20573841    17380.9688        
10.20313515    16095.1139        
10.20053321    14178.9877        
10.1979326     17385.3576        
10.19533332    17373.2022        
10.19273536    11407.8864        
10.19013872    16702.7671        
10.18754341    16221.5297        
10.18494942    17488.3802        
10.18235675    16816.9047        
10.1797654     16335.4093        
10.17717537    16334.6002        
10.17458666    11376.1045        
10.17199926    14554.6462        
10.16941318    14811.2398        
10.16682841    17103.8523        
10.16424496    14684.7612        
10.16166282    13938.2929        
10.15908199    17096.6934        
10.15650247    16920.6812        
10.15392426    17327.0087        
10.15134736    17304.8961        
10.14877177    9736.73837        
10.14619748    13300.5946        
10.1436245     17382.0187        
10.14105283    16372.2014        
10.13848245    17182.3425        
10.13591338    14471.3845        
10.13334562    16724.4559        
10.13077915    16149.3498        
10.12821398    15873.1676        
10.12565011    16463.3819        
10.12308754    17184.7341        
10.12052627    17344.9203        
10.11796629    15503.1591        
10.1154076     16788.34          
10.11285021    11631.2773        
10.11029412    16256.9021        
10.10773931    16481.0111        
10.1051858     16682.1763        
10.10263357    17577.0373        
10.10008264    14735.1793        
10.09753299    15540.0204        
10.09498463    15983.8826        
10.09243755    14406.9411        
10.08989176    16062.5107        
10.08734726    14983.837         
10.08480403    16165.8151        
10.08226209    12977.4512        
10.07972143    15295.7948        
10.07718205    15107.6373        
10.07464395    16536.8799        
10.07210713    15425.0294        
10.06957159    14631.9535        
10.06703732    11315.8425        
10.06450432    13468.1604        
10.0619726     15990.6431        
10.05944216    16985.3038        
10.05691298    13256.2066        
10.05438508    16815.4832        
10.05185845    12082.2637        
10.04933309    17011.5588        
10.046809      15951.87          
10.04428617    17636.152         
10.04176461    17058.9445        
10.03924432    9222.62457        
10.03672529    17475.5634        
10.03420753    17068.569         
10.03169102    16458.4352        
10.02917578    16020.1867        
10.02666181    13547.3008        
10.02414909    12638.094         
10.02163763    15026.4634        
10.01912743    16159.9159        
10.01661848    12956.9819        
10.01411079    17245.5436        
10.01160436    13531.0182        
10.00909918    17155.4575        
10.00659526    15361.5076        
10.00409258    17973.0217        
10.00159116    15655.4595        
9.999090992    16313.4314        
9.996592071    13643.7052        
9.994094399    17704.0613        
9.991597974    14270.9593        
9.989102797    13896.1652        
9.986608865    17088.6327        
9.984116179    16904.8234        
9.981624736    16248.8058        
9.979134537    16874.2813        
9.97664558     17792.8364        
9.974157864    17556.7089        
9.971671388    13850.7628        
9.969186152    17846.9619        
9.966702154    16318.1625        
9.964219394    14574.6865        
9.96173787     16311.0947        
9.959257583    13729.7645        
9.95677853     16669.0782        
9.95430071     17634.095         
9.951824124    12557.7956        
9.94934877     17467.6698        
9.946874647    17889.08          
9.944401754    17329.4134        
9.94193009     18102.4225        
9.939459655    17189.1952        
9.936990447    15873.3645        
9.934522466    17738.6134        
9.93205571     17755.9025        
9.929590179    15623.6112        
9.927125871    16976.1874        
9.924662787    15891.7777        
9.922200925    17573.1506        
9.919740283    16029.9171        
9.917280862    17036.3208        
9.91482266     14398.8963        
9.912365676    14865.0618        
9.90990991     17454.3706        
9.90745536     16367.7716        
9.905002026    14484.6006        
9.902549907    17900.2179        
9.900099001    14563.9162        
9.897649308    12904.2618        
9.895200828    10415.2354        
9.892753558    11500.6502        
9.890307499    17597.8172        
9.887862649    14196.7787        
9.885419007    11001.298         
9.882976573    12807.9487        
9.880535345    17325.0922        
9.878095324    17212.3763        
9.875656507    18020.771         
9.873218894    18085.1507        
9.870782484    13923.141         
9.868347276    10206.3208        
9.86591327     16427.388         
9.863480464    17971.8731        
9.861048857    13641.4736        
9.858618449    16755.6622        
9.856189239    10517.571         
9.853761225    17779.1014        
9.851334408    17938.9736        
9.848908786    17733.9864        
9.846484358    17932.5953        
9.844061123    10252.7717        
9.84163908     17484.6313        
9.839218229    16131.9272        
9.836798569    14818.2137        
9.834380099    14914.0896        
9.831962817    18160.442         
9.829546724    16703.1734        
9.827131818    15910.2574        
9.824718098    13741.8378        
9.822305563    16531.4239        
9.819894213    10668.6323        
9.817484047    16568.701         
9.815075063    13827.093         
9.812667261    16939.2089        
9.810260641    14231.3124        
9.8078552      15781.0452        
9.805450939    9364.68797        
9.803047857    18149.0636        
9.800645952    17351.9205        
9.798245223    17581.7359        
9.795845671    17234.9357        
9.793447293    17447.6833        
9.79105009     17871.536         
9.78865406     14147.0325        
9.786259202    16152.873         
9.783865516    14510.1239        
9.781473001    17669.6271        
9.779081655    16475.7553        
9.776691479    16687.4054        
9.77430247     14329.5577        
9.771914629    16934.9686        
9.769527954    18157.906         
9.767142445    17710.5602        
9.7647581      14881.1933        
9.76237492     17119.3714        
9.759992902    17134.6011        
9.757612046    9377.14185        
9.755232352    17732.781         
9.752853818    18048.4212        
9.750476444    18135.4023        
9.748100228    16759.5677        
9.745725171    17443.7434        
9.74335127     17711.0219        
9.740978526    17222.0075        
9.738606937    17884.6658        
9.736236502    17944.1561        
9.733867221    15224.0891        
9.731499093    18443.9588        
9.729132117    16530.4387        
9.726766292    17592.323         
9.724401618    16654.0055        
9.722038093    17981.3           
9.719675716    17544.8055        
9.717314488    17861.7542        
9.714954406    15306.4268        
9.71259547     17084.4277        
9.71023768     17895.4132        
9.707881034    17623.5827        
9.705525532    16007.5448        
9.703171173    13423.2833        
9.700817955    17683.5755        
9.698465879    16193.0232        
9.696114943    17989.8503        
9.693765147    17306.878         
9.691416489    16462.6172        
9.689068969    13383.9158        
9.686722585    16965.4826        
9.684377339    17319.9096        
9.682033227    14523.2298        
9.67969025     15016.9315        
9.677348407    16938.1554        
9.675007696    14801.043         
9.672668118    17781.9194        
9.67032967     18302.5132        
9.667992353    13865.4366        
9.665656166    15942.2707        
9.663321108    18378.7113        
9.660987177    11951.4417        
9.658654374    16307.0256        
9.656322697    16963.5012        
9.653992145    17574.0104        
9.651662718    17874.804         
9.649334415    14203.8407        
9.647007235    18243.1454        
9.644681178    13230.5359        
9.642356241    16217.4397        
9.640032426    17013.1942        
9.63770973     13903.7676        
9.635388153    18542.9           
9.633067694    17624.8607        
9.630748353    17578.8546        
9.628430128    11450.2438        
9.626113019    18743.9389        
9.623797025    15915.0089        
9.621482146    16757.1153        
9.619168379    16273.9826        
9.616855725    13242.1799        
9.614544183    16022.2765        
9.612233752    14003.0798        
9.609924431    16202.0047        
9.607616219    14075.648         
9.605309116    17425.2076        
9.603003121    15992.7066        
9.600698233    13364.5957        
9.59839445     13505.6973        
9.596091774    16460.3627        
9.593790201    17810.0399        
9.591489733    15698.2643        
9.589190367    18345.4645        
9.586892104    14476.1784        
9.584594942    12664.3846        
9.582298881    18304.9404        
9.580003919    18445.8506        
9.577710057    18004.7724        
9.575417292    11849.0626        
9.573125626    18369.5102        
9.570835055    16579.1421        
9.568545581    18396.117         
9.566257202    17170.6549        
9.563969917    13258.3968        
9.561683726    12706.4021        
9.559398627    17051.9505        
9.55711462     14063.8085        
9.554831705    18341.4084        
9.55254988     18949.4536        
9.550269144    16964.3297        
9.547989497    12410.7068        
9.545710939    18865.6791        
9.543433467    13702.0955        
9.541157082    11245.2321        
9.538881783    17915.2621        
9.536607569    18319.9594        
9.534334438    18298.0834        
9.532062392    17047.3997        
9.529791428    13254.3147        
9.527521545    18030.5094        
9.525252744    18674.5995        
9.522985023    15555.7568        
9.520718381    17943.4294        
9.518452819    17628.2264        
