#wvl [um]        modulation
11               0.0239964897      
10.9969758       0.0240870601      
10.9939533       0.0241743069      
10.9909325       0.0241291162      
10.9879133       0.0244577122      
10.9848958       0.0240568561      
10.9818799       0.0240124205      
10.9788657       0.0240471986      
10.9758531       0.0241591548      
10.9728422       0.0240035664      
10.969833        0.0241888279      
10.9668254       0.0239945946      
10.9638194       0.0241349194      
10.9608151       0.0240713859      
10.9578124       0.0239969525      
10.9548114       0.0240237094      
10.951812        0.024148309       
10.9488143       0.0240156627      
10.9458182       0.0240527377      
10.9428237       0.0242459653      
10.9398309       0.0240435655      
10.9368398       0.0240146977      
10.9338502       0.0244775404      
10.9308623       0.0241395229      
10.927876        0.0240148312      
10.9248914       0.0240245121      
10.9219084       0.0240059766      
10.918927        0.024007503       
10.9159472       0.0241754829      
10.9129691       0.0242860463      
10.9099926       0.0240352482      
10.9070177       0.0241583924      
10.9040444       0.0240081097      
10.9010728       0.0240490747      
10.8981027       0.0240245218      
10.8951343       0.0240181027      
10.8921675       0.0240510318      
10.8892024       0.0240617683      
10.8862388       0.024122563       
10.8832769       0.0243253536      
10.8803165       0.0240730699      
10.8773578       0.02401852        
10.8744007       0.024020815       
10.8714452       0.0241500606      
10.8684913       0.0240290139      
10.865539        0.0240168969      
10.8625883       0.0239979981      
10.8596392       0.0240041178      
10.8566917       0.0240552348      
10.8537458       0.0240194729      
10.8508015       0.0240622599      
10.8478588       0.0240738339      
10.8449177       0.0241620072      
10.8419782       0.0239982518      
10.8390403       0.0240156884      
10.8361039       0.0240567424      
10.8331692       0.0241355917      
10.830236        0.0240469509      
10.8273045       0.0241198826      
10.8243745       0.0240004552      
10.8214461       0.0240906476      
10.8185193       0.0240012638      
10.8155941       0.0240164271      
10.8126705       0.0240088768      
10.8097484       0.0240115059      
10.806828        0.0240469807      
10.8039091       0.0242858007      
10.8009917       0.0241584389      
10.798076        0.02405857        
10.7951618       0.0240004151      
10.7922492       0.0240695984      
10.7893382       0.0241191999      
10.7864287       0.0240060765      
10.7835208       0.0241384747      
10.7806145       0.0241415304      
10.7777097       0.0241451193      
10.7748065       0.0240267095      
10.7719049       0.0240472347      
10.7690048       0.0240860665      
10.7661063       0.024080355       
10.7632094       0.0241769832      
10.760314        0.0240830405      
10.7574202       0.0240471774      
10.7545279       0.0240990203      
10.7516372       0.0240819177      
10.748748        0.0240390712      
10.7458604       0.0240374551      
10.7429743       0.0242271421      
10.7400898       0.0240594545      
10.7372069       0.0241469938      
10.7343254       0.0241278762      
10.7314456       0.0240158831      
10.7285672       0.0242393688      
10.7256905       0.0240120563      
10.7228152       0.0240140284      
10.7199415       0.0240100491      
10.7170694       0.0240916798      
10.7141987       0.0240456063      
10.7113297       0.024063425       
10.7084621       0.0241920162      
10.7055961       0.0240992257      
10.7027316       0.0240205108      
10.6998687       0.0240314577      
10.6970073       0.0241130589      
10.6941474       0.0240709729      
10.691289        0.0240019435      
10.6884322       0.0242378559      
10.6855769       0.0241585633      
10.6827231       0.0240109454      
10.6798709       0.0240423042      
10.6770201       0.0240200518      
10.6741709       0.0240023973      
10.6713232       0.0242000158      
