#wvl [um]      Flux [erg/s/cm]
11             15996.4347        
10.99697583    15031.5203        
10.99395333    14169.3665        
10.99093248    10419.0662        
10.9879133     10747.667         
10.98489577    15635.4799        
10.9818799     15353.9318        
10.97886568    12978.9361        
10.97585312    15060.7399        
10.97284222    14611.4123        
10.96983296    11417.3673        
10.96682535    16026.3477        
10.9638194     10427.1           
10.96081509    11819.5523        
10.95781242    15959.4209        
10.9548114     13923.7367        
10.95181203    12938.4196        
10.94881429    14590.4979        
10.9458182     13780.6577        
10.94282375    12762.2791        
10.93983093    15760.7691        
10.93683975    14507.3822        
10.93385021    10467.2056        
10.9308623     15314.3384        
10.92787602    15514.8926        
10.92489137    14137.1632        
10.92190836    14958.8207        
10.91892697    15239.9296        
10.91594721    9684.06534        
10.91296907    14583.3364        
10.90999256    14553.2724        
10.90701767    14751.8651        
10.90404441    15043.3836        
10.90107276    14547.3379        
10.89810274    13963.5967        
10.89513433    15878.0815        
10.89216754    15470.4606        
10.88920237    14739.536         
10.8862388     11126.63          
10.88327686    11997.9002        
10.88031652    12535.9803        
10.87735779    15403.479         
10.87440067    14107.2819        
10.87144516    15055.9567        
10.86849126    15592.2103        
10.86553896    14652.2476        
10.86258826    16341.3221        
10.85963916    15986.4512        
10.85669167    15839.2562        
10.85374578    13946.1879        
10.85080148    15698.8694        
10.84785878    12312.4903        
10.84491768    15769.6575        
10.84197817    16364.7801        
10.83904025    16226.7749        
10.83610393    15829.1432        
10.83316919    14309.7416        
10.83023605    16167.3304        
10.82730449    10508.5569        
10.82437452    15502.002         
10.82144614    11311.8703        
10.81851934    16265.3771        
10.81559412    15456.9788        
10.81267048    15989.6929        
10.80974843    15012.0365        
10.80682795    14582.4837        
10.80390905    9936.29781        
10.80099173    10101.4298        
10.79807598    13266.9624        
10.7951618     16189.6756        
10.7922492     16342.4948        
10.78933817    13657.1636        
10.78642871    16169.954         
10.78352082    10723.22          
10.7806145     15127.8147        
10.77770974    10962.1013        
10.77480654    15623.7974        
10.77190491    14204.6652        
10.76900485    14044.6397        
10.76610634    15350.8492        
10.76320939    14599.2718        
10.76031401    16173.8917        
10.75742018    13393.5909        
10.7545279     13855.3476        
10.75163718    16012.1865        
10.74874802    13899.2207        
10.7458604     16258.9086        
10.74297434    8978.13599        
10.74008983    12575.782         
10.73720686    10362.1569        
10.73432545    14846.0986        
