#wvl [um]        modulation
11               0.0239931427      
10.9969758       0.0240269365      
10.9939533       0.02407714        
10.9909325       0.0242453583      
10.9879133       0.0242071435      
10.9848958       0.0239996481      
10.9818799       0.0239951398      
10.9788657       0.0241189677      
10.9758531       0.0240246761      
10.9728422       0.0240315199      
10.969833        0.0242419738      
10.9668254       0.0239921981      
10.9638194       0.0243723331      
10.9608151       0.024168613       
10.9578124       0.02399603        
10.9548114       0.0240849085      
10.951812        0.0241405527      
10.9488143       0.0240804167      
10.9458182       0.024106564       
10.9428237       0.0241280604      
10.9398309       0.0239986535      
10.9368398       0.0240677191      
10.9338502       0.0242207649      
10.9308623       0.0240336218      
10.927876        0.0240263942      
10.9248914       0.024072509       
10.9219084       0.0240320584      
10.918927        0.0240295233      
10.9159472       0.024460567       
10.9129691       0.0240729374      
10.9099926       0.02416047        
10.9070177       0.0240424613      
10.9040444       0.0240383207      
10.9010728       0.0240606408      
10.8981027       0.0240870783      
10.8951343       0.0239988477      
10.8921675       0.0241059382      
10.8892024       0.0240683522      
10.8862388       0.0243333665      
10.8832769       0.0241455743      
10.8803165       0.0242216159      
10.8773578       0.0240061809      
10.8744007       0.0240844183      
10.8714452       0.0240319479      
10.8684913       0.0240224654      
10.865539        0.02403095        
10.8625883       0.0239924153      
10.8596392       0.0240162464      
10.8566917       0.0239979385      
10.8537458       0.0240665868      
10.8508015       0.0240162522      
10.8478588       0.0241581697      
10.8449177       0.0240208298      
10.8419782       0.023994822       
10.8390403       0.0239973993      
10.8361039       0.024000805       
10.8331692       0.0241645139      
10.830236        0.0239958391      
10.8273045       0.024248891       
10.8243745       0.0240085666      
10.8214461       0.0242030724      
10.8185193       0.0239977793      
10.8155941       0.0240427219      
10.8126705       0.024005007       
10.8097484       0.0240543671      
10.806828        0.0242283797      
10.8039091       0.0242972075      
10.8009917       0.0243957465      
10.798076        0.0241263342      
10.7951618       0.0240101032      
10.7922492       0.0239986491      
10.7893382       0.0241186838      
10.7864287       0.0240129508      
10.7835208       0.0242454214      
10.7806145       0.024025122       
10.7777097       0.024409415       
10.7748065       0.0241109127      
10.7719049       0.0241078282      
10.7690048       0.0241031126      
10.7661063       0.0240068204      
10.7632094       0.024048714       
10.760314        0.0240047812      
10.7574202       0.0241143202      
10.7545279       0.0241731152      
10.7516372       0.0240046635      
10.748748        0.0241146875      
10.7458604       0.0239996108      
10.7429743       0.0245495696      
10.7400898       0.0241572962      
10.7372069       0.0243053606      
10.7343254       0.0240840269      
10.7314456       0.0240046218      
10.7285672       0.0245744644      
10.7256905       0.0240385611      
10.7228152       0.0240705884      
10.7199415       0.02401915        
10.7170694       0.0241359907      
10.7141987       0.0241127037      
10.7113297       0.0240063522      
10.7084621       0.0244937333      
10.7055961       0.0240025343      
10.7027316       0.024084423       
10.6998687       0.024054431       
10.6970073       0.0240330453      
10.6941474       0.0240043181      
10.691289        0.0240097947      
10.6884322       0.0245732404      
10.6855769       0.0244063306      
10.6827231       0.024027568       
10.6798709       0.0240085654      
10.6770201       0.0239959924      
10.6741709       0.0240326387      
10.6713232       0.024188606       
10.6684771       0.0240567488      
10.6656324       0.0241154712      
10.6627893       0.0244646767      
10.6599477       0.0244393326      
10.6571076       0.0239973527      
10.654269        0.0242275553      
10.6514319       0.0240093881      
10.6485963       0.0239988342      
10.6457623       0.0239963136      
10.6429297       0.0242806333      
10.6400987       0.0240022144      
10.6372691       0.0240840928      
10.6344411       0.0239986609      
10.6316146       0.0240057706      
10.6287895       0.0241564286      
10.625966        0.0240165019      
10.623144        0.0240914843      
10.6203234       0.0241198936      
10.6175044       0.0240817295      
10.6146869       0.024056751       
10.6118708       0.0239961689      
10.6090563       0.0240706741      
10.6062432       0.0240127268      
10.6034317       0.0240156429      
10.6006216       0.0240361677      
10.597813        0.0239990599      
10.5950059       0.0243573256      
10.5922003       0.0240537206      
10.5893962       0.0239981013      
10.5865935       0.0240927189      
10.5837924       0.0241678296      
10.5809927       0.024649782       
10.5781945       0.0240117792      
10.5753978       0.0240798352      
10.5726025       0.0241547963      
10.5698088       0.0245748602      
10.5670165       0.0241203244      
10.5642257       0.0241131644      
10.5614364       0.0240799375      
10.5586485       0.0241404967      
10.5558621       0.0242938665      
10.5530772       0.024016217       
10.5502937       0.0240319102      
10.5475117       0.0239962665      
10.5447312       0.0243340902      
10.5419522       0.0240201028      
10.5391746       0.0240517337      
10.5363985       0.024400949       
10.5336238       0.0245620765      
10.5308506       0.0241052455      
10.5280789       0.0240114771      
10.5253086       0.0239986362      
10.5225398       0.0240182523      
10.5197724       0.0241504727      
10.5170065       0.024000177       
10.514242        0.0245630994      
10.511479        0.0240088561      
10.5087175       0.0240325028      
10.5059574       0.0243077865      
10.5031987       0.0240631154      
10.5004415       0.0240008358      
10.4976857       0.024170927       
10.4949314       0.0241139377      
10.4921786       0.024072891       
10.4894271       0.0241042189      
10.4866772       0.0240907279      
10.4839286       0.024255096       
10.4811815       0.0240537079      
10.4784359       0.0243729929      
10.4756916       0.0242443277      
10.4729488       0.0240781782      
10.4702075       0.0243169382      
10.4674676       0.0240667757      
10.4647291       0.0244522602      
10.4619921       0.0240283952      
10.4592564       0.0240242322      
10.4565223       0.0240949489      
10.4537895       0.024088864       
10.4510582       0.0246684504      
10.4483283       0.024144628       
10.4455998       0.0240606338      
10.4428727       0.0240952514      
10.4401471       0.024774039       
10.4374229       0.0246755298      
10.4347001       0.0245956782      
10.4319788       0.0243018084      
10.4292588       0.0244804216      
10.4265403       0.0240298433      
10.4238232       0.0243270501      
10.4211075       0.0240315464      
10.4183932       0.0240655011      
10.4156803       0.0241295632      
10.4129689       0.0240384743      
10.4102588       0.0242166175      
10.4075502       0.024251086       
10.404843        0.0245552633      
10.4021372       0.0241378225      
10.3994328       0.0239986027      
10.3967298       0.024139197       
10.3940282       0.0240750038      
10.391328        0.0241817203      
10.3886292       0.0240138651      
10.3859318       0.0240254792      
10.3832358       0.0240392064      
10.3805412       0.024200992       
10.377848        0.0241235682      
10.3751562       0.0241077279      
10.3724658       0.0240497901      
10.3697768       0.0240313448      
10.3670892       0.0245737299      
10.364403        0.0240611105      
10.3617182       0.0240955249      
10.3590347       0.024276813       
10.3563527       0.0240079488      
10.353672        0.024063316       
10.3509928       0.0243127381      
10.3483149       0.0240987267      
10.3456384       0.0240047428      
10.3429633       0.0241516178      
10.3402895       0.024000375       
10.3376172       0.0245122338      
10.3349462       0.024010841       
10.3322766       0.0240729604      
10.3296084       0.0241437469      
10.3269416       0.0240433251      
10.3242761       0.0239985464      
10.321612        0.0240042494      
10.3189493       0.0240352347      
10.316288        0.024001797       
10.3136281       0.0239994105      
10.3109695       0.0239979233      
10.3083122       0.0240122098      
10.3056564       0.0240141118      
10.3030019       0.0240859421      
10.3003488       0.0239968113      
10.2976971       0.0239983588      
10.2950467       0.0240108644      
10.2923977       0.0240077383      
10.28975         0.0240369985      
10.2871037       0.023997176       
10.2844588       0.0240140927      
10.2818152       0.0240101246      
10.279173        0.0240068726      
10.2765321       0.0241414896      
10.2738926       0.0239998876      
10.2712545       0.0239978272      
10.2686177       0.0240088447      
10.2659823       0.0239998655      
10.2633482       0.0240620835      
10.2607155       0.024302707       
10.2580841       0.0240055695      
10.255454        0.0240075386      
10.2528254       0.0240023449      
10.250198        0.0240443335      
10.247572        0.0240184732      
10.2449474       0.0240058909      
10.2423241       0.0240019446      
10.2397021       0.0240007486      
10.2370815       0.0240008967      
10.2344622       0.0239983691      
10.2318443       0.0240014299      
10.2292277       0.0240227013      
10.2266124       0.024258          
10.2239985       0.0239985777      
10.2213859       0.0239990384      
10.2187747       0.0240036971      
10.2161648       0.0241029473      
10.2135562       0.0240716707      
10.2109489       0.0239979039      
10.208343        0.0239999313      
10.2057384       0.0240102678      
10.2031351       0.0240093316      
10.2005332       0.0240732771      
10.1979326       0.0240308188      
10.1953333       0.0239996608      
10.1927354       0.0240792305      
10.1901387       0.0240067332      
10.1875434       0.0239981617      
10.1849494       0.0240082228      
10.1823568       0.0240959197      
10.1797654       0.0240116472      
10.1771754       0.0240004034      
10.1745867       0.0240616313      
10.1719993       0.0240047371      
10.1694132       0.0240108936      
10.1668284       0.0240039891      
10.164245        0.0240049198      
10.1616628       0.0240342841      
10.159082        0.0239979716      
10.1565025       0.0241047783      
10.1539243       0.0240397139      
10.1513474       0.0240024876      
10.1487718       0.0241904907      
10.1461975       0.0240204698      
10.1436245       0.0239989124      
10.1410528       0.0239998927      
10.1384825       0.0240122404      
10.1359134       0.0240127343      
10.1333456       0.0239991593      
10.1307791       0.0239995155      
10.128214        0.024008738       
10.1256501       0.0240046035      
10.1230875       0.0239990491      
10.1205263       0.0239994333      
10.1179663       0.0240012719      
10.1154076       0.0240003038      
10.1128502       0.0240574166      
10.1102941       0.0240059822      
10.1077393       0.024006503       
10.1051858       0.0239990893      
10.1026336       0.0240398673      
10.1000826       0.0240066212      
10.097533        0.0240806851      
10.0949846       0.0240067491      
10.0924376       0.0240065561      
10.0898918       0.0240295983      
10.0873473       0.0240032536      
10.084804        0.0242732381      
10.0822621       0.0240544254      
10.0797214       0.0240042193      
10.0771821       0.0240051697      
10.074644        0.0241915735      
10.0721071       0.0240052454      
10.0695716       0.0240082052      
10.0670373       0.0240881427      
10.0645043       0.0240399331      
10.0619726       0.024077193       
10.0594422       0.0240096749      
10.056913        0.0240228592      
10.0543851       0.0240408132      
10.0518585       0.0240507542      
10.0493331       0.0240091688      
10.046809        0.024040522       
10.0442862       0.0240353168      
10.0417646       0.0239986871      
10.0392443       0.0243600782      
10.0367253       0.0240227911      
10.0342075       0.0240003999      
10.031691        0.0240919474      
10.0291758       0.0240040341      
10.0266618       0.0240258314      
10.0241491       0.0240350625      
10.0216376       0.0240074836      
10.0191274       0.024003007       
10.0166185       0.0240238854      
10.0141108       0.0239985653      
10.0116044       0.0240367764      
10.0090992       0.0240242957      
10.0065953       0.0240029227      
10.0040926       0.0240003698      
10.0015912       0.0240045939      
9.99909099       0.0240009379      
9.99659207       0.0240195357      
9.9940944        0.0239991558      
9.99159797       0.0240281862      
9.9891028        0.0240361961      
9.98660887       0.0240000183      
9.98411618       0.0240009664      
9.98162474       0.0240186291      
9.97913454       0.0240071906      
9.97664558       0.0240012472      
9.97415786       0.0240033356      
9.97167139       0.0240689375      
9.96918615       0.0239989649      
9.96670215       0.024047182       
9.96421939       0.0240105405      
9.96173787       0.0240006526      
9.95925758       0.0241566704      
9.95677853       0.0240143554      
9.95430071       0.0240156198      
9.95182412       0.0241106789      
9.94934877       0.0239991399      
9.94687465       0.024000033       
9.94440175       0.0239995012      
9.94193009       0.0240079995      
9.93945965       0.0240546102      
9.93699045       0.0240022058      
9.93452247       0.02399946        
9.93205571       0.0240002613      
9.92959018       0.0240054319      
9.92712587       0.0240098501      
9.92466279       0.0241271504      
9.92220092       0.0240012019      
9.91974028       0.0240047141      
9.91728086       0.0240096503      
9.91482266       0.0240944978      
9.91236568       0.0240366613      
9.90990991       0.0241206442      
9.90745536       0.0240122881      
9.90500203       0.0240172634      
9.90254991       0.0240038226      
9.900099         0.0240625597      
9.89764931       0.0240314137      
9.89520083       0.0241779341      
9.89275356       0.024078142       
9.8903075        0.0240226986      
9.88786265       0.0240220209      
9.88541901       0.0240980278      
9.88297657       0.0240481676      
9.88053535       0.0240029373      
9.87809532       0.0240458272      
9.87565651       0.024011047       
9.87321889       0.0240431809      
9.87078248       0.0240759556      
9.86834728       0.0241596116      
9.86591327       0.0240020534      
9.86348046       0.0240025904      
9.86104886       0.0240259113      
9.85861845       0.0240903423      
9.85618924       0.0241446848      
9.85376123       0.0240782658      
9.85133441       0.0240051767      
9.84890879       0.0240793317      
9.84648436       0.0240064588      
9.84406112       0.024167238       
9.84163908       0.0240522625      
9.83921823       0.0240021168      
9.83679857       0.0240131112      
9.8343801        0.0240110122      
9.83196282       0.0240018415      
9.82954672       0.024022262       
9.82713182       0.0240060264      
9.8247181        0.0242046749      
9.82230556       0.0240058222      
9.81989421       0.0241249838      
9.81748405       0.0240050474      
9.81507506       0.02402709        
9.81266726       0.024003959       
9.81026064       0.0240130613      
9.8078552        0.0240044936      
9.80545094       0.0244224471      
9.80304786       0.0240159894      
9.80064595       0.024038848       
9.79824522       0.0240035426      
9.79584567       0.0240163077      
9.79344729       0.024043108       
9.79105009       0.0240003265      
9.78865406       0.0240336259      
9.7862592        0.0240021664      
9.78386552       0.0240214411      
9.781473         0.0240022975      
9.77908166       0.0240161216      
9.77669148       0.0240058343      
9.77430247       0.0240194728      
9.77191463       0.0240385752      
9.76952795       0.0240053791      
9.76714244       0.0240128498      
9.7647581        0.0240773232      
9.76237492       0.0240079144      
9.7599929        0.0240077354      
9.75761205       0.0244748495      
9.75523235       0.0240034681      
9.75285382       0.0240069592      
9.75047644       0.0240078657      
9.74810023       0.0240415996      
9.74572517       0.0240247584      
9.74335127       0.0240011377      
9.74097853       0.0240634882      
9.73860694       0.0240665132      
9.7362365        0.0240828065      
9.73386722       0.0240078015      
9.73149909       0.024017856       
9.72913212       0.024005172       
9.72676629       0.024001397       
9.72440162       0.0240085237      
9.72203809       0.0240016217      
9.71967572       0.024005818       
9.71731449       0.0240025317      
9.71495441       0.0240469071      
9.71259547       0.0240553766      
9.71023768       0.0240169362      
9.70788103       0.0240720457      
9.70552553       0.024004855       
9.70317117       0.0240461832      
9.70081796       0.0240008624      
9.69846588       0.0240070353      
9.69611494       0.0240042145      
9.69376515       0.0240581102      
9.69141649       0.0242464445      
9.68906897       0.0241047054      
9.68672259       0.0242424646      
9.68437734       0.0240094996      
9.68203323       0.0240156239      
9.67969025       0.0240107026      
9.67734841       0.0241232743      
9.6750077        0.0240220562      
9.67266812       0.0240752646      
9.67032967       0.0240245601      
9.66799235       0.024022664       
9.66565617       0.0240223095      
9.66332111       0.0240882283      
9.66098718       0.0240727459      
9.65865437       0.0240316034      
9.6563227        0.0240734468      
9.65399215       0.024064887       
9.65166272       0.0240169566      
9.64933442       0.0241036753      
9.64700724       0.0240056508      
9.64468118       0.02407315        
9.64235624       0.0240315397      
9.64003243       0.0240078947      
9.63770973       0.0241063899      
9.63538815       0.0240025077      
9.63306769       0.0240134604      
9.63074835       0.0240072577      
9.62843013       0.0243152889      
9.62611302       0.0240128143      
9.62379703       0.0244007262      
9.62148215       0.0240496128      
9.61916838       0.0240317309      
9.61685573       0.0241926462      
9.61454418       0.0240471976      
9.61223375       0.0240430219      
9.60992443       0.0240236994      
9.60761622       0.0240324549      
9.60530912       0.0240101689      
9.60300312       0.0240122999      
9.60069823       0.0240471288      
9.59839445       0.0240343796      
9.59609177       0.0240047167      
9.5937902        0.0240971786      
9.59148973       0.0240402395      
9.58919037       0.024004466       
9.5868921        0.024048219       
9.58459494       0.024062404       
9.58229888       0.0240065499      
9.58000392       0.0240346737      
9.57771006       0.0240072147      
9.57541729       0.0240772946      
9.57312563       0.0241196295      
9.57083506       0.0240097082      
9.56854558       0.024003468       
9.5662572        0.0240168693      
9.56396992       0.024063172       
9.56168373       0.0240596512      
9.55939863       0.024003514       
9.55711462       0.0244941058      
9.5548317        0.0240213262      
9.55254988       0.0240226368      
9.55026914       0.0240052173      
9.5479895        0.0243202516      
9.54571094       0.0240060164      
9.54343347       0.02403039        
9.54115708       0.0241309751      
9.53888178       0.0240055514      
9.53660757       0.0240090739      
9.53433444       0.024015398       
9.53206239       0.0240137302      
9.52979143       0.0244013066      
9.52752155       0.0240053876      
9.52525274       0.024112114       
9.52298502       0.0240167091      
9.52071838       0.0240102718      
9.51845282       0.0240164074      
9.51618833       0.024259951       
9.51392493       0.0240243607      
9.5116626        0.0240507946      
9.50940134       0.024014865       
9.50714116       0.0240499594      
9.50488205       0.024088614       
9.50262402       0.0240806558      
9.50036706       0.0240065835      
9.49811117       0.0240039207      
9.49585635       0.0241165068      
9.49360261       0.0241267421      
9.49134993       0.0240793834      
9.48909832       0.0240245015      
9.48684778       0.0240081558      
9.48459831       0.0240363591      
9.4823499        0.0240353594      
9.48010256       0.0245278251      
9.47785628       0.0240457391      
9.47561107       0.024106696       
9.47336692       0.0240606644      
9.47112383       0.0240551959      
