#wvl [um]      Flux [erg/s/cm]
11             13164.1389        
10.99697583    11326.7781        
10.99395333    10396.543         
10.99093248    10746.3439        
10.9879133     10419.4795        
10.98489577    11375.3429        
10.9818799     11827.5126        
10.97886568    11775.2176        
10.97585312    10582.18          
10.97284222    11833.2809        
10.96983296    10923.7097        
10.96682535    13096.6129        
10.9638194     11560.6926        
10.96081509    11543.7289        
10.95781242    12898.1965        
10.9548114     12542.2802        
10.95181203    10579.4849        
10.94881429    12687.2537        
10.9458182     12035.5589        
10.94282375    10099.2624        
10.93983093    11977.7061        
10.93683975    12691.8103        
10.93385021    10592.3269        
10.9308623     11551.9279        
10.92787602    12857.3123        
10.92489137    12613.8804        
10.92190836    12830.1024        
10.91892697    12990.2589        
10.91594721    11472.1201        
10.91296907    10254.3833        
10.90999256    12843.7594        
10.90701767    10587.6397        
10.90404441    12837.6953        
10.90107276    11995.6038        
10.89810274    12184.9869        
10.89513433    12107.9097        
10.89216754    12957.4251        
10.88920237    12381.7584        
10.8862388     11547.1171        
10.88327686    10233.2165        
10.88031652    12288.2291        
10.87735779    12578.3718        
10.87440067    12605.1142        
10.87144516    10679.7287        
10.86849126    12619.2583        
10.86553896    12807.0034        
10.86258826    13347.8506        
10.85963916    13373.0007        
10.85669167    12617.5961        
10.85374578    11062.793         
10.85080148    12459.3688        
10.84785878    11849.1718        
10.84491768    10817.607         
10.84197817    13207.5454        
10.83904025    13001.3058        
10.83610393    12810.144         
10.83316919    11101.4949        
10.83023605    12144.4528        
10.82730449    10931.5389        
10.82437452    13167.0153        
10.82144614    11370.1979        
10.81851934    13326.5933        
10.81559412    13147.3211        
10.81267048    13166.0278        
10.80974843    13018.8448        
10.80682795    13223.0747        
10.80390905    10490.3396        
10.80099173    11304.2471        
10.79807598    11983.3937        
10.7951618     13401.8085        
10.7922492     12762.8449        
10.78933817    11503.3274        
10.78642871    13344.1858        
10.78352082    11051.7087        
10.7806145     11062.9941        
10.77770974    12229.6961        
10.77480654    12793.7187        
10.77190491    12854.3276        
10.76900485    11779.227         
10.76610634    11699.7027        
10.76320939    10696.569         
10.76031401    12396.9069        
10.75742018    12141.4953        
10.7545279     12431.0919        
10.75163718    12467.6353        
10.74874802    12544.9017        
10.7458604     12835.755         
10.74297434    10730.633         
10.74008983    12044.2186        
10.73720686    11011.5774        
10.73432545    12164.1754        
10.73144557    12842.8339        
10.72856725    10575.3116        
10.72569047    11909.371         
10.72281523    13082.2246        
10.71994153    13336.7774        
10.71706937    11712.3073        
10.71419875    12545.561         
10.71132967    11248.825         
10.70846212    11309.3762        
10.70559611    12472.8417        
10.70273163    12981.1306        
10.69986868    12808.6435        
10.69700727    11997.9031        
10.69414738    12327.0421        
10.69128903    13510.5184        
10.6884322     11047.3633        
10.6855769     11156.7697        
10.68272312    13510.5121        
10.67987087    12637.7567        
10.67702014    13085.0764        
10.67417093    13469.3492        
10.67132324    10573.3012        
10.66847707    10516.0067        
10.66563242    12585.16          
10.66278929    10866.7637        
10.65994767    11316.7488        
10.65710756    13657.5876        
10.65426897    10845.8786        
10.65143189    13211.3911        
10.64859632    13418.7181        
10.64576226    13437.1575        
10.64292971    11314.8601        
10.64009866    12612.683         
10.63726912    12751.9787        
10.63444109    12785.1204        
10.63161456    12376.0815        
10.62878953    12980.3531        
10.625966      12324.3515        
10.62314397    13117.8776        
10.62032344    13051.7036        
10.6175044     12214.2818        
10.61468687    10683.7716        
10.61187082    13104.7227        
10.60905628    12325.1535        
10.60624322    13119.3986        
10.60343166    13119.8881        
10.60062158    13341.1087        
10.597813      13212.7253        
10.5950059     11644.7966        
10.59220029    11725.885         
10.58939616    13048.5005        
10.58659352    13170.5248        
10.58379237    10529.7052        
10.58099269    10578.3695        
10.57819449    12350.6264        
10.57539778    10631.2728        
10.57260254    12183.6583        
10.56980878    10813.9609        
10.5670165     11252.8703        
10.56422569    10947.1231        
10.56143636    10818.2387        
10.55864849    11675.86          
10.5558621     11098.958         
10.55307718    12553.3494        
10.55029373    11443.5729        
10.54751175    13681.9285        
10.54473123    12294.3398        
10.54195218    13181.7368        
10.53917459    11709.824         
10.53639847    12486.9935        
10.53362381    10657.2403        
10.53085061    11783.8961        
10.52807886    13536.2813        
10.52530858    13627.0419        
10.52253976    13219.4337        
10.51977239    12331.4137        
10.51700648    13917.3717        
10.51424202    10846.8309        
10.51147901    12167.6663        
10.50871746    12822.3628        
10.50595736    11507.6166        
10.5031987     13296.0276        
10.5004415     12995.4229        
10.49768574    12933.2992        
10.49493143    13085.3082        
10.49217856    12845.1389        
10.48942713    10769.9694        
10.48667715    12775.7222        
10.48392861    12109.4711        
10.48118152    12069.2159        
10.47843586    10954.0191        
10.47569163    11370.18          
10.47294885    12251.8985        
10.4702075     12657.184         
10.46746759    13662.4772        
10.46472911    11137.9903        
10.46199206    11364.6777        
10.45925644    13218.4196        
