#wvl [um]        modulation
11               0.0239761181      
10.9969758       0.0240733519      
10.9939533       0.0241662807      
10.9909325       0.0241010135      
10.9879133       0.0245174496      
10.9848958       0.0240425512      
10.9818799       0.0239913928      
10.9788657       0.0240282894      
10.9758531       0.0241680274      
10.9728422       0.0239842643      
10.969833        0.0243082577      
10.9668254       0.0239747366      
10.9638194       0.0240992877      
10.9608151       0.0240483379      
10.9578124       0.0239768687      
10.9548114       0.0240046005      
10.951812        0.0241634969      
10.9488143       0.0239964863      
10.9458182       0.0240322019      
10.9428237       0.0242516477      
10.9398309       0.0240307646      
10.9368398       0.0239954323      
10.9338502       0.0245579033      
10.9308623       0.024179149       
10.927876        0.0239956009      
10.9248914       0.0240076151      
10.9219084       0.0239858889      
10.918927        0.023988802       
10.9159472       0.0241299996      
10.9129691       0.0243004082      
10.9099926       0.0240123961      
10.9070177       0.024156253       
10.9040444       0.0239885034      
10.9010728       0.0240295965      
10.8981027       0.0240042568      
10.8951343       0.0239964991      
10.8921675       0.0240239634      
10.8892024       0.0240505294      
10.8862388       0.0241038727      
10.8832769       0.0244027419      
10.8803165       0.0240474735      
10.8773578       0.023994185       
10.8744007       0.0240014822      
10.8714452       0.0241482848      
10.8684913       0.0240074783      
10.865539        0.0239997341      
10.8625883       0.0239783958      
10.8596392       0.0239836381      
10.8566917       0.0240602376      
10.8537458       0.0239987022      
10.8508015       0.0240429912      
10.8478588       0.0240631667      
10.8449177       0.0241412121      
10.8419782       0.0239768714      
10.8390403       0.023994304       
10.8361039       0.0240550841      
10.8331692       0.0241138403      
10.830236        0.0240289877      
10.8273045       0.024089827       
10.8243745       0.0239799382      
10.8214461       0.0240609636      
10.8185193       0.0239794604      
10.8155941       0.023998194       
10.8126705       0.0239877612      
10.8097484       0.023992049       
10.806828        0.0240227873      
10.8039091       0.0243795861      
10.8009917       0.0241354947      
10.798076        0.0240376548      
10.7951618       0.0239800461      
10.7922492       0.0240961109      
10.7893382       0.0241155192      
10.7864287       0.0239827869      
10.7835208       0.0241175576      
10.7806145       0.0242124294      
10.7777097       0.0241013786      
10.7748065       0.0240006419      
10.7719049       0.0240300155      
10.7690048       0.0240681822      
10.7661063       0.024071224       
10.7632094       0.0241718585      
10.760314        0.0240748507      
10.7574202       0.0240258832      
10.7545279       0.0240661612      
10.7516372       0.0241201794      
10.748748        0.024019711       
10.7458604       0.0240266674      
10.7429743       0.024178235       
10.7400898       0.0240351122      
10.7372069       0.0240981872      
10.7343254       0.0241087068      
10.7314456       0.023993527       
10.7285672       0.0241799741      
10.7256905       0.0239945821      
10.7228152       0.0239955879      
10.7199415       0.0239904138      
10.7170694       0.0240705771      
10.7141987       0.0240297417      
10.7113297       0.0240465032      
10.7084621       0.0241309458      
10.7055961       0.0241655936      
10.7027316       0.0240018565      
10.6998687       0.024009067       
10.6970073       0.0241443021      
10.6941474       0.0240752094      
10.691289        0.0239814168      
10.6884322       0.0241789914      
10.6855769       0.0241280656      
10.6827231       0.0239892641      
10.6798709       0.0240227089      
10.6770201       0.0239980126      
10.6741709       0.0239837733      
10.6713232       0.0241991193      
10.6684771       0.0242113318      
10.6656324       0.0240202995      
10.6627893       0.0241527358      
10.6599477       0.0241183631      
10.6571076       0.0239788368      
10.654269        0.0245778839      
10.6514319       0.0239973046      
10.6485963       0.0239909522      
10.6457623       0.0239908715      
10.6429297       0.0246941144      
10.6400987       0.0240308152      
10.6372691       0.0240154838      
