#wvl [um]      Flux [erg/s/cm]
2.34521576     72456.1192        
2.34494079     72449.2597        
2.344665885    72442.3982        
2.344391044    72435.5348        
2.344116268    72428.6694        
2.343841556    72421.8019        
2.343566909    72414.9325        
2.343292326    72408.0612        
2.343017807    72401.1878        
2.342743352    72394.3125        
2.342468962    72387.4352        
2.342194636    72380.5559        
2.341920375    72373.6747        
2.341646177    72366.7914        
2.341372044    72359.9062        
2.341097975    72353.0191        
2.34082397     72346.1299        
2.340550029    72339.2388        
2.340276153    72332.3457        
2.34000234     72325.4507        
2.339728591    72318.5537        
2.339454907    72311.6547        
2.339181287    72304.7538        
2.33890773     72297.8509        
2.338634238    72290.946         
2.338360809    72284.0392        
2.338087444    72277.1305        
2.337814144    72270.2197        
2.337540907    72263.3071        
2.337267734    72256.3924        
2.336994625    72249.4759        
2.33672158     72242.5573        
2.336448598    72235.6368        
2.33617568     72228.7144        
2.335902826    72221.79          
2.335630036    72214.8637        
2.33535731     72207.9354        
2.335084647    72201.0052        
2.334812048    72194.0731        
2.334539512    72187.139         
2.33426704     72180.2029        
2.333994632    72173.265         
2.333722287    72166.325         
2.333450006    72159.3832        
2.333177788    72152.4394        
2.332905634    72145.4937        
2.332633543    72138.546         
2.332361516    72131.5964        
2.332089552    72124.6449        
2.331817652    72117.6915        
2.331545815    72110.7361        
2.331274041    72103.7788        
2.331002331    72096.8196        
2.330730684    72089.8585        
2.3304591      72082.8954        
2.33018758     72075.9304        
2.329916123    72068.9635        
2.329644729    72061.9946        
2.329373399    72055.0239        
2.329102131    72048.0512        
2.328830927    72041.0766        
2.328559786    72034.1002        
2.328288708    72027.1217        
2.328017693    72020.1414        
2.327746741    72013.1592        
2.327475852    72006.175         
2.327205027    71999.189         
2.326934264    71992.201         
2.326663564    71985.2112        
2.326392928    71978.2194        
2.326122354    71971.2257        
2.325851843    71964.2302        
2.325581395    71957.2327        
2.32531101     71950.2333        
2.325040688    71943.232         
2.324770429    71936.2289        
2.324500232    71929.2238        
2.324230099    71922.2168        
2.323960028    71915.208         
2.32369002     71908.1972        
2.323420074    71901.1846        
2.323150192    71894.17          
2.322880372    71887.1536        
2.322610614    71880.1353        
2.32234092     71873.1151        
2.322071288    71866.093         
2.321801718    71859.0691        
2.321532211    71852.0432        
2.321262767    71845.0155        
2.320993385    71837.9859        
2.320724066    71830.9544        
2.320454809    71823.921         
2.320185615    71816.8858        
2.319916483    71809.8487        
2.319647414    71802.8097        
2.319378407    71795.7688        
2.319109462    71788.726         
2.31884058     71781.6814        
2.31857176     71774.635         
2.318303002    71767.5866        
2.318034307    71760.5364        
2.317765674    71753.4843        
2.317497103    71746.4304        
2.317228595    71739.3745        
2.316960148    71732.3169        
2.316691764    71725.2573        
2.316423442    71718.1959        
2.316155182    71711.1327        
2.315886985    71704.0676        
2.315618849    71697.0006        
2.315350776    71689.9318        
2.315082764    71682.8611        
2.314814815    71675.7886        
2.314546927    71668.7142        
2.314279102    71661.638         
2.314011339    71654.5599        
2.313743637    71647.4799        
2.313475998    71640.3982        
2.31320842     71633.3145        
2.312940904    71626.2291        
2.312673451    71619.1418        
2.312406059    71612.0526        
2.312138728    71604.9616        
2.31187146     71597.8688        
2.311604253    71590.7741        
2.311337109    71583.6776        
2.311070025    71576.5793        
2.310803004    71569.4791        
2.310536044    71562.3771        
2.310269146    71555.2732        
2.31000231     71548.1675        
2.309735535    71541.06          
2.309468822    71533.9507        
2.309202171    71526.8395        
2.308935581    71519.7265        
2.308669052    71512.6117        
2.308402585    71505.4951        
2.30813618     71498.3766        
2.307869836    71491.2563        
2.307603554    71484.1342        
2.307337333    71477.0103        
2.307071173    71469.8846        
2.306805075    71462.757         
2.306539038    71455.6276        
2.306273063    71448.4964        
2.306007149    71441.3634        
2.305741296    71434.2286        
2.305475504    71427.092         
2.305209774    71419.9535        
2.304944105    71412.8133        
2.304678497    71405.6713        
2.304412951    71398.5274        
2.304147465    71391.3817        
2.303882041    71384.2343        
2.303616678    71377.085         
2.303351376    71369.9339        
2.303086135    71362.7811        
2.302820956    71355.6264        
2.302555837    71348.4699        
2.302290779    71341.3116        
2.302025783    71334.1516        
2.301760847    71326.9897        
2.301495972    71319.8261        
2.301231159    71312.6606        
2.300966406    71305.4934        
2.300701714    71298.3244        
2.300437083    71291.1536        
2.300172513    71283.981         
2.299908004    71276.8066        
2.299643555    71269.6304        
2.299379168    71262.4525        
2.299114841    71255.2728        
2.298850575    71248.0913        
2.298586369    71240.908         
2.298322225    71233.7229        
2.298058141    71226.536         
2.297794118    71219.3474        
2.297530155    71212.157         
2.297266253    71204.9648        
2.297002412    71197.7709        
2.296738631    71190.5752        
2.296474911    71183.3777        
2.296211251    71176.1784        
2.295947652    71168.9774        
2.295684114    71161.7746        
2.295420636    71154.57          
2.295157218    71147.3637        
2.294893861    71140.1556        
2.294630564    71132.9458        
2.294367328    71125.7342        
2.294104152    71118.5208        
2.293841037    71111.3057        
2.293577982    71104.0888        
2.293314987    71096.8701        
2.293052052    71089.6497        
2.292789178    71082.4276        
2.292526364    71075.2037        
2.29226361     71067.978         
2.292000917    71060.7506        
2.291738283    71053.5215        
2.29147571     71046.2906        
2.291213197    71039.0579        
2.290950745    71031.8235        
2.290688352    71024.5874        
2.290426019    71017.3495        
2.290163747    71010.1099        
2.289901534    71002.8685        
2.289639382    70995.6254        
2.289377289    22240.8099        
2.289115257    70981.134         
2.288853285    70973.8856        
2.288591372    70966.6356        
2.288329519    70959.3838        
2.288067727    70952.1303        
2.287805994    70944.875         
2.287544321    70937.618         
2.287282708    70930.3593        
2.287021155    70923.0989        
2.286759662    70915.8367        
2.286498228    70908.5728        
2.286236854    70901.3072        
2.28597554     70894.0399        
2.285714286    70886.7708        
2.285453091    70879.5           
2.285191956    70872.2275        
2.284930881    70864.9533        
2.284669865    70857.6774        
2.284408909    70850.3997        
2.284148013    70843.1203        
2.283887176    70835.8393        
2.283626399    70828.5565        
2.283365681    70821.272         
2.283105023    70813.9857        
2.282844424    70806.6978        
2.282583885    70799.4082        
2.282323405    70792.1168        
2.282062985    70784.8238        
2.281802624    70777.529         
2.281542323    70770.2326        
2.281282081    70762.9344        
2.281021898    70755.6346        
2.280761774    70748.333         
2.28050171     70741.0297        
2.280241706    70733.7248        
2.27998176     70726.4181        
2.279721874    70719.1098        
2.279462047    70711.7998        
2.279202279    70704.488         
2.278942571    70697.1746        
2.278682921    70689.8595        
2.278423331    70682.5427        
2.2781638      70675.2242        
2.277904328    70667.904         
2.277644915    70660.5821        
2.277385561    70653.2586        
2.277126267    70645.9334        
2.276867031    70638.6065        
2.276607854    70631.2779        
2.276348737    70623.9476        
2.276089678    70616.6156        
2.275830678    70609.282         
2.275571737    70601.9467        
2.275312856    70594.6097        
2.275054033    70587.271         
2.274795268    70579.9307        
2.274536563    70572.5887        
2.274277917    70565.245         
2.274019329    70557.8997        
2.2737608      70550.5527        
2.27350233     70543.204         
2.273243919    70535.8537        
2.272985567    70528.5017        
2.272727273    70521.148         
2.272469038    70513.7927        
2.272210861    70506.4357        
2.271952743    70499.077         
2.271694684    70491.7167        
2.271436684    70484.3547        
2.271178742    70476.9911        
2.270920858    70469.6258        
2.270663034    70462.2589        
2.270405267    70454.8903        
2.27014756     70447.52          
2.26988991     70440.1481        
2.26963232     70432.7746        
2.269374787    70425.3994        
2.269117313    70418.0226        
2.268859898    70410.6441        
2.268602541    70403.2639        
2.268345242    70395.8822        
2.268088002    70388.4987        
