#wvl [um]      Flux [erg/s/cm]
3.300330033    80030.866         
3.299785514    80032.9442        
3.299241175    80035.0172        
3.298697015    80037.085         
3.298153034    80039.1475        
3.297609233    80041.2048        
3.297065612    80043.2569        
3.296522169    80045.3038        
3.295978906    80047.3455        
3.295435821    80049.382         
3.294892916    80051.4132        
3.294350189    80053.4392        
3.293807642    80055.46          
3.293265273    80057.4756        
3.292723082    80059.486         
3.29218107     80061.4912        
3.291639236    80063.4911        
3.291097581    80065.4859        
3.290556104    80067.4754        
3.290014805    80069.4597        
3.289473684    80071.4389        
3.288932741    80073.4128        
3.288391976    80075.3815        
3.287851389    80077.345         
3.28731098     80079.3034        
3.286770748    80081.2565        
3.286230693    80083.2044        
3.285690816    80085.1471        
3.285151117    80087.0847        
3.284611595    80089.017         
3.28407225     80090.9441        
3.283533082    80092.8661        
3.282994091    80094.7828        
3.282455277    80096.6944        
3.281916639    80098.6008        
3.281378179    80100.502         
3.280839895    80102.398         
3.280301788    80104.2888        
3.279763857    80106.1744        
3.279226103    80108.0549        
3.278688525    80109.9301        
3.278151123    80111.8002        
3.277613897    80113.6651        
3.277076847    80115.5248        
3.276539974    80117.3794        
3.276003276    80119.2287        
3.275466754    80121.0729        
3.274930408    80122.9119        
3.274394237    80124.7458        
3.273858242    80126.5744        
3.273322422    80128.3979        
3.272786778    80130.2163        
3.272251309    80132.0294        
3.271716015    80133.8374        
3.271180896    80135.6402        
3.270645953    80137.4379        
3.270111184    80139.2304        
3.26957659     80141.0177        
3.269042171    80142.7999        
3.268507926    80144.5769        
3.267973856    80146.3487        
3.267439961    80148.1154        
3.26690624     80149.8769        
3.266372693    80151.6333        
3.265839321    80153.3845        
3.265306122    80155.1306        
3.264773098    80156.8715        
3.264240248    80158.6072        
3.263707572    80160.3379        
3.263175069    80162.0633        
3.262642741    80163.7836        
3.262110586    80165.4988        
3.261578604    80167.2088        
3.261046796    80168.9137        
3.260515161    80170.6134        
3.2599837      80172.308         
3.259452412    80173.9974        
3.258921297    80175.6817        
3.258390355    80177.3609        
