#wvl [um]      Flux [erg/s/cm]
4              74698.0474        
3.99960004     74702.1098        
3.99920016     74706.1708        
3.99880036     74710.2302        
3.99840064     74714.2882        
3.998001       74718.3446        
3.997601439    74722.3995        
3.997201959    74726.4529        
3.996802558    74730.5048        
3.996403237    74734.5552        
3.996003996    74738.6041        
3.995604835    74742.6515        
3.995205753    74746.6973        
3.994806751    74750.7417        
3.994407829    74754.7845        
3.994008987    74758.8259        
3.993610224    74762.8657        
3.99321154     74766.904         
3.992812937    74770.9408        
3.992414413    74774.9761        
3.992015968    74779.0099        
3.991617603    74783.0422        
3.991219318    74787.073         
3.990821111    74791.1022        
3.990422985    74795.13          
3.990024938    74799.1562        
3.98962697     74803.181         
3.989229081    74807.2042        
3.988831272    74811.2259        
3.988433543    74815.2461        
3.988035892    74819.2648        
3.987638321    74823.282         
3.987240829    74827.2977        
3.986843417    74831.3119        
3.986446083    74835.3246        
3.986048829    74839.3357        
3.985651654    74843.3454        
3.985254558    74847.3536        
3.984857541    74851.3602        
3.984460604    74855.3653        
3.984063745    74859.369         
3.983666965    74863.3711        
3.983270265    74867.3717        
3.982873643    74871.3708        
3.982477101    74875.3684        
3.982080637    74879.3645        
3.981684252    74883.359         
3.981287947    74887.3521        
3.98089172     74891.3437        
3.980495572    74895.3337        
3.980099502    74899.3223        
3.979703512    74903.3093        
3.9793076      74907.2949        
3.978911768    74911.2789        
3.978516014    74915.2614        
3.978120338    74919.2424        
3.977724741    74923.2219        
3.977329223    74927.1999        
3.976933784    74931.1764        
3.976538423    74935.1514        
3.976143141    74939.1249        
3.975747938    74943.0968        
3.975352813    74947.0673        
3.974957766    74951.0362        
3.974562798    74955.0037        
3.974167909    74958.9696        
3.973773098    74962.9341        
3.973378365    74966.897         
3.972983711    74970.8584        
3.972589135    74974.8183        
3.972194638    74978.7767        
3.971800218    74982.7336        
3.971405878    74986.689         
3.971011615    74990.6429        
3.970617431    74994.5953        
3.970223325    74998.5462        
3.969829297    75002.4955        
3.969435348    75006.4434        
3.969041476    75010.3898        
3.968647683    75014.3346        
3.968253968    75018.278         
3.967860331    75022.2198        
3.967466772    75026.1601        
3.967073292    75030.099         
3.966679889    75034.0363        
3.966286564    75037.9721        
3.965893317    75041.9064        
3.965500149    75045.8392        
3.965107058    75049.7705        
3.964714045    75053.7003        
3.96432111     75057.6286        
3.963928253    75061.5553        
3.963535474    75065.4806        
3.963142772    75069.4044        
3.962750149    75073.3266        
3.962357603    75077.2474        
3.961965135    75081.1666        
3.961572744    75085.0844        
3.961180432    75089.0006        
3.960788197    75092.9154        
3.96039604     75096.8286        
3.96000396     75100.7403        
3.959611958    75104.6505        
3.959220034    75108.5592        
3.958828187    75112.4664        
3.958436418    75116.3722        
3.958044726    75120.2763        
3.957653112    75124.179         
3.957261575    75128.0802        
3.956870116    75131.9799        
3.956478734    75135.8781        
3.95608743     75139.7748        
3.955696203    75143.6699        
3.955305053    75147.5636        
3.954913981    75151.4558        
3.954522986    75155.3464        
3.954132068    75159.2356        
3.953741228    75163.1232        
3.953350465    75167.0093        
3.952959779    75170.894         
3.95256917     75174.7771        
3.952178638    75178.6587        
3.951788184    75182.5389        
3.951397807    75186.4175        
3.951007507    75190.2946        
3.950617284    75194.1702        
3.950227138    75198.0443        
3.949837069    75201.9169        
3.949447077    75205.788         
3.949057163    75209.6576        
3.948667325    75213.5257        
3.948277564    75217.3923        
3.94788788     75221.2574        
3.947498273    75225.1209        
3.947108743    75228.983         
3.94671929     75232.8436        
3.946329913    75236.7026        
3.945940614    75240.5602        
3.945551391    75244.4163        
3.945162245    75248.2708        
3.944773176    75252.1239        
3.944384183    75255.9754        
3.943995267    75259.8255        
3.943606428    75263.674         
3.943217666    75267.5211        
3.94282898     75271.3666        
3.942440371    75275.2106        
3.942051838    75279.0532        
3.941663382    75282.8942        
3.941275002    75286.7337        
3.9408867      75290.5717        
3.940498473    75294.4082        
3.940110323    75298.2433        
3.93972225     75302.0768        
3.939334253    75305.9088        
3.938946332    75309.7393        
3.938558488    75313.5683        
3.93817072     75317.3958        
3.937783028    75321.2218        
3.937395413    75325.0463        
3.937007874    75328.8693        
3.936620411    75332.6908        
3.936233025    75336.5108        
3.935845715    75340.3292        
3.935458481    75344.1462        
3.935071323    75347.9617        
3.934684242    75351.7757        
3.934297236    75355.5882        
3.933910307    75359.3991        
3.933523454    75363.2086        
3.933136676    75367.0166        
3.932749975    75370.823         
3.93236335     75374.628         
3.931976801    75378.4315        
3.931590328    75382.2334        
3.931203931    75386.0339        
3.93081761     75389.8329        
3.930431365    75393.6303        
3.930045196    75397.4263        
3.929659102    75401.2207        
3.929273084    75405.0137        
3.928887143    75408.8051        
3.928501277    75412.5951        
3.928115487    75416.3835        
3.927729772    75420.1705        
3.927344134    75423.9559        
3.926958571    75427.7399        
3.926573083    75431.5223        
3.926187672    75435.3033        
3.925802336    75439.0827        
3.925417076    75442.8606        
3.925031891    75446.6371        
3.924646782    75450.412         
3.924261748    75454.1855        
3.92387679     75457.9574        
3.923491908    75461.7278        
3.923107101    75465.4968        
3.922722369    75469.2642        
3.922337713    75473.0301        
3.921953133    75476.7946        
3.921568627    75480.5575        
3.921184198    75484.3189        
3.920799843    75488.0789        
3.920415564    75491.8373        
3.92003136     75495.5942        
3.919647232    75499.3497        
3.919263179    75503.1036        
3.918879201    75506.856         
3.918495298    75510.607         
3.91811147     75514.3564        
3.917727718    75518.1043        
3.917344041    75521.8507        
3.916960439    75525.5957        
3.916576912    75529.3391        
3.91619346     75533.081         
3.915810083    75536.8215        
3.915426782    75540.5604        
3.915043555    75544.2978        
3.914660403    75548.0338        
3.914277327    75551.7682        
3.913894325    75555.5011        
3.913511398    75559.2326        
3.913128546    75562.9625        
3.912745769    75566.6909        
3.912363067    75570.4179        
3.91198044     75574.1433        
3.911597888    75577.8673        
3.91121541     75581.5897        
3.910833007    75585.3106        
3.910450679    75589.0301        
3.910068426    75592.748         
3.909686248    75596.4645        
3.909304144    75600.1794        
3.908922115    75603.8928        
3.90854016     75607.6048        
3.90815828     75611.3152        
3.907776475    75615.0242        
3.907394745    75618.7316        
3.907013088    75622.4376        
3.906631507    75626.1421        
3.90625        75629.845         
3.905868568    75633.5465        
3.90548721     75637.2464        
3.905105926    75640.9449        
3.904724717    75644.6418        
3.904343582    75648.3373        
3.903962522    75652.0313        
3.903581536    75655.7237        
3.903200625    75659.4147        
3.902819787    75663.1042        
3.902439024    75666.7922        
3.902058336    75670.4786        
3.901677721    75674.1636        
3.901297181    75677.8471        
3.900916715    75681.5291        
3.900536324    75685.2096        
3.900156006    75688.8886        
3.899775763    75692.566         
3.899395594    75696.242         
3.899015499    75699.9165        
3.898635478    75703.5895        
3.898255531    75707.261         
3.897875658    75710.931         
3.897495859    75714.5995        
3.897116134    75718.2666        
3.896736483    75721.9321        
3.896356906    75725.5961        
3.895977403    75729.2586        
3.895597974    75732.9196        
3.895218619    75736.5791        
3.894839338    75740.2372        
3.89446013     75743.8937        
3.894080997    75747.5487        
3.893701937    75751.2023        
3.893322951    75754.8543        
3.892944039    75758.5049        
3.8925652      75762.1539        
3.892186436    75765.8015        
3.891807745    75769.4475        
3.891429127    75773.0921        
3.891050584    75776.7352        
3.890672114    75780.3767        
3.890293717    75784.0168        
3.889915394    75787.6554        
3.889537145    75791.2924        
3.889158969    75794.928         
3.888780867    75798.5621        
3.888402839    75802.1947        
3.888024883    75805.8258        
3.887647002    75809.4554        
3.887269193    75813.0835        
3.886891459    75816.7101        
3.886513797    75820.3352        
3.886136209    75823.9589        
3.885758694    75827.581         
3.885381253    75831.2016        
3.885003885    75834.8207        
3.88462659     75838.4384        
3.884249369    75842.0545        
3.883872221    75845.6692        
3.883495146    75849.2823        
3.883118144    75852.894         
3.882741215    75856.5041        
3.88236436     75860.1128        
3.881987578    75863.72          
3.881610869    75867.3257        
3.881234232    75870.9298        
3.88085767     75874.5325        
3.88048118     75878.1337        
3.880104763    75881.7334        
3.879728419    75885.3316        
3.879352148    75888.9283        
3.87897595     75892.5235        
3.878599825    75896.1173        
3.878223774    75899.7095        
3.877847794    75903.3002        
3.877471888    75906.8895        
3.877096055    75910.4772        
3.876720295    75914.0635        
3.876344607    75917.6482        
3.875968992    75921.2315        
3.87559345     75924.8132        
3.875217981    75928.3935        
3.874842585    75931.9723        
3.874467261    75935.5496        
3.87409201     75939.1254        
3.873716831    75942.6997        
3.873341726    75946.2725        
3.872966692    75949.8438        
3.872591732    75953.4136        
3.872216844    75956.982         
3.871842029    75960.5488        
3.871467286    75964.1141        
3.871092616    75967.678         
3.870718018    75971.2403        
3.870343493    75974.8012        
3.86996904     75978.3606        
3.86959466     75981.9184        
3.869220352    75985.4748        
3.868846117    75989.0297        
3.868471954    75992.5831        
3.868097863    75996.135         
3.867723845    75999.6854        
3.867349898    76003.2343        
3.866976025    76006.7818        
3.866602223    76010.3277        
3.866228494    76013.8721        
3.865854837    76017.4151        
3.865481252    76020.9566        
3.86510774     76024.4965        
3.8647343      76028.035         
3.864360931    76031.572         
3.863987635    76035.1075        
3.863614411    76038.6415        
3.863241259    76042.174         
3.86286818     76045.705         
3.862495172    76049.2345        
3.862122236    76052.7625        
3.861749372    76056.2891        
3.861376581    76059.8141        
3.861003861    76063.3377        
3.860631213    76066.8597        
3.860258637    76070.3803        
3.859886133    76073.8994        
3.859513701    76077.417         
3.859141341    76080.9331        
3.858769053    76084.4477        
3.858396836    76087.9608        
3.858024691    76091.4724        
3.857652618    76094.9826        
3.857280617    76098.4912        
3.856908688    76101.9984        
3.85653683     76105.504         
3.856165044    76109.0082        
3.855793329    76112.5109        
3.855421687    76116.0121        
3.855050116    76119.5118        
3.854678616    76123.01          
3.854307188    76126.5067        
3.853935832    76130.0019        
3.853564547    76133.4957        
3.853193334    76136.9879        
3.852822192    76140.4787        
3.852451122    76143.968         
3.852080123    76147.4557        
3.851709196    76150.942         
3.85133834     76154.4268        
3.850967556    76157.9101        
3.850596843    76161.392         
3.850226201    76164.8723        
3.84985563     76168.3511        
3.849485131    76171.8285        
3.849114704    76175.3043        
3.848744347    76178.7787        
3.848374062    76182.2516        
3.848003848    76185.723         
3.847633705    76189.1929        
3.847263634    76192.6613        
3.846893633    76196.1282        
3.846523704    76199.5937        
3.846153846    76203.0576        
3.845784059    76206.5201        
3.845414343    76209.981         
3.845044699    76213.4405        
3.844675125    76216.8985        
3.844305622    76220.355         
3.843936191    76223.81          
3.84356683     76227.2635        
3.84319754     76230.7156        
3.842828322    76234.1661        
3.842459174    76237.6152        
3.842090097    76241.0628        
3.841721091    76244.5089        
3.841352156    76247.9534        
3.840983292    76251.3966        
3.840614498    76254.8382        
3.840245776    76258.2783        
3.839877124    76261.717         
3.839508543    76265.1541        
3.839140033    76268.5898        
3.838771593    76272.024         
3.838403224    76275.4567        
3.838034926    76278.8879        
3.837666699    76282.3176        
3.837298542    76285.7458        
3.836930456    76289.1726        
3.83656244     76292.5978        
3.836194495    76296.0216        
3.835826621    76299.4439        
3.835458817    76302.8647        
3.835091083    76306.284         
3.834723421    76309.7018        
3.834355828    76313.1181        
3.833988306    76316.533         
3.833620855    76319.9463        
3.833253474    76323.3582        
3.832886163    76326.7686        
3.832518923    76330.1775        
3.832151753    76333.5849        
3.831784654    76336.9908        
3.831417625    76340.3953        
3.831050666    76343.7982        
3.830683777    76347.1997        
3.830316959    76350.5997        
3.829950211    76353.9982        
3.829583533    76357.3952        
3.829216925    76360.7907        
3.828850388    76364.1847        
3.82848392     76367.5773        
3.828117523    76370.9683        
3.827751196    76374.3579        
3.827384939    76377.746         
3.827018752    76381.1326        
3.826652636    76384.5178        
3.826286589    76387.9014        
3.825920612    76391.2835        
3.825554705    76394.6642        
3.825188869    76398.0434        
3.824823102    76401.4211        
3.824457405    76404.7973        
3.824091778    76408.172         
3.823726221    76411.5453        
3.823360734    76414.917         
3.822995317    76418.2873        
3.822629969    76421.6561        
3.822264692    76425.0234        
3.821899484    76428.3892        
3.821534346    76431.7535        
3.821169278    76435.1164        
3.820804279    76438.4778        
3.820439351    76441.8376        
3.820074491    76445.196         
3.819709702    76448.5529        
3.819344982    76451.9084        
3.818980332    76455.2623        
3.818615752    76458.6148        
3.818251241    76461.9657        
3.8178868      76465.3152        
3.817522428    76468.6632        
3.817158126    76472.0098        
3.816793893    76475.3548        
3.81642973     76478.6984        
3.816065636    76482.0404        
3.815701612    76485.381         
3.815337657    76488.7201        
3.814973772    76492.0578        
3.814609956    76495.3939        
3.81424621     76498.7285        
3.813882532    76502.0617        
3.813518925    76505.3934        
3.813155386    76508.7236        
3.812791917    76512.0523        
3.812428517    76515.3796        
3.812065186    76518.7053        
3.811701925    76522.0296        
3.811338733    76525.3524        
3.81097561     76528.6737        
3.810612556    76531.9935        
3.810249571    76535.3119        
3.809886656    76538.6287        
3.80952381     76541.9441        
3.809161032    76545.258         
3.808798324    76548.5704        
3.808435685    76551.8814        
3.808073115    76555.1908        
3.807710614    76558.4988        
3.807348182    76561.8053        
3.806985819    76565.1103        
3.806623525    76568.4138        
3.8062613      76571.7159        
3.805899144    76575.0164        
3.805537056    76578.3155        
3.805175038    76581.6131        
3.804813089    76584.9092        
3.804451208    76588.2038        
3.804089396    76591.497         
3.803727653    76594.7887        
3.803365979    76598.0789        
3.803004373    76601.3676        
3.802642837    76604.6548        
3.802281369    76607.9406        
3.80191997     76611.2248        
3.801558639    76614.5076        
3.801197377    76617.7889        
3.800836184    76621.0687        
3.800475059    76624.3471        
3.800114003    76627.6239        
3.799753016    76630.8993        
3.799392097    76634.1732        
3.799031247    76637.4457        
3.798670465    76640.7166        
3.798309752    76643.9861        
3.797949107    76647.254         
3.797588531    76650.5206        
3.797228024    76653.7856        
3.796867584    76657.0491        
3.796507213    76660.3112        
3.796146911    76663.5718        
3.795786677    76666.8309        
3.795426511    76670.0885        
3.795066414    76673.3446        
3.794706385    76676.5993        
3.794346424    76679.8525        
3.793986531    76683.1042        
3.793626707    76686.3544        
3.793266951    76689.6032        
3.792907263    76692.8504        
3.792547644    76696.0962        
3.792188093    76699.3405        
3.791828609    76702.5834        
3.791469194    76705.8247        
3.791109847    76709.0646        
3.790750569    76712.303         
3.790391358    76715.5399        
3.790032215    76718.7754        
3.789673141    76722.0093        
3.789314134    76725.2418        
3.788955196    76728.4728        
3.788596325    76731.7023        
3.788237522    76734.9304        
3.787878788    76738.157         
3.787520121    76741.3821        
3.787161522    76744.6057        
