#wvl [um]      Flux [erg/s/cm]
2.290950745    41724.757         
2.29094812     41724.6909        
2.290945496    41724.6248        
2.290942872    41724.5587        
2.290940248    41724.4926        
2.290937623    41724.4265        
2.290934999    41724.3604        
2.290932375    41724.2943        
2.290929751    41724.2282        
2.290927127    41724.162         
2.290924503    41724.0959        
2.290921878    41724.0298        
2.290919254    41723.9637        
2.29091663     41723.8976        
2.290914006    41723.8315        
2.290911382    41723.7654        
2.290908758    41723.6993        
2.290906134    41723.6332        
2.290903509    41723.567         
2.290900885    41723.5009        
2.290898261    41723.4348        
2.290895637    41723.3687        
2.290893013    41723.3026        
2.290890389    41723.2365        
2.290887765    41723.1704        
2.290885141    41723.1043        
2.290882517    41723.0382        
2.290879893    41722.972         
2.290877269    41722.9059        
2.290874644    41722.8398        
2.29087202     41722.7737        
2.290869396    41722.7076        
2.290866772    41722.6415        
2.290864148    41722.5754        
2.290861524    41722.5093        
2.2908589      41722.4432        
2.290856276    41722.377         
2.290853652    41722.3109        
2.290851028    41722.2448        
2.290848404    41722.1787        
2.29084578     41722.1126        
2.290843156    41722.0465        
2.290840532    41721.9804        
2.290837908    41721.9143        
2.290835284    41721.8481        
2.29083266     41721.782         
2.290830036    41721.7159        
2.290827412    41721.6498        
2.290824789    41721.5837        
2.290822165    41721.5176        
2.290819541    41721.4515        
2.290816917    41721.3854        
2.290814293    41721.3192        
2.290811669    41721.2531        
2.290809045    41721.187         
2.290806421    41721.1209        
2.290803797    41721.0548        
2.290801173    41720.9887        
2.290798549    41720.9226        
2.290795926    41720.8565        
2.290793302    41720.7903        
2.290790678    41720.7242        
2.290788054    41720.6581        
2.29078543     41720.592         
2.290782806    41720.5259        
2.290780182    41720.4598        
2.290777559    41720.3937        
2.290774935    41720.3275        
2.290772311    41720.2614        
2.290769687    41720.1953        
2.290767063    41720.1292        
2.29076444     41720.0631        
2.290761816    41719.997         
2.290759192    41719.9309        
2.290756568    41719.8647        
2.290753944    41719.7986        
2.290751321    41719.7325        
2.290748697    41719.6664        
2.290746073    41719.6003        
2.290743449    41719.5342        
2.290740826    41719.4681        
2.290738202    41719.402         
2.290735578    41719.3358        
2.290732954    41719.2697        
2.290730331    41719.2036        
2.290727707    41719.1375        
2.290725083    41719.0714        
2.29072246     41719.0053        
2.290719836    41718.9392        
2.290717212    41718.873         
2.290714588    41718.8069        
2.290711965    41718.7408        
2.290709341    41718.6747        
2.290706717    41718.6086        
2.290704094    41718.5425        
2.29070147     41718.4764        
2.290698846    41718.4102        
2.290696223    41718.3441        
2.290693599    41718.278         
2.290690975    41718.2119        
2.290688352    41718.1458        
2.290685728    41718.0797        
2.290683105    41718.0135        
2.290680481    41717.9474        
2.290677857    41717.8813        
2.290675234    41717.8152        
2.29067261     41717.7491        
2.290669987    41717.683         
2.290667363    41717.6169        
2.290664739    41717.5507        
2.290662116    41717.4846        
2.290659492    41717.4185        
2.290656869    41717.3524        
2.290654245    41717.2863        
2.290651622    41717.2202        
2.290648998    41717.154         
2.290646375    41717.0879        
2.290643751    41717.0218        
2.290641128    41716.9557        
2.290638504    41716.8896        
2.290635881    41716.8235        
2.290633257    41716.7574        
2.290630634    41716.6912        
2.29062801     41716.6251        
2.290625387    41716.559         
2.290622763    41716.4929        
2.29062014     41716.4268        
2.290617516    41716.3607        
2.290614893    41716.2945        
2.290612269    41716.2284        
2.290609646    41716.1623        
2.290607022    41716.0962        
2.290604399    41716.0301        
2.290601775    41715.964         
2.290599152    41715.8978        
2.290596529    41715.8317        
2.290593905    41715.7656        
2.290591282    41715.6995        
2.290588658    41715.6334        
2.290586035    41715.5673        
2.290583412    41715.5011        
2.290580788    41715.435         
2.290578165    41715.3689        
