#wvl [um]      Flux [erg/s/cm]
2.290950745    41724.7472        
2.29094812     41724.681         
2.290945496    41724.6149        
2.290942872    41724.5488        
2.290940248    41724.4826        
2.290937623    41724.4165        
2.290934999    41724.3504        
2.290932375    41724.2842        
2.290929751    41724.2181        
2.290927127    41724.152         
2.290924503    41724.0858        
2.290921878    41724.0197        
2.290919254    41723.9536        
2.29091663     41723.8874        
2.290914006    41723.8213        
2.290911382    41723.7551        
2.290908758    41723.689         
2.290906134    41723.6229        
2.290903509    41723.5567        
2.290900885    41723.4906        
2.290898261    41723.4245        
2.290895637    41723.3583        
2.290893013    41723.2922        
2.290890389    41723.226         
2.290887765    41723.1599        
2.290885141    41723.0937        
2.290882517    41723.0276        
2.290879893    41722.9615        
2.290877269    41722.8953        
2.290874644    41722.8292        
2.29087202     41722.7631        
2.290869396    41722.6969        
2.290866772    41722.6308        
2.290864148    41722.5646        
2.290861524    41722.4985        
2.2908589      41722.4324        
2.290856276    41722.3662        
2.290853652    41722.3001        
2.290851028    41722.2339        
2.290848404    41722.1678        
2.29084578     41722.1017        
2.290843156    41722.0355        
2.290840532    41721.9694        
2.290837908    41721.9032        
2.290835284    41721.8371        
2.29083266     41721.771         
2.290830036    41721.7048        
2.290827412    41721.6387        
2.290824789    41721.5725        
2.290822165    41721.5064        
2.290819541    41721.4403        
2.290816917    41721.3741        
2.290814293    41721.308         
2.290811669    41721.2418        
2.290809045    41721.1757        
2.290806421    41721.1095        
2.290803797    41721.0434        
2.290801173    41720.9773        
2.290798549    41720.9111        
2.290795926    41720.845         
2.290793302    41720.7788        
2.290790678    41720.7127        
2.290788054    41720.6465        
2.29078543     41720.5804        
2.290782806    41720.5143        
2.290780182    41720.4481        
2.290777559    41720.382         
2.290774935    41720.3158        
2.290772311    41720.2497        
2.290769687    41720.1835        
2.290767063    41720.1174        
2.29076444     41720.0513        
2.290761816    41719.9851        
2.290759192    41719.919         
2.290756568    41719.8528        
2.290753944    41719.7867        
2.290751321    41719.7205        
2.290748697    41719.6544        
2.290746073    41719.5882        
2.290743449    41719.5221        
2.290740826    41719.4559        
2.290738202    41719.3898        
2.290735578    41719.3237        
2.290732954    41719.2575        
2.290730331    41719.1914        
2.290727707    41719.1252        
2.290725083    41719.0591        
2.29072246     41718.9929        
2.290719836    41718.9268        
2.290717212    41718.8606        
2.290714588    41718.7945        
2.290711965    41718.7283        
2.290709341    41718.6622        
2.290706717    41718.596         
2.290704094    41718.5299        
2.29070147     41718.4637        
2.290698846    41718.3976        
2.290696223    41718.3314        
2.290693599    41718.2653        
2.290690975    41718.1991        
2.290688352    41718.133         
2.290685728    41718.0668        
2.290683105    41718.0007        
2.290680481    41717.9345        
2.290677857    41717.8684        
2.290675234    41717.8022        
2.29067261     41717.7361        
2.290669987    41717.6699        
2.290667363    41717.6038        
2.290664739    41717.5376        
2.290662116    41717.4715        
2.290659492    41717.4053        
2.290656869    41717.3392        
2.290654245    41717.273         
2.290651622    41717.2069        
2.290648998    41717.1407        
2.290646375    41717.0746        
2.290643751    41717.0084        
2.290641128    41716.9423        
2.290638504    41716.8761        
2.290635881    41716.81          
2.290633257    41716.7438        
2.290630634    41716.6777        
2.29062801     41716.6115        
2.290625387    41716.5453        
2.290622763    41716.4792        
2.29062014     41716.413         
2.290617516    41716.3469        
