# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   2.2909507   1.30048e-04       79791.3810     0099
   2.2909481   1.30334e-04       79791.3810     0099
   2.2909455   1.30621e-04       79791.3810     0099
   2.2909429   1.30908e-04       79791.3810     0099
   2.2909402   1.31197e-04       79791.3810     0099
   2.2909376   1.31486e-04       79791.3810     0099
   2.2909350   1.31776e-04       79791.3810     0099
   2.2909324   1.32067e-04       79791.3810     0099
   2.2909298   1.32359e-04       79791.3810     0099
   2.2909271   1.32652e-04       79791.3810     0099
   2.2909245   1.32946e-04       79791.3810     0099
   2.2909219   1.33240e-04       79791.3810     0099
   2.2909193   1.33536e-04       79791.3810     0099
   2.2909166   1.33832e-04       79791.3810     0099
   2.2909140   1.34130e-04       79791.3810     0099
   2.2909114   1.34428e-04       79791.3810     0099
   2.2909088   1.34727e-04       79791.3810     0099
   2.2909061   1.35027e-04       79791.3810     0099
   2.2909035   1.35328e-04       79791.3810     0099
   2.2909009   1.35630e-04       79791.3810     0099
   2.2908983   1.35933e-04       79791.3810     0099
   2.2908956   1.36237e-04       79791.3810     0099
   2.2908930   1.36690e-04       79791.3810     0099
   2.2908904   1.36996e-04       79791.3810     0099
   2.2908878   1.37303e-04       79791.3810     0099
   2.2908851   1.37611e-04       79791.3810     0099
   2.2908825   1.37920e-04       79791.3810     0099
   2.2908799   1.38230e-04       79791.3810     0099
   2.2908773   1.38540e-04       79791.3810     0099
   2.2908746   1.38852e-04       79791.3810     0099
   2.2908720   1.39165e-04       79791.3810     0099
   2.2908694   1.39479e-04       79791.3810     0099
   2.2908668   1.39794e-04       79791.3810     0099
   2.2908641   1.40109e-04       79791.3810     0099
   2.2908615   1.40426e-04       79791.3810     0099
   2.2908589   1.40744e-04       79791.3810     0099
   2.2908563   1.41063e-04       79791.3810     0099
   2.2908537   1.41382e-04       79791.3810     0099
   2.2908510   1.41703e-04       79791.3810     0099
   2.2908484   1.42025e-04       79791.3810     0099
   2.2908458   1.42347e-04       79791.3810     0099
   2.2908432   1.42671e-04       79791.3810     0099
   2.2908405   1.42996e-04       79791.3810     0099
   2.2908379   1.43321e-04       79791.3810     0099
   2.2908353   1.43648e-04       79791.3810     0099
   2.2908327   1.43976e-04       79791.3810     0099
   2.2908300   1.44305e-04       79791.3810     0099
   2.2908274   1.44634e-04       79791.3810     0099
   2.2908248   1.44965e-04       79791.3810     0099
   2.2908222   1.45297e-04       79791.3810     0099
   2.2908195   1.45630e-04       79791.3810     0099
   2.2908169   1.45964e-04       79791.3810     0099
   2.2908143   1.46299e-04       79791.3810     0099
   2.2908117   1.46635e-04       79791.3810     0099
