#wvl [um]      Flux [erg/s/cm]
2.289901534    71002.8685        
2.289898912    71002.7961        
2.289896291    71002.7236        
2.289893669    71002.6512        
2.289891047    71002.5788        
2.289888425    71002.5064        
2.289885803    71002.434         
2.289883182    71002.3615        
2.28988056     71002.2891        
2.289877938    71002.2167        
2.289875316    71002.1443        
2.289872695    71002.0718        
2.289870073    71001.9994        
2.289867451    71001.927         
2.289864829    71001.8546        
2.289862208    71001.7821        
2.289859586    71001.7097        
2.289856964    71001.6373        
2.289854342    71001.5649        
2.289851721    71001.4924        
2.289849099    71001.42          
2.289846477    71001.3476        
2.289843856    71001.2752        
2.289841234    71001.2027        
2.289838612    71001.1303        
2.28983599     71001.0579        
2.289833369    71000.9855        
2.289830747    71000.913         
2.289828126    71000.8406        
2.289825504    71000.7682        
2.289822882    71000.6957        
2.289820261    71000.6233        
2.289817639    71000.5509        
2.289815017    71000.4785        
2.289812396    71000.406         
2.289809774    71000.3336        
2.289807152    71000.2612        
2.289804531    71000.1887        
2.289801909    71000.1163        
2.289799288    71000.0439        
2.289796666    70999.9715        
2.289794044    70999.899         
2.289791423    70999.8266        
2.289788801    70999.7542        
2.28978618     70999.6817        
2.289783558    70999.6093        
2.289780937    70999.5369        
2.289778315    70999.4645        
2.289775694    70999.392         
2.289773072    70999.3196        
2.289770451    70999.2472        
2.289767829    70999.1747        
2.289765207    70999.1023        
2.289762586    70999.0299        
2.289759964    70998.9574        
2.289757343    70998.885         
2.289754721    70998.8126        
2.2897521      70998.7401        
2.289749479    70998.6677        
2.289746857    70998.5953        
2.289744236    70998.5228        
2.289741614    70998.4504        
2.289738993    70998.378         
2.289736371    70998.3055        
2.28973375     70998.2331        
2.289731128    70998.1607        
2.289728507    70998.0882        
2.289725885    70998.0158        
2.289723264    70997.9434        
2.289720643    70997.8709        
2.289718021    70997.7985        
2.2897154      70997.7261        
2.289712778    70997.6536        
2.289710157    70997.5812        
2.289707536    70997.5088        
2.289704914    70997.4363        
2.289702293    70997.3639        
2.289699672    70997.2915        
2.28969705     70997.219         
2.289694429    70997.1466        
2.289691807    70997.0741        
2.289689186    70997.0017        
2.289686565    70996.9293        
2.289683943    70996.8568        
2.289681322    70996.7844        
2.289678701    70996.712         
2.28967608     70996.6395        
2.289673458    70996.5671        
2.289670837    70996.4947        
2.289668216    70996.4222        
2.289665594    70996.3498        
2.289662973    70996.2773        
2.289660352    70996.2049        
2.289657731    70996.1325        
2.289655109    70996.06          
2.289652488    70995.9876        
2.289649867    70995.9151        
2.289647245    70995.8427        
2.289644624    70995.7703        
2.289642003    70995.6978        
2.289639382    70995.6254        
2.289636761    70995.5529        
2.289634139    70995.4805        
2.289631518    70995.4081        
2.289628897    70995.3356        
2.289626276    70995.2632        
2.289623655    70995.1907        
2.289621033    70995.1183        
2.289618412    70995.0459        
2.289615791    70994.9734        
2.28961317     70994.901         
2.289610549    70994.8285        
2.289607928    70994.7561        
2.289605306    70994.6837        
2.289602685    70994.6112        
2.289600064    70994.5388        
2.289597443    70994.4663        
2.289594822    70994.3939        
2.289592201    70994.3214        
2.28958958     70994.249         
2.289586959    70994.1766        
2.289584337    70994.1041        
2.289581716    70994.0317        
2.289579095    70993.9592        
2.289576474    70993.8868        
2.289573853    70993.8143        
2.289571232    70993.7419        
2.289568611    70993.6695        
2.28956599     70993.597         
2.289563369    70993.5246        
2.289560748    70993.4521        
2.289558127    70993.3797        
2.289555506    70993.3072        
2.289552885    70993.2348        
2.289550264    70993.1623        
2.289547643    70991.9041        
2.289545022    70991.7895        
2.289542401    70991.6727        
2.28953978     70991.5535        
2.289537159    70991.4316        
2.289534538    70991.3069        
2.289531917    70991.1791        
2.289529296    70991.048         
2.289526675    70990.9133        
2.289524054    70990.7748        
2.289521433    70990.632         
2.289518812    70990.4847        
2.289516191    70990.3325        
2.28951357     70990.1748        
2.289510949    70988.7618        
2.289508328    70988.5409        
2.289505707    70988.3097        
2.289503086    70988.0673        
2.289500465    70987.8124        
2.289497844    70987.544         
2.289495224    70987.2605        
2.289492603    70986.9605        
2.289489982    70986.6419        
2.289487361    70986.3029        
2.28948474     70985.941         
2.289482119    70985.5536        
2.289479498    70985.1373        
2.289476877    70984.6887        
2.289474257    70984.2033        
2.289471636    70983.6762        
2.289469015    70983.1015        
2.289466394    70982.472         
2.289463773    70981.7795        
2.289461152    70981.0138        
2.289458532    70980.1624        
2.289455911    70979.2105        
2.28945329     70978.1393        
2.289450669    70976.9254        
2.289448048    70975.5393        
2.289445428    70973.943         
2.289442807    70972.0871        
2.289440186    70969.9045        
2.289437565    70967.307         
2.289434945    70964.1687        
2.289432324    70960.3083        
2.289429703    70955.4517        
2.289427082    70949.1548        
2.289424462    70940.6122        
2.289421841    70922.892         
2.28941922     70884.1102        
2.289416599    70777.9135        
2.289413979    70486.6685        
2.289411358    69768.4203        
2.289408737    68265.8697        
2.289406117    65698.1073        
2.289403496    62211.6625        
2.289400875    58528.9966        
2.289398255    55624.8362        
2.289395634    54222.393         
2.289393013    54499.5587        
2.289390393    55912.042         
2.289387772    57111.5022        
2.289385151    56604.5936        
2.289382531    54298.2859        
2.28937991     51822.626         
2.289377289    50963.5329        
2.289374669    52567.5202        
2.289372048    56447.8525        
2.289369428    61456.6801        
2.289366807    65937.6541        
2.289364186    68818.2247        
2.289361566    70193.2986        
2.289358945    70705.0274        
2.289356325    70865.3214        
2.289353704    70914.3253        
2.289351083    70933.8181        
2.289348463    70943.459         
2.289345842    70950.437         
2.289343222    70955.7252        
2.289340601    70959.8577        
2.289337981    70963.1619        
2.28933536     70965.8522        
2.28933274     70968.0737        
2.289330119    70969.9311        
2.289327499    70971.5           
2.289324878    70972.8369        
2.289322258    70973.9847        
2.289319637    70974.9765        
2.289317017    70975.8385        
2.289314396    70976.5914        
2.289311776    70977.2519        
2.289309155    70977.8335        
2.289306535    70978.3474        
2.289303914    70978.8027        
2.289301294    70979.2071        
2.289298673    70979.567         
2.289296053    70979.888         
2.289293432    70980.1745        
2.289290812    70980.4305        
2.289288192    70980.6595        
2.289285571    70980.8643        
2.289282951    70981.0476        
2.28928033     70981.2114        
2.28927771     70981.3578        
2.28927509     70981.4884        
2.289272469    70981.6047        
2.289269849    70981.7081        
2.289267228    70981.7997        
2.289264608    70981.8805        
2.289261988    70981.9515        
2.289259367    70982.0135        
2.289256747    70982.0673        
2.289254127    70982.1134        
2.289251506    70982.1526        
2.289248886    70982.1853        
2.289246266    70982.2121        
2.289243645    70982.2333        
2.289241025    70983.451         
2.289238405    70984.5401        
2.289235784    70984.4676        
2.289233164    70984.3951        
2.289230544    70984.3227        
2.289227924    70984.2502        
2.289225303    70984.1777        
2.289222683    70984.1053        
2.289220063    70984.0328        
2.289217442    70983.9603        
2.289214822    70983.8879        
2.289212202    70983.8154        
2.289209582    70983.7429        
2.289206961    70983.6705        
2.289204341    70983.598         
2.289201721    70983.5255        
2.289199101    70983.4531        
