# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   2.2899015   0.00000e+00       92173.4130     0099
   2.2898989   0.00000e+00       92173.4130     0099
   2.2898963   0.00000e+00       92173.4130     0099
   2.2898937   0.00000e+00       92173.4130     0099
   2.2898910   0.00000e+00       92173.4130     0099
   2.2898884   0.00000e+00       92173.4130     0099
   2.2898858   0.00000e+00       92173.4130     0099
   2.2898832   0.00000e+00       92173.4130     0099
   2.2898806   0.00000e+00       92173.4130     0099
   2.2898779   0.00000e+00       92173.4130     0099
   2.2898753   0.00000e+00       92173.4130     0099
   2.2898727   0.00000e+00       92173.4130     0099
   2.2898701   0.00000e+00       92173.4130     0099
   2.2898675   0.00000e+00       92173.4130     0099
   2.2898648   0.00000e+00       92173.4130     0099
   2.2898622   0.00000e+00       92173.4130     0099
   2.2898596   0.00000e+00       92173.4130     0099
   2.2898570   0.00000e+00       92173.4130     0099
   2.2898543   0.00000e+00       92173.4130     0099
   2.2898517   0.00000e+00       92173.4130     0099
   2.2898491   0.00000e+00       92173.4130     0099
   2.2898465   0.00000e+00       92173.4130     0099
   2.2898439   0.00000e+00       92173.4130     0099
   2.2898412   0.00000e+00       92173.4130     0099
   2.2898386   0.00000e+00       92173.4130     0099
   2.2898360   0.00000e+00       92173.4130     0099
   2.2898334   0.00000e+00       92173.4130     0099
   2.2898307   0.00000e+00       92173.4130     0099
   2.2898281   0.00000e+00       92173.4130     0099
   2.2898255   0.00000e+00       92173.4130     0099
   2.2898229   0.00000e+00       92173.4130     0099
   2.2898203   0.00000e+00       92173.4130     0099
   2.2898176   0.00000e+00       92173.4130     0099
   2.2898150   0.00000e+00       92173.4130     0099
   2.2898124   0.00000e+00       92173.4130     0099
   2.2898098   0.00000e+00       92173.4130     0099
   2.2898072   0.00000e+00       92173.4130     0099
   2.2898045   0.00000e+00       92173.4130     0099
   2.2898019   0.00000e+00       92173.4130     0099
   2.2897993   0.00000e+00       92173.4130     0099
   2.2897967   0.00000e+00       92173.4130     0099
   2.2897940   0.00000e+00       92173.4130     0099
   2.2897914   0.00000e+00       92173.4130     0099
   2.2897888   0.00000e+00       92173.4130     0099
   2.2897862   0.00000e+00       92173.4130     0099
   2.2897836   0.00000e+00       92173.4130     0099
   2.2897809   0.00000e+00       92173.4130     0099
   2.2897783   0.00000e+00       92173.4130     0099
   2.2897757   0.00000e+00       92173.4130     0099
   2.2897731   0.00000e+00       92173.4130     0099
   2.2897705   0.00000e+00       92173.4130     0099
   2.2897678   0.00000e+00       92173.4130     0099
   2.2897652   0.00000e+00       92173.4130     0099
   2.2897626   0.00000e+00       92173.4130     0099
   2.2897600   0.00000e+00       92173.4130     0099
   2.2897573   0.00000e+00       92173.4130     0099
   2.2897547   0.00000e+00       92173.4130     0099
   2.2897521   0.00000e+00       92173.4130     0099
   2.2897495   0.00000e+00       92173.4130     0099
   2.2897469   0.00000e+00       92173.4130     0099
   2.2897442   0.00000e+00       92173.4130     0099
   2.2897416   0.00000e+00       92173.4130     0099
   2.2897390   0.00000e+00       92173.4130     0099
   2.2897364   0.00000e+00       92173.4130     0099
   2.2897337   0.00000e+00       92173.4130     0099
   2.2897311   0.00000e+00       92173.4130     0099
   2.2897285   0.00000e+00       92173.4130     0099
   2.2897259   0.00000e+00       92173.4130     0099
   2.2897233   0.00000e+00       92173.4130     0099
   2.2897206   0.00000e+00       92173.4130     0099
   2.2897180   0.00000e+00       92173.4130     0099
   2.2897154   0.00000e+00       92173.4130     0099
   2.2897128   0.00000e+00       92173.4130     0099
   2.2897102   0.00000e+00       92173.4130     0099
   2.2897075   0.00000e+00       92173.4130     0099
   2.2897049   0.00000e+00       92173.4130     0099
   2.2897023   0.00000e+00       92173.4130     0099
   2.2896997   0.00000e+00       92173.4130     0099
   2.2896971   0.00000e+00       92173.4130     0099
   2.2896944   0.00000e+00       92173.4130     0099
   2.2896918   0.00000e+00       92173.4130     0099
   2.2896892   0.00000e+00       92173.4130     0099
   2.2896866   0.00000e+00       92173.4130     0099
   2.2896839   0.00000e+00       92173.4130     0099
   2.2896813   0.00000e+00       92173.4130     0099
   2.2896787   0.00000e+00       92173.4130     0099
   2.2896761   0.00000e+00       92173.4130     0099
   2.2896735   0.00000e+00       92173.4130     0099
   2.2896708   0.00000e+00       92173.4130     0099
   2.2896682   0.00000e+00       92173.4130     0099
   2.2896656   0.00000e+00       92173.4130     0099
   2.2896630   0.00000e+00       92173.4130     0099
   2.2896604   0.00000e+00       92173.4130     0099
   2.2896577   0.00000e+00       92173.4130     0099
   2.2896551   0.00000e+00       92173.4130     0099
   2.2896525   0.00000e+00       92173.4130     0099
   2.2896499   0.00000e+00       92173.4130     0099
   2.2896472   0.00000e+00       92173.4130     0099
   2.2896446   0.00000e+00       92173.4130     0099
   2.2896420   0.00000e+00       92173.4130     0099
   2.2896394   0.00000e+00       92173.4130     0099
   2.2896368   0.00000e+00       92173.4130     0099
   2.2896341   0.00000e+00       92173.4130     0099
   2.2896315   0.00000e+00       92173.4130     0099
   2.2896289   0.00000e+00       92173.4130     0099
