#wvl [um]      Flux [erg/s/cm]
4              74698.0474        
3.99840064     74714.2882        
3.996802558    74730.5048        
3.995205753    74746.6973        
3.993610224    74762.8657        
3.992015968    74779.0099        
3.990422985    74795.13          
3.988831272    74811.2259        
3.987240829    74827.2977        
3.985651654    74843.3454        
3.984063745    74859.369         
3.982477101    74875.3684        
3.98089172     74891.3437        
3.9793076      74907.2949        
3.977724741    74923.2219        
3.976143141    74939.1249        
3.974562798    74955.0037        
3.972983711    74970.8584        
3.971405878    74986.689         
3.969829297    75002.4955        
3.968253968    75018.278         
3.966679889    75034.0363        
3.965107058    75049.7705        
3.963535474    75065.4806        
3.961965135    75081.1666        
3.96039604     75096.8286        
3.958828187    75112.4664        
3.957261575    75128.0802        
3.955696203    75143.6699        
3.954132068    75159.2356        
3.95256917     75174.7771        
3.951007507    75190.2946        
3.949447077    75205.788         
3.94788788     75221.2574        
3.946329913    75236.7026        
3.944773176    75252.1239        
3.943217666    75267.5211        
3.941663382    75282.8942        
3.940110323    75298.2433        
3.938558488    75313.5683        
3.937007874    75328.8693        
3.935458481    75344.1462        
3.933910307    75359.3991        
3.93236335     75374.628         
3.93081761     75389.8329        
3.929273084    75405.0137        
3.927729772    75420.1705        
3.926187672    75435.3033        
3.924646782    75450.412         
3.923107101    75465.4968        
3.921568627    75480.5575        
3.92003136     75495.5942        
3.918495298    75510.607         
3.916960439    75525.5957        
3.915426782    75540.5604        
3.913894325    75555.5011        
3.912363067    75570.4179        
3.910833007    75585.3106        
3.909304144    75600.1794        
3.907776475    75615.0242        
3.90625        75629.845         
3.904724717    75644.6418        
3.903200625    75659.4147        
3.901677721    75674.1636        
3.900156006    75688.8886        
3.898635478    75703.5895        
3.897116134    75718.2666        
3.895597974    75732.9196        
3.894080997    75747.5487        
3.8925652      75762.1539        
3.891050584    75776.7352        
3.889537145    75791.2924        
3.888024883    75805.8258        
3.886513797    75820.3352        
3.885003885    75834.8207        
3.883495146    75849.2823        
3.881987578    75863.72          
3.88048118     75878.1337        
3.87897595     75892.5235        
3.877471888    75906.8895        
3.875968992    75921.2315        
3.874467261    75935.5496        
3.872966692    75949.8438        
3.871467286    75964.1141        
3.86996904     75978.3606        
3.868471954    75992.5831        
3.866976025    76006.7818        
3.865481252    76020.9566        
3.863987635    76035.1075        
3.862495172    76049.2345        
3.861003861    76063.3377        
3.859513701    76077.417         
3.858024691    76091.4724        
3.85653683     76105.504         
3.855050116    76119.5118        
3.853564547    76133.4957        
3.852080123    76147.4557        
3.850596843    76161.392         
3.849114704    76175.3043        
3.847633705    76189.1929        
3.846153846    76203.0576        
3.844675125    76216.8985        
3.84319754     76230.7156        
3.841721091    76244.5089        
3.840245776    76258.2783        
3.838771593    76272.024         
3.837298542    76285.7458        
3.835826621    76299.4439        
3.834355828    76313.1181        
3.832886163    76326.7686        
3.831417625    76340.3953        
3.829950211    76353.9982        
3.82848392     76367.5773        
3.827018752    76381.1326        
3.825554705    76394.6642        
3.824091778    76408.172         
3.822629969    76421.6561        
3.821169278    76435.1164        
3.819709702    76448.5529        
3.818251241    76461.9657        
3.816793893    76475.3548        
3.815337657    76488.7201        
3.813882532    76502.0617        
3.812428517    76515.3796        
3.81097561     76528.6737        
3.80952381     76541.9441        
3.808073115    76555.1908        
3.806623525    76568.4138        
3.805175038    76581.6131        
3.803727653    76594.7887        
3.802281369    76607.9406        
3.800836184    76621.0687        
3.799392097    76634.1732        
3.797949107    76647.254         
3.796507213    76660.3112        
3.795066414    76673.3446        
3.793626707    76686.3544        
3.792188093    76699.3405        
3.790750569    76712.303         
3.789314134    76725.2418        
3.787878788    76738.157         
3.786444529    76751.0485        
3.785011355    76763.9163        
3.783579266    76776.7605        
3.78214826     76789.5811        
3.780718336    76802.3781        
3.779289494    76815.1514        
3.77786173     76827.9012        
3.776435045    76840.6273        
3.775009438    76853.3297        
3.773584906    76866.0086        
3.772161449    76878.6639        
3.770739065    76891.2956        
3.769317753    76903.9037        
3.767897513    76916.4882        
3.766478343    76929.0492        
3.765060241    76941.5865        
3.763643207    76954.1003        
3.762227239    76966.5906        
3.760812335    76979.0572        
3.759398496    76991.5003        
3.75798572     77003.9199        
3.756574005    77016.3159        
3.75516335     77028.6884        
3.753753754    77041.0373        
3.752345216    77053.3627        
3.750937734    77065.6646        
3.749531309    77077.9429        
3.748125937    77090.1978        
3.746721619    77102.4291        
3.745318352    77114.6369        
3.743916136    77126.8213        
3.74251497     77138.9821        
3.741114852    77151.1194        
3.739715782    77163.2333        
3.738317757    77175.3237        
3.736920777    77187.3906        
3.735524841    77199.434         
3.734129948    77211.454         
3.732736096    77223.4505        
3.731343284    77235.4235        
3.729951511    77247.3731        
3.728560776    77259.2993        
3.727171077    77271.202         
3.725782414    77283.0813        
3.724394786    77294.9371        
3.723008191    77306.7696        
3.721622627    77318.5786        
3.720238095    77330.3642        
3.718854593    77342.1264        
