#wvl [um]      Flux [erg/s/cm]
4              71395.7621        
3.99840064     71413.7539        
3.996802558    71431.7107        
3.995205753    71449.6337        
3.993610224    71467.524         
3.992015968    71485.3827        
3.990422985    71503.211         
3.988831272    71521.0099        
3.987240829    71538.7808        
3.985651654    71556.5247        
3.984063745    71574.2428        
3.982477101    71591.936         
3.98089172     71609.6045        
3.9793076      71627.2479        
3.977724741    71644.866         
3.976143141    71662.4588        
3.974562798    71680.026         
3.972983711    71697.5673        
3.971405878    71715.0827        
3.969829297    71732.5718        
3.968253968    71750.0346        
3.966679889    71767.4706        
3.965107058    71784.8792        
3.963535474    71802.2597        
3.961965135    71819.6112        
3.96039604     71836.933         
3.958828187    71854.2243        
3.957261575    71871.4843        
3.955696203    71888.7123        
3.954132068    71905.9073        
3.95256917     71923.0687        
3.951007507    71940.1959        
3.949447077    71957.2895        
3.94788788     71974.3503        
3.946329913    71991.3792        
3.944773176    72008.3771        
3.943217666    72025.3447        
3.941663382    72042.283         
3.940110323    72059.1928        
3.938558488    72076.075         
3.937007874    72092.9305        
3.935458481    72109.7599        
3.933910307    72126.5631        
3.93236335     72143.3398        
3.93081761     72160.0897        
3.929273084    72176.8126        
3.927729772    72193.508         
3.926187672    72210.1757        
3.924646782    72226.8153        
3.923107101    72243.4266        
3.921568627    72260.0092        
3.92003136     72276.5629        
3.918495298    72293.0874        
3.916960439    72309.5823        
3.915426782    72326.0475        
3.913894325    72342.4827        
3.912363067    72358.8876        
3.910833007    72375.262         
3.909304144    72391.6055        
3.907776475    72407.9181        
3.90625        72424.1993        
3.904724717    72440.449         
3.903200625    72456.6677        
3.901677721    72472.856         
3.900156006    72489.0145        
3.898635478    72505.1436        
3.897116134    72521.2441        
3.895597974    72537.3165        
3.894080997    72553.3613        
3.8925652      72569.3792        
3.891050584    72585.3707        
3.889537145    72601.3362        
3.888024883    72617.2755        
3.886513797    72633.188         
3.885003885    72649.0733        
3.883495146    72664.9308        
3.881987578    72680.7601        
3.88048118     72696.5607        
3.87897595     72712.3321        
3.877471888    72728.0739        
3.875968992    72743.7854        
3.874467261    72759.4664        
3.872966692    72775.1164        
3.871467286    72790.7352        
3.86996904     72806.3225        
3.868471954    72821.878         
3.866976025    72837.4015        
3.865481252    72852.8927        
3.863987635    72868.3513        
3.862495172    72883.7769        
3.861003861    72899.1694        
3.859513701    72914.5285        
3.858024691    72929.8551        
3.85653683     72945.15          
3.855050116    72960.4141        
3.853564547    72975.6484        
3.852080123    72990.8537        
3.850596843    73006.031         
3.849114704    73021.1813        
3.847633705    73036.3054        
3.846153846    73051.4043        
3.844675125    73066.4787        
3.84319754     73081.5281        
3.841721091    73096.5517        
3.840245776    73111.5489        
3.838771593    73126.5188        
3.837298542    73141.4607        
3.835826621    73156.3738        
3.834355828    73171.2574        
3.832886163    73186.1106        
3.831417625    73200.9328        
3.829950211    73215.7233        
3.82848392     73230.4825        
3.827018752    73245.211         
3.825554705    73259.9091        
3.824091778    73274.5776        
3.822629969    73289.2169        
3.821169278    73303.8276        
3.819709702    73318.4102        
3.818251241    73332.9652        
3.816793893    73347.4934        
3.815337657    73361.9949        
3.813882532    73376.4693        
3.812428517    73390.916         
3.81097561     73405.3343        
3.80952381     73419.7235        
3.808073115    73434.083         
3.806623525    73448.4121        
3.805175038    73462.71          
3.803727653    73476.9762        
3.802281369    73491.2099        
3.800836184    73505.4107        
3.799392097    73519.5791        
3.797949107    73533.7157        
3.796507213    73547.8213        
3.795066414    73561.8967        
3.793626707    73575.9425        
3.792188093    73589.9595        
3.790750569    73603.9485        
3.789314134    73617.9101        
3.787878788    73631.8451        
3.786444529    73645.7541        
3.785011355    73659.6365        
3.783579266    73673.4917        
3.78214826     73687.319         
3.780718336    73701.1177        
3.779289494    73714.887         
3.77786173     73728.6264        
3.776435045    73742.335         
3.775009438    73756.0122        
3.773584906    73769.6573        
3.772161449    73783.2697        
3.770739065    73796.8494        
3.769317753    73810.3969        
3.767897513    73823.9125        
3.766478343    73837.3963        
3.765060241    73850.8487        
3.763643207    73864.27          
3.762227239    73877.6606        
3.760812335    73891.0207        
3.759398496    73904.3506        
3.75798572     73917.6506        
3.756574005    73930.9207        
