# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   4.0000000   1.12259e+01       93566.7850     0086
   3.9984006   1.12102e+01       93566.7850     0086
   3.9968026   1.11946e+01       93566.7850     0086
   3.9952058   1.11791e+01       93566.7850     0086
   3.9936102   1.11636e+01       93566.7850     0086
   3.9920160   1.11482e+01       93566.7850     0086
   3.9904230   1.11329e+01       93566.7850     0086
   3.9888313   1.11176e+01       93566.7850     0086
   3.9872408   1.11023e+01       93566.7850     0086
   3.9856517   1.10870e+01       93566.7850     0086
   3.9840637   1.10718e+01       93566.7850     0086
   3.9824771   1.10566e+01       93566.7850     0086
   3.9808917   1.10413e+01       93566.7850     0086
   3.9793076   1.10262e+01       93566.7850     0086
   3.9777247   1.10110e+01       93566.7850     0086
   3.9761431   1.09959e+01       93566.7850     0086
   3.9745628   1.09808e+01       93566.7850     0086
   3.9729837   1.09657e+01       93566.7850     0086
   3.9714059   1.09507e+01       93566.7850     0086
   3.9698293   1.09358e+01       93566.7850     0086
   3.9682540   1.09209e+01       93566.7850     0086
   3.9666799   1.09061e+01       93566.7850     0086
   3.9651071   1.08913e+01       93566.7850     0086
   3.9635355   1.08766e+01       93566.7850     0086
   3.9619651   1.08620e+01       93566.7850     0086
   3.9603960   1.08474e+01       93566.7850     0086
   3.9588282   1.08328e+01       93566.7850     0086
   3.9572616   1.08183e+01       93566.7850     0086
   3.9556962   1.08038e+01       93566.7850     0086
   3.9541321   1.07893e+01       93566.7850     0086
   3.9525692   1.07748e+01       93566.7850     0086
   3.9510075   1.07604e+01       93566.7850     0086
   3.9494471   1.07460e+01       93566.7850     0086
   3.9478879   1.07316e+01       93566.7850     0086
   3.9463299   1.07172e+01       93566.7850     0086
   3.9447732   1.07029e+01       93566.7850     0086
   3.9432177   1.06886e+01       93566.7850     0086
   3.9416634   1.06744e+01       93566.7850     0086
   3.9401103   1.06602e+01       93566.7850     0086
   3.9385585   1.06461e+01       93566.7850     0086
   3.9370079   1.06321e+01       93566.7850     0086
