#wvl [um]      Flux [erg/s/cm]
4              58065.7236        
3.99840064     58081.2249        
3.996802558    58096.6896        
3.995205753    58112.118         
3.993610224    58127.5105        
3.992015968    58142.8673        
3.990422985    58158.1889        
3.988831272    58173.4757        
3.987240829    58188.7279        
3.985651654    58203.946         
3.984063745    58219.1303        
3.982477101    58234.2812        
3.98089172     58249.3989        
3.9793076      58264.4838        
3.977724741    58279.5361        
3.976143141    58294.556         
3.974562798    58309.5437        
3.972983711    58324.4997        
3.971405878    58339.424         
3.969829297    58354.317         
3.968253968    58369.179         
3.966679889    58384.0103        
3.965107058    58398.8111        
3.963535474    58413.5819        
3.961965135    58428.3229        
3.96039604     58443.0346        
3.958828187    58457.7174        
3.957261575    58472.3714        
3.955696203    58486.9972        
3.954132068    58501.5951        
3.95256917     58516.1655        
3.951007507    58530.7086        
3.949447077    58545.2251        
3.94788788     58559.7154        
3.946329913    58574.18          
3.944773176    58588.6194        
3.943217666    58603.0341        
3.941663382    58617.4246        
3.940110323    58631.7915        
3.938558488    58646.1352        
3.937007874    58660.4562        
3.935458481    58674.7548        
3.933910307    58689.0299        
3.93236335     58703.28          
3.93081761     58717.5037        
3.929273084    58731.6995        
3.927729772    58745.866         
3.926187672    58760.0017        
3.924646782    58774.1051        
3.923107101    58788.1748        
3.921568627    58802.2093        
3.92003136     58816.207         
3.918495298    58830.1666        
3.916960439    58844.0864        
3.915426782    58857.9651        
3.913894325    58871.8011        
3.912363067    58885.5929        
3.910833007    58899.339         
3.909304144    58913.0379        
3.907776475    58926.688         
3.90625        58940.2878        
3.904724717    58953.8363        
3.903200625    58967.3343        
3.901677721    58980.7834        
3.900156006    58994.1848        
3.898635478    59007.5401        
3.897116134    59020.8507        
3.895597974    59034.1181        
3.894080997    59047.3438        
3.8925652      59060.5291        
3.891050584    59073.6756        
3.889537145    59086.7848        
3.888024883    59099.8581        
3.886513797    59112.8966        
3.885003885    59125.9018        
3.883495146    59138.875         
3.881987578    59151.8176        
3.88048118     59164.7309        
3.87897595     59177.6162        
3.877471888    59190.4749        
3.875968992    59203.3085        
3.874467261    59216.1179        
3.872966692    59228.9033        
3.871467286    59241.6643        
3.86996904     59254.4007        
3.868471954    59267.1121        
3.866976025    59279.7983        
3.865481252    59292.4591        
3.863987635    59305.094         
3.862495172    59317.7029        
3.861003861    59330.2854        
3.859513701    59342.8413        
3.858024691    59355.3702        
3.85653683     59367.8719        
3.855050116    59380.3462        
3.853564547    59392.7926        
3.852080123    59405.211         
3.850596843    59417.6009        
3.849114704    59429.9623        
3.847633705    59442.2946        
3.846153846    59454.5977        
3.844675125    59466.8714        
3.84319754     59479.1156        
3.841721091    59491.3306        
3.840245776    59503.5165        
3.838771593    59515.6734        
3.837298542    59527.8016        
3.835826621    59539.9012        
3.834355828    59551.9723        
3.832886163    59564.0152        
3.831417625    59576.0299        
3.829950211    59588.0167        
3.82848392     59599.9758        
3.827018752    59611.9072        
3.825554705    59623.8113        
3.824091778    59635.6883        
3.822629969    59647.5382        
3.821169278    59659.3614        
3.819709702    59671.158         
3.818251241    59682.9283        
3.816793893    59694.6723        
3.815337657    59706.3902        
3.813882532    59718.0807        
3.812428517    59729.7424        
3.81097561     59741.374         
3.80952381     59752.9739        
3.808073115    59764.5409        
3.806623525    59776.0734        
3.805175038    59787.5699        
3.803727653    59799.0292        
3.802281369    59810.4496        
3.800836184    59821.8297        
3.799392097    59833.1679        
3.797949107    59844.4626        
3.796507213    59855.7122        
3.795066414    59866.915         
3.793626707    59878.0695        
3.792188093    59889.1738        
3.790750569    59900.2265        
3.789314134    59911.2259        
3.787878788    59922.1702        
3.786444529    59933.0586        
3.785011355    59943.8936        
3.783579266    59954.6785        
3.78214826     59965.4165        
3.780718336    59976.111         
3.779289494    59986.7653        
3.77786173     59997.3827        
3.776435045    60007.9667        
3.775009438    60018.5206        
