# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   4.0000000   1.33958e+01       94530.5330     0077
   3.9984006   1.33796e+01       94530.5330     0077
   3.9968026   1.33634e+01       94530.5330     0077
   3.9952058   1.33474e+01       94530.5330     0077
   3.9936102   1.33314e+01       94530.5330     0077
   3.9920160   1.33155e+01       94530.5330     0077
   3.9904230   1.32996e+01       94530.5330     0077
   3.9888313   1.32838e+01       94530.5330     0077
   3.9872408   1.32680e+01       94530.5330     0077
   3.9856517   1.32523e+01       94530.5330     0077
   3.9840637   1.32366e+01       94530.5330     0077
   3.9824771   1.32210e+01       94530.5330     0077
   3.9808917   1.32055e+01       94530.5330     0077
   3.9793076   1.31899e+01       94530.5330     0077
   3.9777247   1.31745e+01       94530.5330     0077
   3.9761431   1.31590e+01       94530.5330     0077
   3.9745628   1.31436e+01       94530.5330     0077
   3.9729837   1.31283e+01       94530.5330     0077
   3.9714059   1.31129e+01       94530.5330     0077
   3.9698293   1.30976e+01       94530.5330     0077
   3.9682540   1.30824e+01       94530.5330     0077
   3.9666799   1.30671e+01       94530.5330     0077
   3.9651071   1.30519e+01       94530.5330     0077
   3.9635355   1.30367e+01       94530.5330     0077
   3.9619651   1.30216e+01       94530.5330     0077
   3.9603960   1.30064e+01       94530.5330     0077
   3.9588282   1.29913e+01       94530.5330     0077
   3.9572616   1.29763e+01       94530.5330     0077
   3.9556962   1.29613e+01       94530.5330     0077
   3.9541321   1.29463e+01       94530.5330     0077
   3.9525692   1.29313e+01       94530.5330     0077
   3.9510075   1.29164e+01       94530.5330     0077
   3.9494471   1.29014e+01       94530.5330     0077
   3.9478879   1.28866e+01       94530.5330     0077
   3.9463299   1.28717e+01       94530.5330     0077
   3.9447732   1.28569e+01       94530.5330     0077
   3.9432177   1.28422e+01       94530.5330     0077
   3.9416634   1.28274e+01       94530.5330     0077
   3.9401103   1.28127e+01       94530.5330     0077
   3.9385585   1.27980e+01       94530.5330     0077
   3.9370079   1.27834e+01       94530.5330     0077
   3.9354585   1.27688e+01       94530.5330     0077
   3.9339103   1.27542e+01       94530.5330     0077
   3.9323634   1.27397e+01       94530.5330     0077
   3.9308176   1.27252e+01       94530.5330     0077
   3.9292731   1.27108e+01       94530.5330     0077
   3.9277298   1.26964e+01       94530.5330     0077
   3.9261877   1.26820e+01       94530.5330     0077
   3.9246468   1.26677e+01       94530.5330     0077
   3.9231071   1.26535e+01       94530.5330     0077
   3.9215686   1.26393e+01       94530.5330     0077
   3.9200314   1.26251e+01       94530.5330     0077
   3.9184953   1.26110e+01       94530.5330     0077
   3.9169604   1.25970e+01       94530.5330     0077
   3.9154268   1.25830e+01       94530.5330     0077
   3.9138943   1.25691e+01       94530.5330     0077
   3.9123631   1.25552e+01       94530.5330     0077
   3.9108330   1.25415e+01       94530.5330     0077
   3.9093041   1.25278e+01       94530.5330     0077
   3.9077765   1.25141e+01       94530.5330     0077
   3.9062500   1.25005e+01       94530.5330     0077
   3.9047247   1.24870e+01       94530.5330     0077
   3.9032006   1.24736e+01       94530.5330     0077
   3.9016777   1.24602e+01       94530.5330     0077
   3.9001560   1.24469e+01       94530.5330     0077
   3.8986355   1.24337e+01       94530.5330     0077
   3.8971161   1.24206e+01       94530.5330     0077
   3.8955980   1.24074e+01       94530.5330     0077
   3.8940810   1.23944e+01       94530.5330     0077
   3.8925652   1.23814e+01       94530.5330     0077
   3.8910506   1.23685e+01       94530.5330     0077
   3.8895371   1.23556e+01       94530.5330     0077
   3.8880249   1.23427e+01       94530.5330     0077
   3.8865138   1.23299e+01       94530.5330     0077
   3.8850039   1.23171e+01       94530.5330     0077
   3.8834951   1.23044e+01       94530.5330     0077
   3.8819876   1.22917e+01       94530.5330     0077
   3.8804812   1.22791e+01       94530.5330     0077
   3.8789760   1.22664e+01       94530.5330     0077
   3.8774719   1.22538e+01       94530.5330     0077
   3.8759690   1.22413e+01       94530.5330     0077
   3.8744673   1.22287e+01       94530.5330     0077
   3.8729667   1.22162e+01       94530.5330     0077
   3.8714673   1.22036e+01       94530.5330     0077
   3.8699690   1.21912e+01       94530.5330     0077
   3.8684720   1.21787e+01       94530.5330     0077
   3.8669760   1.21663e+01       94530.5330     0077
   3.8654813   1.21539e+01       94530.5330     0077
   3.8639876   1.21415e+01       94530.5330     0077
   3.8624952   1.21291e+01       94530.5330     0077
   3.8610039   1.21168e+01       94530.5330     0077
   3.8595137   1.21045e+01       94530.5330     0077
   3.8580247   1.20923e+01       94530.5330     0077
   3.8565368   1.20801e+01       94530.5330     0077
   3.8550501   1.20679e+01       94530.5330     0077
   3.8535645   1.20558e+01       94530.5330     0077
   3.8520801   1.20437e+01       94530.5330     0077
   3.8505968   1.20316e+01       94530.5330     0077
   3.8491147   1.20196e+01       94530.5330     0077
   3.8476337   1.20076e+01       94530.5330     0077
   3.8461538   1.19957e+01       94530.5330     0077
   3.8446751   1.19838e+01       94530.5330     0077
   3.8431975   1.19719e+01       94530.5330     0077
   3.8417211   1.19601e+01       94530.5330     0077
   3.8402458   1.19483e+01       94530.5330     0077
   3.8387716   1.19366e+01       94530.5330     0077
   3.8372985   1.19248e+01       94530.5330     0077
   3.8358266   1.19132e+01       94530.5330     0077
   3.8343558   1.19015e+01       94530.5330     0077
   3.8328862   1.18899e+01       94530.5330     0077
   3.8314176   1.18783e+01       94530.5330     0077
   3.8299502   1.18668e+01       94530.5330     0077
   3.8284839   1.18552e+01       94530.5330     0077
   3.8270188   1.18437e+01       94530.5330     0077
   3.8255547   1.18323e+01       94530.5330     0077
   3.8240918   1.18208e+01       94530.5330     0077
   3.8226300   1.18094e+01       94530.5330     0077
   3.8211693   1.17980e+01       94530.5330     0077
   3.8197097   1.17866e+01       94530.5330     0077
   3.8182512   1.17753e+01       94530.5330     0077
   3.8167939   1.17640e+01       94530.5330     0077
   3.8153377   1.17526e+01       94530.5330     0077
   3.8138825   1.17413e+01       94530.5330     0077
   3.8124285   1.17301e+01       94530.5330     0077
   3.8109756   1.17188e+01       94530.5330     0077
   3.8095238   1.17076e+01       94530.5330     0077
   3.8080731   1.16964e+01       94530.5330     0077
   3.8066235   1.16853e+01       94530.5330     0077
   3.8051750   1.16742e+01       94530.5330     0077
   3.8037277   1.16632e+01       94530.5330     0077
   3.8022814   1.16522e+01       94530.5330     0077
   3.8008362   1.16412e+01       94530.5330     0077
   3.7993921   1.16303e+01       94530.5330     0077
   3.7979491   1.16195e+01       94530.5330     0077
   3.7965072   1.16088e+01       94530.5330     0077
