# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   8.0000000   1.72363e+01      100932.0930     0002
   7.9936051   1.30190e+01      100610.7090     0006
   7.9872204   1.03052e+01       99003.6490     0026
   7.9808460   1.16210e+01       98279.9140     0035
   7.9744817   1.08590e+01       98360.3750     0034
   7.9681275   1.20306e+01      101012.4490     0001
   7.9617834   1.07896e+01       98440.8440     0033
   7.9554495   1.01018e+01       98842.8900     0028
   7.9491256   1.03178e+01       97715.5160     0042
   7.9428118   1.07157e+01      100289.3270     0010
   7.9365079   1.00095e+01       99003.6490     0026
   7.9302141   1.02790e+01       97309.8820     0047
   7.9239303   1.22605e+01       97553.6680     0044
   7.9176564   1.12870e+01       97796.3130     0041
   7.9113924   1.08220e+01       99485.8280     0020
   7.9051383   1.05938e+01       97715.5160     0042
   7.8988942   1.14016e+01       98440.8440     0033
   7.8926598   1.37316e+01      100771.4070     0004
   7.8864353   1.15939e+01       99485.8280     0020
   7.8802206   1.12646e+01       99084.0210     0025
   7.8740157   1.14978e+01       98762.5120     0029
   7.8678206   1.11669e+01       98923.2730     0027
   7.8616352   1.09478e+01       99485.8280     0020
   7.8554595   1.12616e+01       98038.3070     0038
   7.8492936   1.18798e+01       99726.8770     0017
   7.8431373   1.06386e+01       99003.6490     0026
   7.8369906   1.36197e+01      100691.0620     0005
   7.8308536   1.08770e+01       98440.8440     0033
   7.8247261   1.17799e+01      100048.2790     0013
   7.8186083   1.25129e+01       97796.3130     0041
   7.8125000   1.13509e+01      100610.7090     0006
   7.8064012   6.31009e+01      101012.4490     0001
   7.8003120   1.10450e+01       98199.4050     0036
   7.7942323   1.07865e+01      100369.6670     0009
   7.7881620   1.03213e+01       99244.7540     0023
   7.7821012   1.05511e+01      100289.3270     0010
   7.7760498   1.22302e+01      100450.0150     0008
   7.7700078   1.00257e+01       99003.6490     0026
   7.7639752   1.05180e+01       98923.2730     0027
   7.7579519   1.03920e+01       98038.3070     0038
   7.7519380   1.01534e+01      100369.6670     0009
   7.7459334   1.18393e+01       97877.0310     0040
   7.7399381   1.01296e+01      100530.3670     0007
   7.7339520   1.15341e+01       99726.8770     0017
   7.7279753   1.15397e+01      100610.7090     0006
   7.7220077   1.02493e+01       98601.6870     0031
   7.7160494   1.07541e+01       98360.3750     0034
   7.7101002   1.04748e+01       99967.9320     0014
   7.7041602   1.02033e+01       99003.6490     0026
   7.6982294   1.04378e+01       99244.7540     0023
   7.6923077   1.11707e+01       99244.7540     0023
   7.6863951   1.06456e+01       98279.9140     0035
   7.6804916   1.98244e+01      100932.0930     0002
   7.6745971   1.11367e+01       98682.1180     0030
   7.6687117   1.08905e+01       99003.6490     0026
   7.6628352   1.84802e+01      100932.0930     0002
   7.6569678   1.08646e+01      100610.7090     0006
   7.6511094   1.04728e+01       98842.8900     0028
   7.6452599   1.11232e+01      100691.0620     0005
   7.6394194   1.02534e+01       97472.5470     0045
   7.6335878   1.15709e+01       96899.0880     0052
   7.6277651   1.13525e+01       99485.8280     0020
   7.6219512   1.13527e+01       99485.8280     0020
   7.6161462   1.10131e+01       99566.1840     0019
   7.6103501   1.22671e+01       97391.3100     0046
   7.6045627   1.04417e+01       97553.6680     0044
   7.5987842   1.20821e+01      100932.0930     0002
   7.5930144   1.11642e+01       99726.8770     0017
   7.5872534   1.15071e+01       98279.9140     0035
   7.5815011   1.22347e+01      100289.3270     0010
   7.5757576   1.09020e+01       97796.3130     0041
   7.5700227   1.09695e+01       98842.8900     0028
   7.5642965   1.11301e+01       97796.3130     0041
