#wvl [um]      Flux [erg/s/cm]
8              28239.9903        
7.996801279    26558.4792        
7.993605116    28249.3748        
7.990411506    13244.8564        
7.987220447    28089.2473        
7.984031936    17644.3593        
7.98084597     27366.4895        
7.977662545    28203.3763        
7.974481659    28082.8423        
7.971303308    26490.6549        
7.96812749     28378.7812        
7.964954202    28180.1583        
7.961783439    27046.8283        
7.958615201    28174.1936        
7.955449483    27972.6773        
7.952286282    28446.5468        
7.949125596    23400.8419        
7.945967422    28468.8913        
7.942811755    28470.2265        
7.939658595    28186.7166        
7.936507937    28321.5154        
7.933359778    28530.9966        
7.930214116    17646.4256        
7.927070947    28481.1327        
7.923930269    22968.321         
7.920792079    28381.2722        
7.917656374    19722.9955        
7.91452315     28613.8715        
7.911392405    28472.5963        
7.908264136    28411.2745        
7.90513834     25562.3023        
7.902015014    28247.7362        
7.898894155    27760.5544        
7.89577576     24485.6325        
7.892659826    28710.1459        
7.889546351    28621.8799        
7.886435331    28618.789         
7.883326764    28574.7922        
7.880220646    28568.5393        
7.877116975    28649.8228        
7.874015748    27808.6518        
7.870916962    28608.5713        
7.867820614    28490.6219        
7.864726701    28699.6246        
7.86163522     28716.5548        
7.858546169    28712.4415        
7.855459544    26380.8962        
7.852375344    24036.6345        
7.849293564    28829.416         
7.846214202    28854.0541        
7.843137255    28710.3118        
7.840062721    28457.0103        
7.836990596    28956.1096        
7.833920877    28279.4595        
7.830853563    28190.7922        
7.82778865     28640.2092        
7.824726135    28910.9121        
7.821666015    28731.781         
7.818608288    24698.3635        
7.81555295     29053.2996        
7.8125         29060.1157        
7.809449434    26254.2035        
7.806401249    29095.2204        
7.803355443    28247.9846        
7.800312012    27933.6737        
7.797270955    27857.5766        
7.794232268    29128.3667        
7.791195949    28967.1374        
7.788161994    28998.9862        
7.785130401    29189.8848        
7.782101167    29139.8871        
7.77907429     29154.5209        
7.776049767    29195.7568        
7.773027594    29002.0853        
7.77000777     28941.6068        
7.766990291    26749.2215        
