# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
  35.7142857   5.62246e+06       80659.9840     0099
  35.6824264   7.24326e+06       80659.9840     0099
  35.6506239   7.02190e+06       80659.9840     0099
  35.6188780   7.12321e+06       80659.9840     0099
  35.5871886   7.78984e+06       80659.9840     0099
  35.5555556   7.65452e+06       80659.9840     0099
  35.5239787   8.35982e+06       80659.9840     0099
  35.4924579   9.24860e+06       80659.9840     0099
  35.4609929   1.07009e+07       80659.9840     0099
  35.4295837   1.26322e+07       80659.9840     0099
  35.3982301   9.31883e+06       80659.9840     0099
  35.3669319   9.10330e+06       80659.9840     0099
  35.3356890   9.54932e+06       80659.9840     0099
  35.3045013   9.50904e+06       80659.9840     0099
  35.2733686   1.01422e+07       80659.9840     0099
  35.2422907   1.05594e+07       80659.9840     0099
  35.2112676   1.14641e+07       80659.9840     0099
  35.1802990   1.32999e+07       80659.9840     0099
  35.1493849   1.45362e+07       80659.9840     0099
  35.1185250   1.82442e+07       80659.9840     0099
  35.0877193   1.44903e+07       80659.9840     0099
  35.0569676   1.37770e+07       80659.9840     0099
  35.0262697   1.63214e+07       80659.9840     0099
  34.9956255   1.45844e+07       80659.9840     0099
  34.9650350   1.16397e+07       80659.9840     0099
  34.9344978   1.05149e+07       80659.9840     0099
  34.9040140   9.77774e+06       80659.9840     0099
  34.8735833   9.65637e+06       80659.9840     0099
  34.8432056   8.96885e+06       80659.9840     0099
  34.8128808   8.75145e+06       80659.9840     0099
  34.7826087   8.26834e+06       80659.9840     0099
  34.7523892   8.49017e+06       80659.9840     0099
  34.7222222   8.25643e+06       80659.9840     0099
  34.6921075   8.08975e+06       80659.9840     0099
  34.6620451   7.58571e+06       80659.9840     0099
  34.6320346   7.48476e+06       80659.9840     0099
  34.6020761   7.26357e+06       80659.9840     0099
  34.5721694   7.38448e+06       80659.9840     0099
  34.5423143   8.23076e+06       80659.9840     0099
  34.5125108   9.37104e+06       80659.9840     0099
  34.4827586   7.93417e+06       80659.9840     0099
  34.4530577   7.32727e+06       80659.9840     0099
  34.4234079   7.36698e+06       80659.9840     0099
  34.3938091   7.94817e+06       80659.9840     0099
  34.3642612   7.67052e+06       80659.9840     0099
  34.3347639   8.05684e+06       80659.9840     0099
  34.3053173   7.89133e+06       80659.9840     0099
  34.2759212   7.49198e+06       80659.9840     0099
  34.2465753   7.91978e+06       80659.9840     0099
  34.2172797   7.59163e+06       80659.9840     0099
  34.1880342   7.44639e+06       80659.9840     0099
  34.1588386   7.39428e+06       80659.9840     0099
  34.1296928   7.22537e+06       80659.9840     0099
  34.1005968   7.52866e+06       80659.9840     0099
  34.0715503   6.66971e+06       80659.9840     0099
  34.0425532   6.48114e+06       80659.9840     0099
  34.0136054   6.55668e+06       80659.9840     0099
  33.9847069   6.57351e+06       80659.9840     0099
  33.9558574   6.16968e+06       80659.9840     0099
  33.9270568   6.30669e+06       80659.9840     0099
  33.8983051   6.47815e+06       80659.9840     0099
  33.8696020   6.44666e+06       80659.9840     0099
  33.8409475   6.35414e+06       80659.9840     0099
  33.8123415   6.73853e+06       80659.9840     0099
  33.7837838   7.38354e+06       80659.9840     0099
  33.7552743   7.27931e+06       80659.9840     0099
