#wvl [um]      Flux [erg/s/cm]
35.71428571    2533.61505        
35.6824264     1902.93269        
35.65062389    2156.99445        
35.61887801    2269.55712        
35.58718861    1880.44929        
35.55555556    2055.48669        
35.52397869    1986.42242        
35.49245785    1865.01168        
35.46099291    2214.82158        
35.4295837     1870.8623         
35.39823009    2463.81598        
35.36693192    1940.69166        
35.33568905    1882.58062        
35.30450132    1884.61492        
35.27336861    1905.08123        
35.24229075    1903.63814        
35.21126761    2200.21135        
35.18029903    1936.72149        
35.14938489    2360.32726        
35.11852502    2433.09558        
35.0877193     2128.67449        
35.05696757    2353.35026        
35.0262697     1910.31292        
34.99562555    2063.08712        
34.96503497    2482.75206        
34.93449782    2166.40231        
34.90401396    2033.84898        
34.87358326    1939.29575        
34.84320557    1953.57851        
34.81288077    2095.1358         
34.7826087     1980.80391        
34.75238923    2575.40911        
34.72222222    2460.61522        
34.69210755    2130.80525        
34.66204506    1948.03333        
34.63203463    1949.2345         
34.60207612    2027.22739        
34.5721694     2102.8723         
34.54231434    2165.80591        
34.51251079    2038.08709        
34.48275862    2127.91598        
34.45305771    2010.56689        
34.42340792    2320.81387        
34.39380911    2242.83711        
34.36426117    2323.26695        
34.33476395    2233.55873        
34.30531732    2114.17507        
34.27592117    2417.53629        
34.24657534    2285.02675        
34.21727973    2474.34531        
34.18803419    2387.52693        
34.1588386     2082.39082        
34.12969283    2363.43995        
34.10059676    2021.06105        
34.07155026    2569.3041         
34.04255319    2564.08589        
34.01360544    2778.57939        
33.98470688    2366.23682        
33.95585739    2811.60791        
33.92705683    2151.27613        
33.89830508    2169.53258        
33.86960203    2266.38039        
33.84094755    2680.12897        
33.8123415     2036.76591        
33.78378378    2158.62305        
33.75527426    2257.19186        
33.72681282    2175.13502        
33.69839933    2161.88733        
33.67003367    2980.57056        
33.64171573    2137.35112        
33.61344538    2127.41285        
33.5852225     2072.3216         
33.55704698    2953.48221        
33.52891869    2222.53201        
33.50083752    2802.9024         
33.47280335    2213.18018        
33.44481605    2075.31269        
33.41687552    2297.52118        
33.38898164    2125.18156        
33.36113428    2084.28245        
33.33333333    2321.14518        
33.30557868    2092.99248        
33.27787022    2871.6404         
33.25020781    2096.80352        
33.22259136    2099.97618        
33.19502075    2388.12374        
33.16749585    2106.83362        
33.14001657    2471.987          
33.11258278    2348.44518        
33.08519438    2541.88235        
33.05785124    2836.28111        
33.03055326    2389.74076        
33.00330033    2125.02104        
32.97609233    2848.72108        
32.94892916    2621.26217        
32.9218107     2134.28542        
32.89473684    2139.27739        
32.86770748    2143.1242         
32.8407225     2382.19419        
32.81378179    2251.16628        
32.78688525    2200.23695        
32.76003276    2475.66582        
32.73322422    2517.47749        
32.70645953    2374.84907        
32.67973856    3055.8533         
32.65306122    2642.1923         
32.62642741    2918.72912        
32.599837      2706.01535        
32.5732899     2467.55305        
32.546786      2856.09253        
32.5203252     3193.22842        
32.49390739    2186.21944        
32.46753247    2225.00047        
32.44120032    2350.86375        
32.41491086    2315.44227        
32.38866397    2210.04396        
32.36245955    2469.55609        
32.33629749    2207.03959        
32.31017771    2448.59925        
32.28410008    2585.47492        
32.25806452    2958.80054        
32.23207091    2414.46866        
32.20611916    2899.58486        
32.18020917    2522.38184        
32.15434084    2654.29963        
32.12851406    2589.23866        
32.10272873    2302.10319        
32.07698476    2716.03815        
32.05128205    3065.71536        
32.0256205     2682.84169        
32             2562.40361        
31.97442046    3195.64838        
31.94888179    2292.56629        
31.92338388    2260.21898        
31.89792663    2793.96011        
31.87250996    2296.84834        
31.84713376    2454.36684        
31.82179793    2269.62449        
31.79650238    2633.38127        
31.77124702    2305.4535         
31.74603175    2277.54872        
31.72085646    2744.09322        
31.69572108    2293.31248        
31.67062549    2810.50439        
31.64556962    2292.94359        
31.62055336    2506.8094         
31.59557662    2407.94406        
31.57063931    2544.22107        
31.54574132    2316.53246        
31.52088258    2702.30136        
31.49606299    2312.10221        
31.47128245    2611.98635        
31.44654088    2544.02139        
31.42183818    3046.15857        
31.39717425    2867.54377        
31.37254902    2869.46912        
31.34796238    3208.00162        
31.32341425    3049.88921        
31.29890454    2605.65625        
31.27443315    2597.78654        
31.25          3127.75637        
31.225605      3258.17954        
31.20124805    2579.11699        
31.17692907    3014.23327        
31.15264798    2354.85748        
31.12840467    2828.63134        
31.10419907    2493.65165        
31.08003108    3001.30207        
31.05590062    3045.22632        
31.0318076     2740.46253        
31.00775194    3318.64638        
30.98373354    2705.39389        
30.95975232    2389.23453        
30.9358082     2974.68124        
30.91190108    2795.50567        
30.88803089    3268.9303         
30.86419753    2394.09055        
30.84040093    2923.88399        
30.81664099    2619.47678        
30.79291763    3006.31375        
30.76923077    3038.41915        
30.74558032    3098.17725        
30.72196621    2532.875          
30.69838833    2568.24231        
30.67484663    2842.01793        
30.651341      3444.81625        
