# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
  35.7142857   1.18288e+01       81377.7650     0068
  35.6824264   1.53093e+01       81468.7050     0061
  35.6506239   1.94796e+01       81406.2340     0066
  35.6188780   1.50028e+01       81377.7650     0068
  35.5871886   1.00761e+01       81480.1000     0060
  35.5555556   1.46715e+01       81419.6210     0065
  35.5239787   1.71122e+01       81444.9570     0063
  35.4924579   1.18875e+01       81674.9420     0041
  35.4609929   1.28304e+01       81406.2340     0066
  35.4295837   1.13712e+01       81714.7210     0037
  35.3982301   1.41443e+01       81377.7650     0068
  35.3669319   1.31579e+01       81457.0050     0062
  35.3356890   1.00680e+01       81574.8890     0051
  35.3045013   1.15129e+01       81584.9910     0050
  35.2733686   1.14392e+01       81502.1600     0058
  35.2422907   1.41851e+01       81502.1600     0058
  35.2112676   1.45920e+01       81392.2990     0067
  35.1802990   1.20286e+01       81480.1000     0060
  35.1493849   1.95180e+01       81377.7650     0068
  35.1185250   4.43200e+02       81392.2990     0067
  35.0877193   1.03698e+01       81432.5110     0064
  35.0569676   1.53206e+01       81392.2990     0067
  35.0262697   1.18404e+01       81635.0920     0045
  34.9956255   1.43257e+01       81444.9570     0063
  34.9650350   1.40352e+01       81362.5840     0069
  34.9344978   1.65844e+01       81419.6210     0065
  34.9040140   1.70337e+01       81444.9570     0063
  34.8735833   1.47538e+01       81502.1600     0058
  34.8432056   1.32471e+01       81480.1000     0060
  34.8128808   1.02127e+01       81444.9570     0063
  34.7826087   1.07750e+01       81457.0050     0062
  34.7523892   2.87108e+01       81392.2990     0067
  34.7222222   2.44237e+01       81377.7650     0068
  34.6921075   1.59584e+01       81419.6210     0065
  34.6620451   1.12865e+01       81584.9910     0050
  34.6320346   1.15354e+01       81684.8920     0040
  34.6020761   1.01838e+01       81457.0050     0062
  34.5721694   1.35979e+01       81419.6210     0065
  34.5423143   1.12903e+01       81432.5110     0064
  34.5125108   1.00115e+01       81468.7050     0061
  34.4827586   1.14961e+01       81444.9570     0063
  34.4530577   1.35692e+01       81468.7050     0061
  34.4234079   1.42324e+01       81392.2990     0067
  34.3938091   1.47914e+01       81419.6210     0065
  34.3642612   1.26530e+01       81406.2340     0066
  34.3347639   1.01204e+01       81432.5110     0064
  34.3053173   1.01093e+01       81457.0050     0062
  34.2759212   1.36075e+01       81362.5840     0069
  34.2465753   2.05509e+01       81406.2340     0066
  34.2172797   1.48272e+01       81392.2990     0067
  34.1880342   1.89571e+01       81406.2340     0066
  34.1588386   1.69454e+01       81457.0050     0062
  34.1296928   1.59926e+01       81377.7650     0068
  34.1005968   1.33192e+01       81502.1600     0058
  34.0715503   1.31148e+01       81377.7650     0068
  34.0425532   1.43724e+01       81377.7650     0068
  34.0136054   2.11637e+01       81377.7650     0068
  33.9847069   1.15339e+01       81392.2990     0067
  33.9558574   1.43722e+01       81346.7090     0070
  33.9270568   1.14222e+01       81457.0050     0062
  33.8983051   1.39041e+01       81444.9570     0063
  33.8696020   1.46915e+01       81406.2340     0066
  33.8409475   1.86033e+01       81362.5840     0069
  33.8123415   1.17535e+01       81584.9910     0050
  33.7837838   1.63929e+01       81444.9570     0063
  33.7552743   1.25792e+01       81432.5110     0064
  33.7268128   1.59118e+01       81432.5110     0064
  33.6983993   1.13798e+01       81419.6210     0065
  33.6700337   1.51548e+01       81346.7090     0070
  33.6417157   1.09264e+01       81457.0050     0062
  33.6134454   1.31709e+01       81468.7050     0061
  33.5852225   1.07796e+01       81512.8950     0057
  33.5570470   4.41272e+01       81377.7650     0068
  33.5289187   1.37835e+01       81432.5110     0064
  33.5008375   1.61311e+01       81362.5840     0069
  33.4728033   1.01553e+01       81444.9570     0063
  33.4448161   1.20133e+01       81655.0320     0043
  33.4168755   1.23657e+01       81432.5110     0064
  33.3889816   1.43178e+01       81468.7050     0061
  33.3611343   1.26263e+01       81883.6180     0020
  33.3333333   1.24697e+01       81419.6210     0065
  33.3055787   1.00950e+01       81584.9910     0050
