# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   8.45102e+03       80114.9060     0099
   4.9975012   8.43315e+03       80114.9060     0099
   4.9950050   8.41506e+03       80114.9060     0099
   4.9925112   8.39679e+03       80114.9060     0099
   4.9900200   8.37833e+03       80114.9060     0099
   4.9875312   8.35971e+03       80114.9060     0099
   4.9850449   8.34095e+03       80114.9060     0099
   4.9825610   8.32205e+03       80114.9060     0099
   4.9800797   8.30304e+03       80114.9060     0099
   4.9776008   8.28393e+03       80114.9060     0099
   4.9751244   8.26473e+03       80114.9060     0099
   4.9726504   8.24547e+03       80114.9060     0099
   4.9701789   8.22616e+03       80114.9060     0099
   4.9677099   8.20681e+03       80114.9060     0099
   4.9652433   8.18744e+03       80114.9060     0099
   4.9627792   8.16808e+03       80114.9060     0099
   4.9603175   8.14872e+03       80114.9060     0099
   4.9578582   8.12940e+03       80114.9060     0099
   4.9554014   8.11012e+03       80114.9060     0099
   4.9529470   8.09090e+03       80114.9060     0099
   4.9504950   8.07175e+03       80114.9060     0099
   4.9480455   8.05270e+03       80114.9060     0099
   4.9455984   8.03374e+03       80114.9060     0099
   4.9431537   8.01487e+03       80114.9060     0099
   4.9407115   7.99608e+03       80114.9060     0099
   4.9382716   7.97737e+03       80114.9060     0099
   4.9358342   7.95873e+03       80114.9060     0099
   4.9333991   7.94017e+03       80114.9060     0099
   4.9309665   7.92167e+03       80114.9060     0099
   4.9285362   7.90324e+03       80114.9060     0099
   4.9261084   7.88487e+03       80114.9060     0099
   4.9236829   7.86656e+03       80114.9060     0099
   4.9212598   7.84830e+03       80114.9060     0099
   4.9188392   7.83009e+03       80114.9060     0099
   4.9164208   7.81193e+03       80114.9060     0099
   4.9140049   7.79381e+03       80114.9060     0099
   4.9115914   7.77573e+03       80114.9060     0099
   4.9091802   7.75769e+03       80114.9060     0099
   4.9067713   7.73968e+03       80114.9060     0099
   4.9043649   7.72169e+03       80114.9060     0099
   4.9019608   7.70374e+03       80114.9060     0099
   4.8995590   7.68581e+03       80114.9060     0099
   4.8971596   7.66790e+03       80114.9060     0099
   4.8947626   7.65001e+03       80114.9060     0099
   4.8923679   7.63214e+03       80114.9060     0099
   4.8899756   7.61429e+03       80114.9060     0099
   4.8875855   7.59647e+03       80114.9060     0099
   4.8851979   7.57866e+03       80114.9060     0099
   4.8828125   7.56087e+03       80114.9060     0099
   4.8804295   7.54310e+03       80114.9060     0099
   4.8780488   7.52536e+03       80114.9060     0099
   4.8756704   7.50763e+03       80114.9060     0099
   4.8732943   7.48991e+03       80114.9060     0099
   4.8709206   7.47221e+03       80114.9060     0099
   4.8685492   7.45453e+03       80114.9060     0099
   4.8661800   7.43687e+03       80114.9060     0099
   4.8638132   7.41922e+03       80114.9060     0099
   4.8614487   7.40158e+03       80114.9060     0099
   4.8590865   7.38396e+03       80114.9060     0099
   4.8567266   7.36635e+03       80114.9060     0099
   4.8543689   7.34877e+03       80114.9060     0099
   4.8520136   7.33118e+03       80114.9060     0099
   4.8496605   7.31362e+03       80114.9060     0099
   4.8473097   7.29608e+03       80114.9060     0099
   4.8449612   7.27858e+03       80114.9060     0099
   4.8426150   7.26110e+03       80114.9060     0099
   4.8402711   7.24367e+03       80114.9060     0099
   4.8379294   7.22628e+03       80114.9060     0099
   4.8355899   7.20894e+03       80114.9060     0099
