#wvl [um]      Flux [erg/s/cm]
5              23514.6454        
4.997501249    23516.3114        
4.995004995    23517.931         
4.992511233    23519.5712        
4.99001996     23521.153         
4.987531172    23522.7175        
4.985044865    23524.6806        
4.982561036    23525.827         
4.980079681    23527.3434        
4.977600796    23528.8532        
4.975124378    23530.3406        
4.972650423    23531.8767        
4.970178926    23533.2735        
4.967709886    23534.7223        
4.965243297    23536.1456        
4.962779156    23537.6218        
4.96031746     23539.0196        
4.957858205    23540.339         
4.955401388    23541.7264        
4.952947003    23543.0668        
4.95049505     23544.4112        
4.948045522    23546.2044        
4.945598417    23547.0598        
4.943153732    23548.3875        
4.940711462    23549.6711        
4.938271605    23550.9416        
4.935834156    23552.3039        
4.933399112    23553.4587        
4.930966469    23554.7           
4.928536225    23555.9263        
4.926108374    23557.1524        
4.923682915    23558.3558        
4.921259843    23559.5311        
4.918839154    23560.7061        
4.916420846    23561.8711        
4.914004914    23563.0472        
4.911591356    23564.2159        
4.909180167    23565.5477        
4.906771344    23566.4115        
4.904364885    23567.4785        
4.901960784    23568.5694        
4.89955904     23569.6964        
4.897159647    23570.6811        
4.894762604    23583.6841        
4.892367906    23572.7478        
4.88997555     23573.7803        
4.887585533    23574.7609        
4.885197851    23575.7673        
4.8828125      23576.7182        
4.880429478    23577.6764        
4.87804878     23578.6205        
4.875670405    23579.5583        
4.873294347    23580.4691        
4.870920604    23581.4063        
4.868549172    23582.2597        
4.866180049    23583.1364        
4.86381323     23584.0189        
4.861448712    23584.843         
4.859086492    23585.6926        
4.856726566    23586.4965        
4.854368932    23587.3311        
4.852013586    23588.4074        
4.849660524    23588.8667        
4.847309743    23589.6297        
4.84496124     23590.3793        
4.842615012    23591.1369        
4.840271055    23591.8387        
4.837929366    23592.549         
4.835589942    23593.2839        
4.833252779    23593.9288        
4.830917874    23594.6119        
4.828585225    23595.2575        
4.826254826    23595.9157        
4.823926676    23597.4901        
4.821600771    23597.1863        
4.819277108    23597.7729        
4.816955684    23598.3723        
4.814636495    23598.9599        
4.812319538    23599.537         
