# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.24938e+01       80700.2030     0085
   4.9975012   1.24674e+01       80700.2030     0085
   4.9950050   1.24406e+01       80700.2030     0085
   4.9925112   1.24134e+01       80700.2030     0085
   4.9900200   1.23862e+01       80700.2030     0085
   4.9875312   1.23585e+01       80700.2030     0085
   4.9850449   1.23308e+01       80700.2030     0085
   4.9825610   1.23028e+01       80700.2030     0085
   4.9800797   1.22745e+01       80700.2030     0085
   4.9776008   1.22462e+01       80700.2030     0085
   4.9751244   1.22177e+01       80700.2030     0085
   4.9726504   1.21892e+01       80700.2030     0085
   4.9701789   1.21605e+01       80700.2030     0085
   4.9677099   1.21319e+01       80700.2030     0085
   4.9652433   1.21032e+01       80700.2030     0085
   4.9627792   1.20745e+01       80700.2030     0085
   4.9603175   1.20461e+01       80700.2030     0085
   4.9578582   1.20172e+01       80700.2030     0085
   4.9554014   1.19889e+01       80700.2030     0085
   4.9529470   1.19602e+01       80700.2030     0085
   4.9504950   1.19318e+01       80700.2030     0085
   4.9480455   1.19036e+01       80700.2030     0085
   4.9455984   1.18754e+01       80700.2030     0085
   4.9431537   1.18482e+01       80700.2030     0085
   4.9407115   1.18196e+01       80700.2030     0085
   4.9382716   1.17920e+01       80700.2030     0085
   4.9358342   1.17643e+01       80700.2030     0085
   4.9333991   1.17368e+01       80700.2030     0085
   4.9309665   1.17094e+01       80700.2030     0085
   4.9285362   1.16820e+01       80700.2030     0085
   4.9261084   1.16549e+01       80700.2030     0085
   4.9236829   1.16277e+01       80700.2030     0085
   4.9212598   1.16007e+01       80700.2030     0085
   4.9188392   1.15737e+01       80700.2030     0085
   4.9164208   1.15469e+01       80700.2030     0085
   4.9140049   1.15199e+01       80700.2030     0085
   4.9115914   1.14932e+01       80700.2030     0085
   4.9091802   1.14691e+01       80700.2030     0085
   4.9067713   1.14398e+01       80700.2030     0085
   4.9043649   1.14131e+01       80700.2030     0085
   4.9019608   1.13865e+01       80700.2030     0085
   4.8995590   1.13599e+01       80700.2030     0085
   4.8971596   1.13334e+01       80700.2030     0085
   4.8947626   1.13082e+01       80700.2030     0085
   4.8923679   1.12804e+01       80700.2030     0085
   4.8899756   1.12539e+01       80700.2030     0085
   4.8875855   1.12277e+01       80700.2030     0085
   4.8851979   1.12013e+01       80700.2030     0085
   4.8828125   1.11748e+01       80700.2030     0085
   4.8804295   1.11484e+01       80700.2030     0085
   4.8780488   1.11222e+01       80700.2030     0085
   4.8756704   1.10965e+01       80700.2030     0085
   4.8732943   1.10697e+01       80700.2030     0085
   4.8709206   1.10434e+01       80700.2030     0085
   4.8685492   1.10172e+01       80700.2030     0085
   4.8661800   1.09911e+01       80700.2030     0085
   4.8638132   1.09653e+01       80700.2030     0085
   4.8614487   1.09388e+01       80700.2030     0085
   4.8590865   1.09127e+01       80700.2030     0085
   4.8567266   1.08866e+01       80700.2030     0085
   4.8543689   1.08619e+01       80700.2030     0085
   4.8520136   1.08346e+01       80700.2030     0085
   4.8496605   1.08085e+01       80700.2030     0085
   4.8473097   1.07825e+01       80700.2030     0085
   4.8449612   1.07567e+01       80700.2030     0085
   4.8426150   1.07308e+01       80700.2030     0085
   4.8402711   1.07049e+01       80700.2030     0085
   4.8379294   1.06791e+01       80700.2030     0085
   4.8355899   1.06534e+01       80700.2030     0085
   4.8332528   1.06285e+01       80700.2030     0085
   4.8309179   1.06023e+01       80700.2030     0085
   4.8285852   1.05769e+01       80700.2030     0085
   4.8262548   1.05516e+01       80700.2030     0085
   4.8239267   1.05275e+01       80700.2030     0085
   4.8216008   1.05013e+01       80700.2030     0085
   4.8192771   1.04763e+01       80700.2030     0085
   4.8169557   1.04515e+01       80700.2030     0085
   4.8146365   1.04270e+01       80700.2030     0085
   4.8123195   1.04025e+01       80700.2030     0085
   4.8100048   1.03780e+01       80700.2030     0085
   4.8076923   1.03538e+01       80700.2030     0085
   4.8053820   1.03298e+01       80700.2030     0085
   4.8030740   1.03178e+01       80700.2030     0085
   4.8007681   1.02823e+01       80700.2030     0085
   4.7984645   1.02587e+01       80700.2030     0085
   4.7961631   1.02353e+01       80700.2030     0085
   4.7938639   1.02121e+01       80700.2030     0085
   4.7915668   1.01888e+01       80700.2030     0085
   4.7892720   1.01656e+01       80700.2030     0085
   4.7869794   1.01426e+01       80700.2030     0085
   4.7846890   1.01197e+01       80700.2030     0085
   4.7824008   1.00967e+01       80700.2030     0085
   4.7801147   1.00737e+01       80700.2030     0085
   4.7778309   1.00509e+01       80700.2030     0085
   4.7755492   1.00280e+01       80700.2030     0085
   4.7732697   1.00060e+01       80700.2030     0085
   4.7709924   1.57901e+01       80658.4290     0086
   4.7687172   1.57540e+01       80658.4290     0086
   4.7664442   1.57193e+01       80658.4290     0086
   4.7641734   1.56835e+01       80658.4290     0086
   4.7619048   1.56453e+01       80658.4290     0086
   4.7596383   1.56088e+01       80658.4290     0086
   4.7573739   1.55720e+01       80658.4290     0086
   4.7551117   1.55355e+01       80658.4290     0086
   4.7528517   1.54983e+01       80658.4290     0086
   4.7505938   1.54613e+01       80658.4290     0086
   4.7483381   1.54244e+01       80658.4290     0086
   4.7460845   1.53880e+01       80658.4290     0086
   4.7438330   1.53504e+01       80658.4290     0086
   4.7415837   1.53133e+01       80658.4290     0086
   4.7393365   1.52762e+01       80658.4290     0086
   4.7370914   1.52392e+01       80658.4290     0086
   4.7348485   1.52026e+01       80658.4290     0086
   4.7326077   1.51651e+01       80658.4290     0086
   4.7303690   1.51278e+01       80658.4290     0086
   4.7281324   1.50909e+01       80658.4290     0086
   4.7258979   1.50539e+01       80658.4290     0086
   4.7236656   1.50167e+01       80658.4290     0086
   4.7214353   1.49798e+01       80658.4290     0086
   4.7192072   1.49433e+01       80658.4290     0086
   4.7169811   1.49071e+01       80658.4290     0086
   4.7147572   1.48700e+01       80658.4290     0086
   4.7125353   1.48335e+01       80658.4290     0086
   4.7103156   1.47973e+01       80658.4290     0086
   4.7080979   1.47606e+01       80658.4290     0086
   4.7058824   1.47241e+01       80658.4290     0086
   4.7036689   1.46880e+01       80658.4290     0086
   4.7014575   1.46524e+01       80658.4290     0086
   4.6992481   1.46178e+01       80658.4290     0086
   4.6970409   1.45851e+01       80658.4290     0086
   4.6948357   1.47972e+01       80658.4290     0086
   4.6926326   1.45166e+01       80658.4290     0086
   4.6904315   1.44754e+01       80658.4290     0086
   4.6882325   1.44399e+01       80658.4290     0086
   4.6860356   1.44043e+01       80658.4290     0086
   4.6838407   1.43695e+01       80658.4290     0086
   4.6816479   1.43351e+01       80658.4290     0086
   4.6794572   1.43006e+01       80658.4290     0086
   4.6772685   1.42664e+01       80658.4290     0086
   4.6750818   1.42327e+01       80658.4290     0086
   4.6728972   1.41988e+01       80658.4290     0086
   4.6707146   1.41672e+01       80658.4290     0086
   4.6685341   1.41322e+01       80658.4290     0086
   4.6663556   1.40995e+01       80658.4290     0086
   4.6641791   1.40669e+01       80658.4290     0086
   4.6620047   1.40337e+01       80658.4290     0086
   4.6598322   1.40019e+01       80658.4290     0086
   4.6576619   1.39680e+01       80658.4290     0086
   4.6554935   1.39357e+01       80658.4290     0086
   4.6533271   1.39035e+01       80658.4290     0086
   4.6511628   1.38710e+01       80658.4290     0086
   4.6490005   1.38391e+01       80658.4290     0086
   4.6468401   1.38070e+01       80658.4290     0086
   4.6446818   1.37755e+01       80658.4290     0086
   4.6425255   1.37433e+01       80658.4290     0086
   4.6403712   1.37112e+01       80658.4290     0086
   4.6382189   1.36794e+01       80658.4290     0086
   4.6360686   1.36475e+01       80658.4290     0086
   4.6339203   1.36158e+01       80658.4290     0086
   4.6317740   1.35838e+01       80658.4290     0086
   4.6296296   1.35520e+01       80658.4290     0086
   4.6274873   1.35202e+01       80658.4290     0086
   4.6253469   1.34903e+01       80658.4290     0086
   4.6232085   1.34569e+01       80658.4290     0086
   4.6210721   1.34246e+01       80658.4290     0086
   4.6189376   1.33924e+01       80658.4290     0086
   4.6168052   1.33603e+01       80658.4290     0086
   4.6146747   1.33285e+01       80658.4290     0086
   4.6125461   1.32960e+01       80658.4290     0086
   4.6104195   1.32645e+01       80658.4290     0086
   4.6082949   1.32334e+01       80658.4290     0086
   4.6061723   1.32000e+01       80658.4290     0086
   4.6040516   1.31681e+01       80658.4290     0086
   4.6019328   1.31374e+01       80658.4290     0086
   4.5998160   1.31050e+01       80658.4290     0086
   4.5977011   1.30728e+01       80658.4290     0086
   4.5955882   1.30416e+01       80658.4290     0086
   4.5934773   1.30096e+01       80658.4290     0086
   4.5913682   1.29780e+01       80658.4290     0086
   4.5892611   1.29467e+01       80658.4290     0086
   4.5871560   1.29158e+01       80658.4290     0086
   4.5850527   1.28843e+01       80658.4290     0086
   4.5829514   1.28539e+01       80658.4290     0086
   4.5808520   1.28228e+01       80658.4290     0086
   4.5787546   1.27917e+01       80658.4290     0086
   4.5766590   1.27629e+01       80658.4290     0086
   4.5745654   1.27333e+01       80658.4290     0086
   4.5724737   1.27004e+01       80658.4290     0086
   4.5703839   1.26702e+01       80658.4290     0086
   4.5682960   1.26402e+01       80658.4290     0086
   4.5662100   1.26153e+01       80658.4290     0086
   4.5641260   1.25819e+01       80658.4290     0086
   4.5620438   1.25484e+01       80658.4290     0086
   4.5599635   1.25207e+01       80658.4290     0086
   4.5578851   1.24884e+01       80658.4290     0086
   4.5558087   1.24604e+01       80658.4290     0086
   4.5537341   1.24287e+01       80658.4290     0086
   4.5516614   1.23992e+01       80658.4290     0086
   4.5495905   1.23695e+01       80658.4290     0086
   4.5475216   1.23399e+01       80658.4290     0086
   4.5454545   1.23140e+01       80658.4290     0086
   4.5433894   1.22800e+01       80658.4290     0086
   4.5413261   1.22509e+01       80658.4290     0086
   4.5392646   1.22219e+01       80658.4290     0086
   4.5372051   1.21915e+01       80658.4290     0086
   4.5351474   1.21621e+01       80658.4290     0086
   4.5330916   1.21333e+01       80658.4290     0086
   4.5310376   1.21040e+01       80658.4290     0086
   4.5289855   1.20752e+01       80658.4290     0086
   4.5269353   1.20470e+01       80658.4290     0086
   4.5248869   1.20178e+01       80658.4290     0086
   4.5228403   1.19874e+01       80658.4290     0086
   4.5207957   1.19610e+01       80658.4290     0086
   4.5187528   1.19300e+01       80658.4290     0086
   4.5167118   1.19006e+01       80658.4290     0086
   4.5146727   1.18719e+01       80658.4290     0086
   4.5126354   1.18452e+01       80658.4290     0086
   4.5105999   1.18146e+01       80658.4290     0086
   4.5085663   1.17860e+01       80658.4290     0086
   4.5065345   1.17583e+01       80658.4290     0086
   4.5045045   1.17290e+01       80658.4290     0086
   4.5024764   1.17008e+01       80658.4290     0086
   4.5004500   1.16733e+01       80658.4290     0086
   4.4984256   1.16466e+01       80658.4290     0086
   4.4964029   1.16163e+01       80658.4290     0086
   4.4943820   1.15885e+01       80658.4290     0086
   4.4923630   1.15603e+01       80658.4290     0086
   4.4903458   1.15328e+01       80658.4290     0086
   4.4883303   1.15051e+01       80658.4290     0086
   4.4863167   1.14775e+01       80658.4290     0086
   4.4843049   1.14539e+01       80658.4290     0086
   4.4822949   1.14221e+01       80658.4290     0086
   4.4802867   1.14046e+01       80658.4290     0086
   4.4782803   1.13672e+01       80658.4290     0086
   4.4762757   1.13403e+01       80658.4290     0086
   4.4742729   1.13120e+01       80658.4290     0086
   4.4722719   1.12852e+01       80658.4290     0086
   4.4702727   1.12595e+01       80658.4290     0086
   4.4682752   1.12310e+01       80658.4290     0086
   4.4662796   1.12051e+01       80658.4290     0086
   4.4642857   1.11764e+01       80658.4290     0086
   4.4622936   1.11495e+01       80658.4290     0086
   4.4603033   1.11228e+01       80658.4290     0086
   4.4583148   1.10962e+01       80658.4290     0086
   4.4563280   1.10695e+01       80658.4290     0086
   4.4543430   1.10428e+01       80658.4290     0086
   4.4523598   1.10166e+01       80658.4290     0086
   4.4503783   1.09923e+01       80658.4290     0086
   4.4483986   1.09632e+01       80658.4290     0086
   4.4464206   1.09369e+01       80658.4290     0086
   4.4444444   1.09107e+01       80658.4290     0086
   4.4424700   1.08854e+01       80658.4290     0086
   4.4404973   1.08619e+01       80658.4290     0086
   4.4385264   1.08326e+01       80658.4290     0086
   4.4365572   1.08068e+01       80658.4290     0086
   4.4345898   1.07843e+01       80658.4290     0086
   4.4326241   1.07549e+01       80658.4290     0086
   4.4306602   1.07288e+01       80658.4290     0086
   4.4286980   1.07037e+01       80658.4290     0086
   4.4267375   1.06776e+01       80658.4290     0086
   4.4247788   1.06517e+01       80658.4290     0086
   4.4228218   1.06261e+01       80658.4290     0086
   4.4208665   1.06008e+01       80658.4290     0086
   4.4189129   1.05753e+01       80658.4290     0086
   4.4169611   1.05524e+01       80658.4290     0086
   4.4150110   1.05270e+01       80658.4290     0086
   4.4130627   1.05010e+01       80658.4290     0086
   4.4111160   1.04759e+01       80658.4290     0086
   4.4091711   1.04555e+01       80658.4290     0086
   4.4072279   1.04248e+01       80658.4290     0086
   4.4052863   1.03996e+01       80658.4290     0086
   4.4033465   1.03854e+01       80658.4290     0086
   4.4014085   1.03500e+01       80658.4290     0086
   4.3994721   1.03254e+01       80658.4290     0086
   4.3975374   1.03044e+01       80658.4290     0086
   4.3956044   1.02775e+01       80658.4290     0086
   4.3936731   1.02527e+01       80658.4290     0086
   4.3917435   1.02286e+01       80658.4290     0086
   4.3898156   1.02029e+01       80658.4290     0086
   4.3878894   1.01796e+01       80658.4290     0086
   4.3859649   1.01550e+01       80658.4290     0086
   4.3840421   1.01301e+01       80658.4290     0086
   4.3821209   1.01063e+01       80658.4290     0086
   4.3802015   1.00821e+01       80658.4290     0086
   4.3782837   1.00584e+01       80658.4290     0086
   4.3763676   1.00489e+01       80658.4290     0086
   4.3744532   1.00108e+01       80658.4290     0086
   4.3725404   1.60072e+01       80616.6540     0087
   4.3706294   1.59689e+01       80616.6540     0087
   4.3687200   1.59314e+01       80616.6540     0087
   4.3668122   1.58960e+01       80616.6540     0087
   4.3649062   1.58568e+01       80616.6540     0087
   4.3630017   1.58185e+01       80616.6540     0087
   4.3610990   1.57813e+01       80616.6540     0087
   4.3591979   1.57446e+01       80616.6540     0087
   4.3572985   1.57070e+01       80616.6540     0087
   4.3554007   1.56853e+01       80616.6540     0087
   4.3535046   1.56536e+01       80616.6540     0087
   4.3516101   1.55976e+01       80616.6540     0087
   4.3497173   1.55605e+01       80616.6540     0087
   4.3478261   1.55250e+01       80616.6540     0087
   4.3459365   1.54954e+01       80616.6540     0087
   4.3440487   1.54505e+01       80616.6540     0087
   4.3421624   1.54167e+01       80616.6540     0087
   4.3402778   1.53792e+01       80616.6540     0087
   4.3383948   1.53430e+01       80616.6540     0087
   4.3365134   1.53116e+01       80616.6540     0087
   4.3346337   1.52711e+01       80616.6540     0087
   4.3327556   1.52358e+01       80616.6540     0087
   4.3308792   1.52003e+01       80616.6540     0087
   4.3290043   1.51672e+01       80616.6540     0087
   4.3271311   1.51291e+01       80616.6540     0087
   4.3252595   1.50951e+01       80616.6540     0087
   4.3233895   1.50590e+01       80616.6540     0087
   4.3215212   1.50238e+01       80616.6540     0087
   4.3196544   1.49890e+01       80616.6540     0087
   4.3177893   1.49558e+01       80616.6540     0087
   4.3159258   1.49229e+01       80616.6540     0087
   4.3140638   1.48870e+01       80616.6540     0087
   4.3122035   1.48586e+01       80616.6540     0087
   4.3103448   1.48178e+01       80616.6540     0087
   4.3084877   1.47830e+01       80616.6540     0087
   4.3066322   1.47573e+01       80616.6540     0087
   4.3047783   1.47167e+01       80616.6540     0087
   4.3029260   1.46839e+01       80616.6540     0087
   4.3010753   1.46468e+01       80616.6540     0087
   4.2992261   1.46133e+01       80616.6540     0087
   4.2973786   1.45808e+01       80616.6540     0087
   4.2955326   1.45462e+01       80616.6540     0087
   4.2936883   1.45741e+01       80616.6540     0087
   4.2918455   1.44801e+01       80616.6540     0087
   4.2900043   1.44461e+01       80616.6540     0087
   4.2881647   1.44128e+01       80616.6540     0087
   4.2863266   1.43808e+01       80616.6540     0087
   4.2844901   1.43484e+01       80616.6540     0087
   4.2826552   1.43153e+01       80616.6540     0087
   4.2808219   1.42826e+01       80616.6540     0087
   4.2789902   1.42496e+01       80616.6540     0087
   4.2771600   1.42179e+01       80616.6540     0087
   4.2753313   1.41858e+01       80616.6540     0087
   4.2735043   1.41547e+01       80616.6540     0087
   4.2716788   1.41312e+01       80616.6540     0087
   4.2698548   1.40944e+01       80616.6540     0087
   4.2680324   1.40600e+01       80616.6540     0087
   4.2662116   1.40287e+01       80616.6540     0087
   4.2643923   1.39948e+01       80616.6540     0087
   4.2625746   1.39633e+01       80616.6540     0087
   4.2607584   1.39335e+01       80616.6540     0087
   4.2589438   1.39130e+01       80616.6540     0087
   4.2571307   1.38717e+01       80616.6540     0087
   4.2553191   1.38396e+01       80616.6540     0087
   4.2535091   1.38088e+01       80616.6540     0087
   4.2517007   1.37784e+01       80616.6540     0087
   4.2498938   1.37471e+01       80616.6540     0087
   4.2480884   1.37168e+01       80616.6540     0087
   4.2462845   1.36877e+01       80616.6540     0087
   4.2444822   1.36568e+01       80616.6540     0087
   4.2426814   1.36259e+01       80616.6540     0087
   4.2408821   1.35994e+01       80616.6540     0087
   4.2390844   1.35674e+01       80616.6540     0087
   4.2372881   1.35393e+01       80616.6540     0087
   4.2354934   1.35092e+01       80616.6540     0087
   4.2337003   1.34785e+01       80616.6540     0087
   4.2319086   1.34584e+01       80616.6540     0087
   4.2301184   1.34332e+01       80616.6540     0087
   4.2283298   1.33988e+01       80616.6540     0087
   4.2265427   1.33701e+01       80616.6540     0087
   4.2247571   1.33459e+01       80616.6540     0087
   4.2229730   1.33045e+01       80616.6540     0087
   4.2211904   1.32776e+01       80616.6540     0087
   4.2194093   1.32457e+01       80616.6540     0087
   4.2176297   1.32170e+01       80616.6540     0087
   4.2158516   1.31902e+01       80616.6540     0087
   4.2140750   1.31603e+01       80616.6540     0087
   4.2122999   1.31304e+01       80616.6540     0087
   4.2105263   1.31022e+01       80616.6540     0087
   4.2087542   1.30740e+01       80616.6540     0087
   4.2069836   1.30462e+01       80616.6540     0087
   4.2052145   1.30254e+01       80616.6540     0087
   4.2034468   1.29958e+01       80616.6540     0087
   4.2016807   1.29636e+01       80616.6540     0087
   4.1999160   1.29360e+01       80616.6540     0087
   4.1981528   1.29203e+01       80616.6540     0087
   4.1963911   1.28829e+01       80616.6540     0087
   4.1946309   1.28558e+01       80616.6540     0087
   4.1928721   1.28390e+01       80616.6540     0087
   4.1911148   1.28359e+01       80616.6540     0087
   4.1893590   1.27845e+01       80616.6540     0087
   4.1876047   1.27481e+01       80616.6540     0087
   4.1858518   1.27203e+01       80616.6540     0087
   4.1841004   1.27057e+01       80616.6540     0087
   4.1823505   1.26690e+01       80616.6540     0087
   4.1806020   1.26513e+01       80616.6540     0087
   4.1788550   1.26136e+01       80616.6540     0087
   4.1771094   1.25867e+01       80616.6540     0087
   4.1753653   1.25637e+01       80616.6540     0087
   4.1736227   1.25478e+01       80616.6540     0087
   4.1718815   1.25136e+01       80616.6540     0087
   4.1701418   1.24849e+01       80616.6540     0087
   4.1684035   1.24602e+01       80616.6540     0087
   4.1666667   1.24329e+01       80616.6540     0087
   4.1649313   1.24100e+01       80616.6540     0087
   4.1631973   1.23918e+01       80616.6540     0087
   4.1614648   1.23612e+01       80616.6540     0087
   4.1597338   1.23316e+01       80616.6540     0087
   4.1580042   1.23176e+01       80616.6540     0087
   4.1562760   1.22799e+01       80616.6540     0087
   4.1545492   1.22686e+01       80616.6540     0087
   4.1528239   1.22394e+01       80616.6540     0087
   4.1511000   1.22073e+01       80616.6540     0087
   4.1493776   1.21874e+01       80616.6540     0087
   4.1476566   1.21699e+01       80616.6540     0087
   4.1459370   1.21349e+01       80616.6540     0087
   4.1442188   1.21073e+01       80616.6540     0087
   4.1425021   1.20921e+01       80616.6540     0087
   4.1407867   1.20604e+01       80616.6540     0087
   4.1390728   1.20398e+01       80616.6540     0087
   4.1373604   1.20128e+01       80616.6540     0087
   4.1356493   1.19872e+01       80616.6540     0087
   4.1339396   1.19640e+01       80616.6540     0087
   4.1322314   1.19532e+01       80616.6540     0087
   4.1305246   1.19169e+01       80616.6540     0087
   4.1288192   1.18938e+01       80616.6540     0087
   4.1271151   1.18773e+01       80616.6540     0087
   4.1254125   1.18509e+01       80616.6540     0087
   4.1237113   1.18268e+01       80616.6540     0087
   4.1220115   1.18018e+01       80616.6540     0087
   4.1203131   1.17788e+01       80616.6540     0087
   4.1186161   1.17571e+01       80616.6540     0087
   4.1169205   1.17561e+01       80616.6540     0087
   4.1152263   1.17229e+01       80616.6540     0087
   4.1135335   1.17061e+01       80616.6540     0087
   4.1118421   1.16799e+01       80616.6540     0087
   4.1101521   1.16503e+01       80616.6540     0087
   4.1084634   1.16243e+01       80616.6540     0087
   4.1067762   1.16039e+01       80616.6540     0087
   4.1050903   1.15804e+01       80616.6540     0087
   4.1034058   1.15583e+01       80616.6540     0087
   4.1017227   1.15383e+01       80616.6540     0087
   4.1000410   1.15167e+01       80616.6540     0087
   4.0983607   1.14976e+01       80616.6540     0087
   4.0966817   1.14762e+01       80616.6540     0087
   4.0950041   1.14577e+01       80616.6540     0087
   4.0933279   1.14341e+01       80616.6540     0087
   4.0916530   1.14186e+01       80616.6540     0087
   4.0899796   1.13888e+01       80616.6540     0087
   4.0883074   1.13683e+01       80616.6540     0087
   4.0866367   1.13508e+01       80616.6540     0087
   4.0849673   1.13268e+01       80616.6540     0087
   4.0832993   1.13079e+01       80616.6540     0087
   4.0816327   1.12867e+01       80616.6540     0087
   4.0799674   1.12767e+01       80616.6540     0087
   4.0783034   1.12522e+01       80616.6540     0087
   4.0766408   1.12343e+01       80616.6540     0087
   4.0749796   1.12043e+01       80616.6540     0087
   4.0733198   1.11855e+01       80616.6540     0087
   4.0716612   1.11715e+01       80616.6540     0087
   4.0700041   1.11445e+01       80616.6540     0087
   4.0683483   1.11239e+01       80616.6540     0087
   4.0666938   1.11081e+01       80616.6540     0087
   4.0650407   1.10905e+01       80616.6540     0087
   4.0633889   1.10690e+01       80616.6540     0087
   4.0617384   1.10479e+01       80616.6540     0087
   4.0600893   1.10291e+01       80616.6540     0087
   4.0584416   1.10107e+01       80616.6540     0087
   4.0567951   1.09945e+01       80616.6540     0087
   4.0551500   1.09730e+01       80616.6540     0087
   4.0535063   1.09608e+01       80616.6540     0087
   4.0518639   1.09393e+01       80616.6540     0087
   4.0502228   1.09140e+01       80616.6540     0087
   4.0485830   1.08973e+01       80616.6540     0087
   4.0469446   1.08940e+01       80616.6540     0087
   4.0453074   1.08608e+01       80616.6540     0087
   4.0436717   1.08490e+01       80616.6540     0087
   4.0420372   1.08397e+01       80616.6540     0087
   4.0404040   1.08059e+01       80616.6540     0087
   4.0387722   1.07890e+01       80616.6540     0087
   4.0371417   1.07736e+01       80616.6540     0087
   4.0355125   1.07704e+01       80616.6540     0087
   4.0338846   1.07367e+01       80616.6540     0087
   4.0322581   1.07220e+01       80616.6540     0087
   4.0306328   1.07020e+01       80616.6540     0087
   4.0290089   1.06942e+01       80616.6540     0087
   4.0273862   1.06753e+01       80616.6540     0087
   4.0257649   1.06555e+01       80616.6540     0087
   4.0241449   1.06343e+01       80616.6540     0087
   4.0225261   1.06178e+01       80616.6540     0087
   4.0209087   1.06039e+01       80616.6540     0087
   4.0192926   1.05876e+01       80616.6540     0087
   4.0176778   1.05706e+01       80616.6540     0087
   4.0160643   1.05523e+01       80616.6540     0087
   4.0144520   1.05395e+01       80616.6540     0087
   4.0128411   1.05255e+01       80616.6540     0087
   4.0112314   1.05089e+01       80616.6540     0087
   4.0096231   1.05071e+01       80616.6540     0087
   4.0080160   1.04785e+01       80616.6540     0087
   4.0064103   1.04564e+01       80616.6540     0087
   4.0048058   1.04479e+01       80616.6540     0087
   4.0032026   1.04264e+01       80616.6540     0087
   4.0016006   1.04234e+01       80616.6540     0087
   4.0000000   1.03947e+01       80616.6540     0087
   3.9984006   1.03816e+01       80616.6540     0087
   3.9968026   1.03667e+01       80616.6540     0087
   3.9952058   1.03537e+01       80616.6540     0087
   3.9936102   1.03364e+01       80616.6540     0087
   3.9920160   1.03240e+01       80616.6540     0087
   3.9904230   1.03085e+01       80616.6540     0087
   3.9888313   1.02966e+01       80616.6540     0087
   3.9872408   1.02787e+01       80616.6540     0087
   3.9856517   1.02616e+01       80616.6540     0087
   3.9840637   1.02462e+01       80616.6540     0087
   3.9824771   1.02370e+01       80616.6540     0087
   3.9808917   1.02282e+01       80616.6540     0087
   3.9793076   1.02100e+01       80616.6540     0087
   3.9777247   1.01946e+01       80616.6540     0087
   3.9761431   1.01885e+01       80616.6540     0087
   3.9745628   1.01660e+01       80616.6540     0087
   3.9729837   1.01552e+01       80616.6540     0087
   3.9714059   1.01377e+01       80616.6540     0087
   3.9698293   1.01274e+01       80616.6540     0087
   3.9682540   1.01194e+01       80616.6540     0087
   3.9666799   1.00968e+01       80616.6540     0087
   3.9651071   1.00861e+01       80616.6540     0087
   3.9635355   1.00663e+01       80616.6540     0087
   3.9619651   1.00569e+01       80616.6540     0087
   3.9603960   1.00430e+01       80616.6540     0087
   3.9588282   1.00585e+01       80616.6540     0087
   3.9572616   1.00184e+01       80616.6540     0087
   3.9556962   1.00069e+01       80616.6540     0087
   3.9541321   1.00006e+01       80616.6540     0087
   3.9525692   1.57885e+01       80574.8790     0088
   3.9510075   1.57766e+01       80574.8790     0088
   3.9494471   1.57458e+01       80574.8790     0088
   3.9478879   1.57266e+01       80574.8790     0088
   3.9463299   1.57055e+01       80574.8790     0088
   3.9447732   1.56866e+01       80574.8790     0088
   3.9432177   1.56685e+01       80574.8790     0088
   3.9416634   1.56566e+01       80574.8790     0088
   3.9401103   1.56260e+01       80574.8790     0088
   3.9385585   1.56094e+01       80574.8790     0088
   3.9370079   1.56045e+01       80574.8790     0088
   3.9354585   1.55726e+01       80574.8790     0088
   3.9339103   1.55499e+01       80574.8790     0088
