#wvl [um]        modulation
5                0.0240601541      
4.99750125       0.024536623       
4.995005         0.0243370477      
4.99251123       0.0247683371      
4.99001996       0.024313723       
4.98753117       0.0241627206      
4.98504487       0.0240670807      
4.98256104       0.0243105416      
4.98007968       0.0242453588      
4.9776008        0.0242989103      
4.97512438       0.0241106655      
4.97265042       0.0244843788      
4.97017893       0.0242218819      
4.96770989       0.0244243076      
4.9652433        0.0243867936      
4.96277916       0.024502069       
4.96031746       0.0244610252      
4.95785821       0.0240318962      
4.95540139       0.0245529917      
4.952947         0.0243205149      
4.95049505       0.0243306303      
4.94804552       0.0246027097      
4.94559842       0.0241533578      
4.94315373       0.0244934253      
4.94071146       0.0239515473      
4.9382716        0.0244086652      
4.93583416       0.0248056211      
4.93339911       0.0243364038      
4.93096647       0.0244720286      
4.92853622       0.0241239269      
4.92610837       0.0246103393      
4.92368291       0.0243164135      
4.92125984       0.0241734084      
4.91883915       0.0239883668      
4.91642085       0.0243126729      
4.91400491       0.0240903557      
4.91159136       0.0243753993      
4.90918017       0.0246548385      
4.90677134       0.0246001846      
4.90436488       0.0240051511      
4.90196078       0.0244169874      
4.89955904       0.024666385       
4.89715965       0.0242987906      
4.8947626        0.0249543176      
4.89236791       0.0242657572      
4.88997555       0.0246585251      
4.88758553       0.0242868266      
4.88519785       0.0244815484      
4.8828125        0.0239683968      
4.88042948       0.0242289759      
4.87804878       0.0242472219      
4.8756704        0.0244208335      
4.87329435       0.0244331096      
4.8709206        0.0245775686      
4.86854917       0.0241988056      
4.86618005       0.0243481178      
4.86381323       0.0244394812      
4.86144871       0.0241949039      
4.85908649       0.0245613307      
4.85672657       0.0243204863      
4.85436893       0.0241613396      
4.85201359       0.0242541083      
4.84966052       0.0240033103      
4.84730974       0.0240691822      
4.84496124       0.024310986       
4.84261501       0.0246480322      
4.84027106       0.0242843393      
4.83792937       0.0240193134      
4.83558994       0.0246340851      
4.83325278       0.0242091666      
4.83091787       0.0244575626      
4.82858522       0.0241485801      
4.82625483       0.0246581475      
4.82392668       0.0246888213      
4.82160077       0.0246929908      
4.81927711       0.0242136305      
4.81695568       0.024177024       
4.81463649       0.0243132242      
4.81231954       0.0241743396      
4.81000481       0.0243211035      
4.80769231       0.024393663       
4.80538203       0.0242059561      
4.80307397       0.0249959815      
4.80076812       0.0241977103      
4.79846449       0.0243213045      
4.79616307       0.024631942       
4.79386385       0.0241868887      
4.79156684       0.0241470798      
4.78927203       0.0244204482      
4.78697942       0.0240710179      
4.784689         0.0244481379      
4.78240077       0.0243363076      
4.78011472       0.0244004837      
4.77783086       0.0245603249      
4.77554919       0.0242089497      
4.77326969       0.0243521261      
4.77099237       0.0240829678      
4.76871722       0.0241935047      
4.76644423       0.0242584649      
4.76417342       0.0239684866      
4.76190476       0.0242685093      
4.75963827       0.0243637196      
4.75737393       0.0241773259      
4.75511175       0.0245565455      
4.75285171       0.0241792971      
4.75059382       0.0244239643      
4.74833808       0.0242467527      
4.74608448       0.024111543       
4.74383302       0.0241834915      
4.74158369       0.0242197918      
4.73933649       0.0244097254      
4.73709143       0.0240421587      
4.73484848       0.024383808       
4.73260767       0.0245025698      
4.73036897       0.0243295491      
4.72813239       0.0246145255      
4.72589792       0.0245692908      
4.72366556       0.0242993132      
4.72143532       0.0242557741      
4.71920717       0.0245873979      
4.71698113       0.0245462445      
4.71475719       0.0242178077      
4.71253534       0.0241581072      
4.71031559       0.0241152544      
4.70809793       0.0241587087      
4.70588235       0.0244727079      
4.70366886       0.0240132468      
4.70145745       0.0241782564      
4.69924812       0.0246632976      
4.69704086       0.0239827708      
4.69483568       0.0241639906      
4.69263257       0.0248499092      
4.69043152       0.0241936345      
4.68823254       0.0241019929      
4.68603561       0.0239830721      
4.68384075       0.0241030463      
4.68164794       0.024002742       
4.67945718       0.0241513079      
4.67726848       0.0244456698      
4.67508181       0.0241629759      
4.6728972        0.0241350893      
4.67071462       0.0241912931      
4.66853408       0.0240494937      
4.66635558       0.024176127       
4.6641791        0.0243750354      
4.66200466       0.0241319329      
4.65983225       0.0249615457      
4.65766185       0.0243558668      
4.65549348       0.0243137752      
4.65332713       0.0243595583      
4.65116279       0.0240329655      
4.64900046       0.0239956067      
4.64684015       0.0241334786      
4.64468184       0.0244040921      
4.64252553       0.0244634149      
4.64037123       0.0246077353      
4.63821892       0.0240646219      
4.63606861       0.024117509       
4.6339203        0.0241156924      
4.63177397       0.024404268       
4.62962963       0.0246519863      
4.62748727       0.023967223       
4.6253469        0.0246428526      
4.62320851       0.0241613538      
4.62107209       0.0240571769      
4.61893764       0.0241789817      
4.61680517       0.024162578       
4.61467467       0.024170632       
4.61254613       0.0240168964      
4.61041955       0.0240745993      
4.60829493       0.0242002463      
4.60617227       0.0241701756      
4.60405157       0.0240881006      
4.60193281       0.0247300179      
4.59981601       0.0240567016      
4.59770115       0.0242573066      
4.59558824       0.0241327071      
4.59347726       0.0244410436      
4.59136823       0.0239997349      
4.58926113       0.0241587965      
4.58715596       0.0242347907      
4.58505273       0.0242329465      
4.58295142       0.0241022948      
4.58085204       0.0241500344      
4.57875458       0.0245860396      
4.57665904       0.0240883928      
4.57456542       0.0245195376      
4.57247371       0.0246074938      
4.57038391       0.0242281813      
4.56829603       0.0244014952      
4.56621005       0.024770677       
4.56412597       0.0241759117      
4.5620438        0.0240855949      
4.55996352       0.0242084701      
4.55788514       0.0244801671      
4.55580866       0.0241465746      
4.55373406       0.0241663959      
4.55166136       0.0242310991      
4.54959054       0.0242276203      
4.5475216        0.0243535874      
4.54545455       0.0245777417      
4.54338937       0.0240923523      
4.54132607       0.0242477248      
4.53926464       0.0241642147      
4.53720508       0.0241870775      
4.53514739       0.0241722612      
4.53309157       0.0243720175      
4.53103761       0.0242664151      
4.52898551       0.0242238193      
4.52693526       0.0240657923      
4.52488688       0.0242477768      
4.52284034       0.0240788906      
4.52079566       0.0242617827      
4.51875282       0.0240869762      
4.51671183       0.0240924935      
4.51467269       0.0241800911      
4.51263538       0.0241585812      
4.51059991       0.0244577996      
4.50856628       0.0241890321      
4.50653447       0.0242670597      
4.5045045        0.0244405298      
4.50247636       0.0242595616      
4.50045005       0.0247805451      
4.49842555       0.0243056381      
4.49640288       0.0241735332      
4.49438202       0.0242323133      
4.49236298       0.0242205474      
4.49034576       0.024381884       
4.48833034       0.0242845068      
4.48631673       0.0243111253      
4.48430493       0.0242832888      
4.48229494       0.024291542       
4.48028674       0.0242089658      
4.47828034       0.0242775336      
4.47627574       0.0243680851      
4.47427293       0.0240938498      
4.47227191       0.0243651087      
4.47027269       0.0242797095      
4.46827525       0.0244290672      
4.46627959       0.0245792112      
4.46428571       0.0242658148      
4.46229362       0.024310051       
4.4603033        0.0243203165      
4.45831476       0.0242283411      
4.45632799       0.0241796716      
4.45434298       0.0242230611      
4.45235975       0.0243342927      
4.45037828       0.0245832536      
4.44839858       0.0246340525      
4.44642063       0.0241823771      
4.44444444       0.0244627252      
4.44247001       0.0244023644      
4.44049734       0.0246394369      
4.43852641       0.0243123507      
4.43655723       0.0240846004      
4.4345898        0.0244137522      
4.43262411       0.0243400381      
4.43066017       0.0241228884      
4.42869796       0.0242371498      
4.42673749       0.0242536939      
4.42477876       0.0244685908      
4.42282176       0.0244854978      
4.42086649       0.0242957287      
4.41891295       0.0242674532      
4.41696113       0.0243606641      
4.41501104       0.0245731653      
4.41306267       0.0241102672      
4.41111601       0.02426004        
4.40917108       0.0245007392      
4.40722785       0.0243202025      
4.40528634       0.0244531121      
4.40334654       0.0244557411      
4.40140845       0.0245921156      
4.39947206       0.0245920271      
4.39753738       0.0242571758      
4.3956044        0.0244634756      
4.39367311       0.0244116672      
4.39174352       0.02421702        
4.38981563       0.0245438832      
4.38788943       0.0244445894      
4.38596491       0.0242898014      
4.38404209       0.0243039302      
4.38212095       0.0243662263      
4.38020149       0.0242565047      
4.37828371       0.0244646664      
4.37636761       0.0242916698      
4.37445319       0.0242443487      
4.37254045       0.0244922968      
4.37062937       0.0243131177      
4.36871997       0.0244151809      
4.36681223       0.0243527919      
4.36490615       0.0246975928      
4.36300175       0.024169726       
4.361099         0.0242622202      
4.35919791       0.0243477462      
4.35729847       0.0245287248      
4.3554007        0.0243763135      
4.35350457       0.0241755063      
4.3516101        0.0243643366      
4.34971727       0.0244596071      
4.34782609       0.0242059108      
4.34593655       0.0246217988      
4.34404865       0.0244926501      
4.3421624        0.024334745       
4.34027778       0.0243972992      
4.33839479       0.0242326769      
4.33651344       0.024297008       
4.33463372       0.0243269535      
4.33275563       0.0243793821      
4.33087917       0.0243851755      
4.32900433       0.0246239275      
4.32713111       0.0242165321      
4.32525952       0.024311802       
4.32338954       0.0242816511      
4.32152118       0.024521496       
4.31965443       0.0245070528      
4.31778929       0.0242099456      
4.31592577       0.0244626215      
4.31406385       0.0245494519      
4.31220354       0.0243948754      
4.31034483       0.0243760395      
4.30848772       0.0245680789      
4.30663221       0.0243333168      
4.3047783        0.0242552025      
4.30292599       0.0243108654      
4.30107527       0.0243280751      
4.29922614       0.0247036848      
4.2973786        0.0242420127      
4.29553265       0.0244271975      
4.29368828       0.0242694846      
4.29184549       0.0244162636      
4.29000429       0.0244112009      
4.28816467       0.0242860839      
4.28632662       0.0245785505      
4.28449015       0.0242538514      
4.28265525       0.0244197936      
4.28082192       0.0241945085      
4.27899016       0.0242883067      
4.27715997       0.0242896011      
4.27533134       0.0242544882      
4.27350427       0.0244177952      
4.27167877       0.0241843986      
4.26985482       0.0244083424      
4.26803244       0.0243446646      
4.2662116        0.0244323228      
4.26439232       0.0245435639      
4.2625746        0.024379574       
4.26075841       0.0242016027      
4.25894378       0.0240778341      
4.25713069       0.0246314133      
4.25531915       0.0241498617      
4.25350915       0.0245580622      
