# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.09726e+07       80909.7390     0099
   4.9975012   1.37000e+07       80909.7390     0099
   4.9950050   1.63856e+07       80909.7390     0099
   4.9925112   2.08192e+07       80909.7390     0099
   4.9900200   2.42317e+07       80909.7390     0099
   4.9875312   2.25286e+07       80909.7390     0099
   4.9850449   2.37505e+07       80909.7390     0099
   4.9825610   2.74228e+07       80909.7390     0099
   4.9800797   3.37216e+07       80909.7390     0099
   4.9776008   3.42843e+07       80909.7390     0099
   4.9751244   3.20305e+07       80909.7390     0099
   4.9726504   3.35597e+07       80909.7390     0099
   4.9701789   3.85830e+07       80909.7390     0099
   4.9677099   4.70579e+07       80909.7390     0099
   4.9652433   4.87621e+07       80909.7390     0099
   4.9627792   5.09551e+07       80909.7390     0099
   4.9603175   5.98628e+07       80909.7390     0099
   4.9578582   7.44823e+07       80909.7390     0099
   4.9554014   7.92463e+07       80909.7390     0099
   4.9529470   6.84757e+07       80909.7390     0099
   4.9504950   6.03848e+07       80909.7390     0099
   4.9480455   5.97851e+07       80909.7390     0099
   4.9455984   6.37028e+07       80909.7390     0099
   4.9431537   8.11495e+07       80909.7390     0099
   4.9407115   6.32677e+07       80909.7390     0099
   4.9382716   6.20979e+07       80909.7390     0099
   4.9358342   6.33194e+07       80909.7390     0099
   4.9333991   7.17195e+07       80909.7390     0099
   4.9309665   7.80520e+07       80909.7390     0099
   4.9285362   6.94608e+07       80909.7390     0099
   4.9261084   6.89908e+07       80909.7390     0099
   4.9236829   7.45225e+07       80909.7390     0099
   4.9212598   9.16204e+07       80909.7390     0099
   4.9188392   8.93053e+07       80909.7390     0099
   4.9164208   8.43688e+07       80909.7390     0099
   4.9140049   8.52405e+07       80909.7390     0099
   4.9115914   9.64832e+07       80909.7390     0099
   4.9091802   1.41088e+08       80909.7390     0099
   4.9067713   1.07944e+08       80909.7390     0099
   4.9043649   1.04311e+08       80909.7390     0099
   4.9019608   1.12975e+08       80909.7390     0099
   4.8995590   1.37742e+08       80909.7390     0099
   4.8971596   1.51459e+08       80909.7390     0099
   4.8947626   1.29752e+08       80909.7390     0099
   4.8923679   1.24802e+08       80909.7390     0099
   4.8899756   1.35088e+08       80909.7390     0099
   4.8875855   1.69447e+08       80909.7390     0099
   4.8851979   1.54005e+08       80909.7390     0099
   4.8828125   1.40789e+08       80909.7390     0099
   4.8804295   1.45085e+08       80909.7390     0099
   4.8780488   1.68200e+08       80909.7390     0099
   4.8756704   2.10106e+08       80909.7390     0099
   4.8732943   1.69565e+08       80909.7390     0099
   4.8709206   1.64113e+08       80909.7390     0099
   4.8685492   1.79500e+08       80909.7390     0099
   4.8661800   2.18647e+08       80909.7390     0099
   4.8638132   2.14193e+08       80909.7390     0099
   4.8614487   1.92761e+08       80909.7390     0099
   4.8590865   1.98902e+08       80909.7390     0099
   4.8567266   2.25774e+08       80909.7390     0099
   4.8543689   3.02509e+08       80909.7390     0099
   4.8520136   2.35674e+08       80909.7390     0099
   4.8496605   2.29153e+08       80909.7390     0099
   4.8473097   2.47611e+08       80909.7390     0099
   4.8449612   3.07107e+08       80909.7390     0099
   4.8426150   3.07270e+08       80909.7390     0099
   4.8402711   2.72442e+08       80909.7390     0099
   4.8379294   2.69451e+08       80909.7390     0099
   4.8355899   3.04126e+08       80909.7390     0099
   4.8332528   3.79401e+08       80909.7390     0099
   4.8309179   3.01348e+08       80909.7390     0099
   4.8285852   2.88417e+08       80909.7390     0099
   4.8262548   3.13106e+08       80909.7390     0099
   4.8239267   3.99190e+08       80909.7390     0099
   4.8216008   3.55446e+08       80909.7390     0099
   4.8192771   3.21953e+08       80909.7390     0099
   4.8169557   3.33106e+08       80909.7390     0099
   4.8146365   3.92912e+08       80909.7390     0099
   4.8123195   4.32568e+08       80909.7390     0099
   4.8100048   3.64862e+08       80909.7390     0099
   4.8076923   3.58948e+08       80909.7390     0099
   4.8053820   4.01849e+08       80909.7390     0099
   4.8030740   6.76499e+08       80909.7390     0099
   4.8007681   4.13739e+08       80909.7390     0099
   4.7984645   3.89530e+08       80909.7390     0099
   4.7961631   4.18349e+08       80909.7390     0099
   4.7938639   5.17695e+08       80909.7390     0099
   4.7915668   4.77309e+08       80909.7390     0099
   4.7892720   4.29332e+08       80909.7390     0099
   4.7869794   4.41749e+08       80909.7390     0099
   4.7846890   5.19076e+08       80909.7390     0099
   4.7824008   5.49896e+08       80909.7390     0099
   4.7801147   4.64062e+08       80909.7390     0099
   4.7778309   4.56099e+08       80909.7390     0099
   4.7755492   5.09084e+08       80909.7390     0099
   4.7732697   6.40930e+08       80909.7390     0099
   4.7709924   4.95675e+08       80909.7390     0099
   4.7687172   4.71568e+08       80909.7390     0099
   4.7664442   5.10274e+08       80909.7390     0099
   4.7641734   6.94999e+08       80909.7390     0099
   4.7619048   5.30226e+08       80909.7390     0099
   4.7596383   4.88760e+08       80909.7390     0099
   4.7573739   5.13380e+08       80909.7390     0099
   4.7551117   6.37858e+08       80909.7390     0099
   4.7528517   5.62048e+08       80909.7390     0099
   4.7505938   5.02958e+08       80909.7390     0099
   4.7483381   5.14564e+08       80909.7390     0099
   4.7460845   6.12106e+08       80909.7390     0099
   4.7438330   5.87621e+08       80909.7390     0099
   4.7415837   5.11481e+08       80909.7390     0099
   4.7393365   5.11817e+08       80909.7390     0099
   4.7370914   5.90366e+08       80909.7390     0099
   4.7348485   6.03286e+08       80909.7390     0099
   4.7326077   5.13698e+08       80909.7390     0099
   4.7303690   5.06065e+08       80909.7390     0099
   4.7281324   5.72808e+08       80909.7390     0099
   4.7258979   6.04699e+08       80909.7390     0099
   4.7236656   5.00713e+08       80909.7390     0099
   4.7214353   4.82605e+08       80909.7390     0099
   4.7192072   5.34253e+08       80909.7390     0099
   4.7169811   5.82768e+08       80909.7390     0099
   4.7147572   4.76428e+08       80909.7390     0099
   4.7125353   4.54163e+08       80909.7390     0099
   4.7103156   4.97603e+08       80909.7390     0099
   4.7080979   5.45806e+08       80909.7390     0099
   4.7058824   4.40903e+08       80909.7390     0099
   4.7036689   4.17421e+08       80909.7390     0099
   4.7014575   4.53979e+08       80909.7390     0099
   4.6992481   4.89505e+08       80909.7390     0099
