# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.12895e+01       81390.5350     0071
   4.9975012   1.14362e+01       82058.8820     0043
   4.9950050   1.15552e+01       81726.9920     0056
   4.9925112   1.21500e+01       82447.0410     0028
   4.9900200   1.13021e+01       81702.1460     0057
   4.9875312   1.16995e+01       81558.3860     0063
   4.9850449   1.41611e+01       81390.5350     0071
   4.9825610   1.19631e+01       81677.4980     0058
   4.9800797   1.40726e+01       81605.0530     0061
   4.9776008   1.16372e+01       81628.9090     0060
   4.9751244   1.23992e+01       81491.6420     0066
   4.9726504   1.04779e+01       81981.5190     0046
   4.9701789   1.26389e+01       81628.9090     0060
   4.9677099   1.04792e+01       81878.8320     0050
   4.9652433   1.11606e+01       81802.4400     0053
   4.9627792   1.07754e+01       82007.2820     0045
   4.9603175   1.16988e+01       81930.0870     0048
   4.9578582   5.76026e+03       81371.7070     0072
   4.9554014   1.17358e+01       82084.7080     0042
   4.9529470   1.16098e+01       81726.9920     0056
   4.9504950   1.33021e+01       81726.9920     0056
   4.9480455   1.22760e+01       82162.2600     0039
   4.9455984   1.42400e+01       81513.4050     0065
   4.9431537   1.22075e+01       81981.5190     0046
   4.9407115   4.93313e+01       81299.6390     0076
   4.9382716   1.07282e+01       81853.2860     0051
   4.9358342   1.07413e+01       82524.7480     0025
   4.9333991   1.07009e+01       81726.9920     0056
   4.9309665   1.07281e+01       81955.7850     0047
   4.9285362   1.25444e+01       81470.3960     0067
   4.9261084   1.11461e+01       82188.1300     0038
   4.9236829   1.03218e+01       81605.0530     0061
   4.9212598   1.41063e+01       81558.3860     0063
   4.9188392   1.45969e+01       81390.5350     0071
   4.9164208   1.01208e+01       81726.9920     0056
   4.9140049   1.40649e+01       81449.6770     0068
   4.9115914   1.26401e+01       81777.1620     0054
   4.9091802   1.07411e+01       82265.7710     0035
   4.9067713   1.18480e+01       82162.2600     0039
   4.9043649   1.79447e+01       81371.7070     0072
   4.9019608   1.12369e+01       81853.2860     0051
   4.8995590   1.02489e+01       82291.6610     0034
   4.8971596   1.05099e+01       81702.1460     0057
   4.8947626   1.08016e+01       82835.5980     0013
   4.8923679   1.41216e+01       81677.4980     0058
   4.8899756   1.13519e+01       82265.7710     0035
   4.8875855   1.09307e+01       81653.0750     0059
   4.8851979   1.00352e+01       81981.5190     0046
   4.8828125   2.51276e+01       81390.5350     0071
   4.8804295   1.06901e+01       81429.4800     0069
   4.8780488   1.18622e+01       81558.3860     0063
   4.8756704   1.19919e+01       81853.2860     0051
   4.8732943   1.19611e+01       81878.8320     0050
   4.8709206   1.08045e+01       82136.3990     0040
   4.8685492   1.45913e+01       81605.0530     0061
   4.8661800   1.10133e+01       81726.9920     0056
   4.8638132   1.05494e+01       81904.4320     0049
   4.8614487   1.06131e+01       81581.5290     0062
   4.8590865   1.04704e+01       82110.5460     0041
   4.8567266   1.14211e+01       81677.4980     0058
   4.8543689   5.22670e+04       81409.7800     0070
   4.8520136   8.86094e+01       81335.0960     0074
   4.8496605   2.41472e+02       81409.7800     0070
   4.8473097   1.45818e+01       81409.7800     0070
   4.8449612   1.15923e+01       81677.4980     0058
   4.8426150   1.23895e+01       82239.8860     0036
   4.8402711   1.08601e+01       81605.0530     0061
   4.8379294   3.15048e+01       81371.7070     0072
   4.8355899   1.24372e+01       82214.0050     0037
   4.8332528   1.44373e+01       81581.5290     0062
   4.8309179   1.09666e+01       81930.0870     0048
   4.8285852   1.04162e+01       81513.4050     0065
   4.8262548   1.12845e+01       82265.7710     0035
   4.8239267   1.12977e+01       82317.5550     0033
   4.8216008   1.20318e+01       82317.5550     0033
   4.8192771   1.00888e+01       81581.5290     0062
   4.8169557   1.50692e+01       81581.5290     0062
   4.8146365   1.04947e+01       81726.9920     0056
   4.8123195   1.33582e+01       81491.6420     0066
   4.8100048   1.22689e+01       81702.1460     0057
   4.8076923   1.21520e+01       81802.4400     0053
   4.8053820   1.15448e+01       81628.9090     0060
   4.8030740   1.37970e+01       83120.5490     0002
   4.8007681   1.00790e+01       81558.3860     0063
   4.7984645   1.11479e+01       81702.1460     0057
   4.7961631   1.20768e+01       82214.0050     0037
   4.7938639   1.40609e+01       81353.2390     0073
   4.7915668   1.12701e+01       81535.6630     0064
   4.7892720   1.01431e+01       81878.8320     0050
   4.7869794   1.71428e+03       81299.6390     0076
   4.7846890   1.19887e+01       81904.4320     0049
   4.7824008   1.11244e+01       81702.1460     0057
   4.7801147   1.07154e+01       81827.8230     0052
   4.7778309   1.02769e+01       82110.5460     0041
   4.7755492   1.41412e+01       81605.0530     0061
   4.7732697   1.11989e+01       81752.0050     0055
   4.7709924   1.27080e+01       81429.4800     0069
   4.7687172   1.17988e+01       81605.0530     0061
   4.7664442   1.16725e+01       81605.0530     0061
   4.7641734   1.12466e+05       81409.7800     0070
   4.7619048   1.33698e+01       81677.4980     0058
   4.7596383   1.07871e+01       81752.0050     0055
   4.7573739   1.05560e+01       81558.3860     0063
   4.7551117   1.25356e+01       82084.7080     0042
   4.7528517   1.13984e+01       81449.6770     0068
