#wvl [um]      Flux [erg/s/cm]
5              29297.2222        
4.997501249    15993.2138        
4.995004995    27154.976         
4.992511233    14760.5364        
4.99001996     18525.9016        
4.987531172    26271.065         
4.985044865    31658.633         
4.982561036    24029.4158        
4.980079681    25244.8468        
4.977600796    23055.0748        
4.975124378    29763.2521        
4.972650423    16913.5911        
4.970178926    22776.2208        
4.967709886    17807.754         
4.965243297    20303.7019        
4.962779156    16953.9396        
4.96031746     16317.8161        
4.957858205    31086.4859        
4.955401388    15829.8796        
4.952947003    21036.3078        
4.95049505     19476.235         
4.948045522    14998.3589        
4.945598417    31615.1972        
4.943153732    16469.6406        
4.940711462    36380.3258        
4.938271605    17867.7193        
4.935834156    14673.4711        
4.933399112    21061.0303        
4.930966469    18217.3965        
4.928536225    26529.4936        
4.926108374    15648.58          
4.923682915    20925.4849        
4.921259843    26296.3345        
4.918839154    34568.9255        
4.916420846    21013.0088        
4.914004914    30674.0189        
4.911591356    26230.7323        
4.909180167    14936.9863        
4.906771344    15301.433         
4.904364885    36982.7656        
4.901960784    18248.8282        
4.89955904     14865.7695        
4.897159647    21965.2233        
4.894762604    14600.1164        
4.892367906    23616.88          
4.88997555     15006.5214        
4.887585533    26042.4433        
4.885197851    17281.2068        
4.8828125      35969.0003        
4.880429478    29998.76          
4.87804878     28445.867         
4.875670405    18985.738         
4.873294347    20470.8256        
4.870920604    15945.8406        
4.868549172    27759.5565        
4.866180049    22844.9689        
4.86381323     16703.3811        
4.861448712    26706.648         
4.859086492    15666.2921        
4.856726566    21902.7284        
4.854368932    19248.7783        
4.852013586    24617.7595        
4.849660524    29973.7121        
4.847309743    34058.0331        
4.84496124     25383.7741        
4.842615012    15010.4273        
4.840271055    25771.6259        
4.837929366    34677.2553        
4.835589942    14974.1257        
4.833252779    22389.97          
4.830917874    18461.7286        
4.828585225    27014.228         
4.826254826    14961.8666        
4.823926676    14644.3734        
4.821600771    14771.193         
4.819277108    23535.3629        
4.816955684    27637.776         
4.814636495    20647.9853        
4.812319538    29040.7611        
4.81000481     22380.6854        
4.807692308    20671.6714        
4.805382028    27273.6426        
4.803073967    14516.2862        
4.800768123    25558.9768        
4.798464491    32837.7994        
4.79616307     14957.3283        
4.793863854    27093.2983        
4.791566842    26450.1162        
4.789272031    19579.6924        
4.786979416    32138.7339        
4.784688995    16999.4116        
4.782400765    22393.171         
4.780114723    18747.167         
4.777830865    15705.6241        
4.775549188    23584.8605        
4.77326969     25002.7204        
4.770992366    32281.8684        
4.768717215    26186.4802        
4.766444233    24508.3906        
4.764173416    15930.2642        
4.761904762    22002.7249        
4.759638267    20414.4765        
4.75737393     26688.7763        
4.755111745    17012.008         
4.752851711    34585.4081        
4.750593824    21438.0523        
4.748338082    26653.3282        
4.74608448     33305.9494        
4.743833017    31963.6246        
4.741583689    23684.5848        
4.739336493    25575.1545        
4.737091426    32740.5369        
4.734848485    20628.3346        
4.732607667    15802.6131        
4.730368969    21246.058         
4.728132388    15043.8111        
4.725897921    15766.4288        
4.723665564    26638.2922        
4.721435316    24939.9852        
4.719207173    15217.7484        
4.716981132    16306.5517        
4.71475719     27039.8233        
4.712535344    27009.4615        
4.710315591    33656.4567        
4.708097928    28897.9093        
4.705882353    19707.3365        
4.703668862    34666.8974        
4.701457452    30108.8917        
4.69924812     14578.6757        
4.697040864    36312.2212        
4.694835681    27851.548         
4.692632567    14414.4186        
4.69043152     28281.0349        
4.688232536    24533.1661        
4.686035614    35605.5214        
4.683840749    32796.5498        
4.68164794     31105.1718        
4.679457183    26973.7099        
4.677268475    17765.7332        
4.675081814    19521.2265        
4.672897196    26835.1793        
4.670714619    23982.2421        
4.66853408     35134.7906        
4.666355576    26484.2367        
4.664179104    18690.296         
4.662004662    31160.7997        
4.659832246    14355.9893        
4.657661854    19531.8753        
4.655493482    25818.9687        
4.653327129    20275.3932        
4.651162791    33756.2058        
4.649000465    33898.6094        
4.646840149    30554.8876        
4.644681839    17198.8584        
4.642525534    15975.0461        
4.64037123     15410.1764        
4.638218924    33128.9129        
4.636068614    28405.7032        
4.633920297    33004.8134        
4.631773969    17493.671         
4.62962963     14847.9623        
4.627487274    38589.3532        
4.625346901    14767.4662        
