# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   4.65368e+04       79814.6670     0099
   4.9975012   6.79415e+04       79814.6670     0099
   4.9950050   1.05748e+05       79814.6670     0099
   4.9925112   1.08953e+05       79814.6670     0099
   4.9900200   1.41787e+05       79814.6670     0099
   4.9875312   8.43297e+04       79814.6670     0099
   4.9850449   8.34760e+04       79814.6670     0099
   4.9825610   1.11515e+05       79814.6670     0099
   4.9800797   1.34024e+05       79814.6670     0099
   4.9776008   1.30757e+05       79814.6670     0099
   4.9751244   9.20162e+04       79814.6670     0099
   4.9726504   1.05125e+05       79814.6670     0099
   4.9701789   1.23928e+05       79814.6670     0099
   4.9677099   1.71851e+05       79814.6670     0099
   4.9652433   1.38631e+05       79814.6670     0099
   4.9627792   1.08285e+05       79814.6670     0099
   4.9603175   1.67499e+05       79814.6670     0099
   4.9578582   1.46841e+05       79814.6670     0099
   4.9554014   2.29395e+05       79814.6670     0099
   4.9529470   1.40629e+05       79814.6670     0099
   4.9504950   1.23612e+05       79814.6670     0099
   4.9480455   1.32156e+05       79814.6670     0099
   4.9455984   1.36715e+05       79814.6670     0099
   4.9431537   2.67604e+05       79814.6670     0099
   4.9407115   1.29718e+05       79814.6670     0099
   4.9382716   1.53361e+05       79814.6670     0099
   4.9358342   1.40196e+05       79814.6670     0099
   4.9333991   1.62279e+05       79814.6670     0099
   4.9309665   1.92400e+05       79814.6670     0099
   4.9285362   1.41464e+05       79814.6670     0099
   4.9261084   1.46896e+05       79814.6670     0099
   4.9236829   1.30534e+05       79814.6670     0099
   4.9212598   1.98568e+05       79814.6670     0099
   4.9188392   1.70014e+05       79814.6670     0099
   4.9164208   1.71624e+05       79814.6670     0099
   4.9140049   1.29964e+05       79814.6670     0099
   4.9115914   1.43508e+05       79814.6670     0099
   4.9091802   3.92895e+05       79814.6670     0099
   4.9067713   1.69637e+05       79814.6670     0099
   4.9043649   1.49367e+05       79814.6670     0099
   4.9019608   1.35365e+05       79814.6670     0099
   4.8995590   1.96358e+05       79814.6670     0099
   4.8971596   2.46281e+05       79814.6670     0099
   4.8947626   2.67791e+05       79814.6670     0099
   4.8923679   1.36100e+05       79814.6670     0099
   4.8899756   1.46289e+05       79814.6670     0099
   4.8875855   2.55352e+05       79814.6670     0099
   4.8851979   2.20549e+05       79814.6670     0099
   4.8828125   1.55132e+05       79814.6670     0099
   4.8804295   1.37790e+05       79814.6670     0099
   4.8780488   1.82328e+05       79814.6670     0099
   4.8756704   3.39631e+05       79814.6670     0099
   4.8732943   1.98512e+05       79814.6670     0099
   4.8709206   1.40398e+05       79814.6670     0099
   4.8685492   1.52117e+05       79814.6670     0099
   4.8661800   2.50494e+05       79814.6670     0099
   4.8638132   2.79151e+05       79814.6670     0099
   4.8614487   1.53255e+05       79814.6670     0099
   4.8590865   1.42488e+05       79814.6670     0099
   4.8567266   1.88444e+05       79814.6670     0099
   4.8543689   4.09731e+05       79814.6670     0099
   4.8520136   1.85159e+05       79814.6670     0099
   4.8496605   1.46008e+05       79814.6670     0099
   4.8473097   1.65915e+05       79814.6670     0099
   4.8449612   2.77513e+05       79814.6670     0099
   4.8426150   2.65722e+05       79814.6670     0099
   4.8402711   1.75299e+05       79814.6670     0099
   4.8379294   1.60519e+05       79814.6670     0099
   4.8355899   2.12030e+05       79814.6670     0099
   4.8332528   3.87006e+05       79814.6670     0099
   4.8309179   1.77622e+05       79814.6670     0099
   4.8285852   1.49730e+05       79814.6670     0099
   4.8262548   1.75156e+05       79814.6670     0099
   4.8239267   3.89783e+05       79814.6670     0099
   4.8216008   2.15254e+05       79814.6670     0099
   4.8192771   1.57297e+05       79814.6670     0099
   4.8169557   1.60109e+05       79814.6670     0099
   4.8146365   2.64131e+05       79814.6670     0099
   4.8123195   2.87995e+05       79814.6670     0099
   4.8100048   1.72979e+05       79814.6670     0099
   4.8076923   1.52341e+05       79814.6670     0099
   4.8053820   2.12025e+05       79814.6670     0099
   4.8030740   7.77498e+05       79814.6670     0099
   4.8007681   1.86786e+05       79814.6670     0099
   4.7984645   1.49120e+05       79814.6670     0099
   4.7961631   1.87038e+05       79814.6670     0099
   4.7938639   2.94214e+05       79814.6670     0099
   4.7915668   2.21715e+05       79814.6670     0099
   4.7892720   1.58515e+05       79814.6670     0099
   4.7869794   1.76565e+05       79814.6670     0099
   4.7846890   2.49398e+05       79814.6670     0099
   4.7824008   2.63609e+05       79814.6670     0099
   4.7801147   1.63846e+05       79814.6670     0099
   4.7778309   1.63938e+05       79814.6670     0099
   4.7755492   1.98768e+05       79814.6670     0099
   4.7732697   3.48205e+05       79814.6670     0099
   4.7709924   1.66458e+05       79814.6670     0099
   4.7687172   1.53130e+05       79814.6670     0099
   4.7664442   1.74512e+05       79814.6670     0099
   4.7641734   3.82049e+05       79814.6670     0099
   4.7619048   1.76025e+05       79814.6670     0099
   4.7596383   1.48557e+05       79814.6670     0099
   4.7573739   1.56466e+05       79814.6670     0099
   4.7551117   2.65850e+05       79814.6670     0099
   4.7528517   1.85424e+05       79814.6670     0099
   4.7505938   1.49113e+05       79814.6670     0099
   4.7483381   1.43117e+05       79814.6670     0099
   4.7460845   2.15578e+05       79814.6670     0099
   4.7438330   1.92296e+05       79814.6670     0099
   4.7415837   1.46608e+05       79814.6670     0099
   4.7393365   1.30151e+05       79814.6670     0099
   4.7370914   1.85562e+05       79814.6670     0099
   4.7348485   2.01702e+05       79814.6670     0099
   4.7326077   1.55435e+05       79814.6670     0099
   4.7303690   1.27622e+05       79814.6670     0099
   4.7281324   1.83306e+05       79814.6670     0099
   4.7258979   2.04201e+05       79814.6670     0099
   4.7236656   1.18662e+05       79814.6670     0099
   4.7214353   1.07995e+05       79814.6670     0099
   4.7192072   1.49996e+05       79814.6670     0099
   4.7169811   1.90097e+05       79814.6670     0099
   4.7147572   1.12397e+05       79814.6670     0099
   4.7125353   1.06099e+05       79814.6670     0099
