#wvl [um]      Flux [erg/s/cm]
5              29297.222         
4.997501249    15993.2128        
4.995004995    27154.9759        
4.992511233    14760.5361        
4.99001996     18525.9011        
4.987531172    26271.0642        
4.985044865    31658.6329        
4.982561036    24029.4158        
4.980079681    25244.8464        
4.977600796    23055.0687        
4.975124378    29763.2503        
4.972650423    16913.5898        
4.970178926    22776.2171        
4.967709886    17807.752         
4.965243297    20303.7017        
4.962779156    16953.9391        
4.96031746     16317.816         
4.957858205    31086.4854        
4.955401388    15829.8778        
4.952947003    21036.3075        
4.95049505     19476.2349        
4.948045522    14998.3587        
4.945598417    31615.1955        
4.943153732    16469.6401        
4.940711462    36380.3257        
4.938271605    17867.7156        
4.935834156    14673.4711        
4.933399112    21061.0301        
4.930966469    18217.3961        
4.928536225    26529.4933        
4.926108374    15648.5745        
4.923682915    20925.4848        
4.921259843    26296.3345        
4.918839154    34568.9254        
4.916420846    21013.0088        
4.914004914    30674.0186        
4.911591356    26230.7323        
4.909180167    14936.9863        
4.906771344    15301.4285        
4.904364885    36982.7656        
4.901960784    18248.8275        
4.89955904     14865.7674        
4.897159647    21965.2231        
4.894762604    14600.1164        
4.892367906    23616.8799        
4.88997555     15006.5202        
4.887585533    26042.4433        
4.885197851    17281.2062        
4.8828125      35969.0003        
4.880429478    29998.7599        
4.87804878     28445.8643        
4.875670405    18985.7321        
4.873294347    20470.8255        
4.870920604    15945.839         
4.868549172    27759.5564        
4.866180049    22844.9686        
4.86381323     16703.3809        
4.861448712    26706.6434        
4.859086492    15666.2913        
4.856726566    21902.7228        
4.854368932    19248.7783        
4.852013586    24617.7586        
4.849660524    29973.7118        
4.847309743    34058.0303        
4.84496124     25383.7741        
4.842615012    15010.425         
4.840271055    25771.625         
4.837929366    34677.2553        
4.835589942    14974.1231        
4.833252779    22389.9656        
4.830917874    18461.7274        
4.828585225    27014.2251        
4.826254826    14961.8652        
4.823926676    14644.3727        
4.821600771    14771.1909        
4.819277108    23535.3565        
4.816955684    27637.776         
4.814636495    20647.9843        
4.812319538    29040.7611        
4.81000481     22380.6853        
4.807692308    20671.6708        
4.805382028    27273.6426        
4.803073967    14516.2862        
4.800768123    25558.9768        
4.798464491    32837.7993        
4.79616307     14957.3257        
4.793863854    27093.2973        
4.791566842    26450.1158        
4.789272031    19579.6913        
4.786979416    32138.7336        
4.784688995    16999.4109        
4.782400765    22393.1679        
4.780114723    18747.1627        
4.777830865    15705.6202        
4.775549188    23584.8604        
4.77326969     25002.7204        
4.770992366    32281.8665        
4.768717215    26186.4782        
4.766444233    24508.3895        
4.764173416    15930.2642        
4.761904762    22002.7245        
4.759638267    20414.4722        
4.75737393     26688.7756        
4.755111745    17012.0053        
4.752851711    34585.4081        
4.750593824    21438.0523        
4.748338082    26653.3282        
4.74608448     33305.9494        
4.743833017    31963.6237        
4.741583689    23684.5848        
4.739336493    25575.1543        
4.737091426    32740.5369        
4.734848485    20628.3328        
4.732607667    15802.6126        
4.730368969    21246.0496        
4.728132388    15043.8103        
4.725897921    15766.4214        
4.723665564    26638.2921        
4.721435316    24939.9824        
4.719207173    15217.7482        
4.716981132    16306.5509        
4.71475719     27039.818         
4.712535344    27009.4551        
4.710315591    33656.4561        
4.708097928    28897.9093        
4.705882353    19707.336         
4.703668862    34666.8974        
4.701457452    30108.8908        
4.69924812     14578.6752        
4.697040864    36312.2212        
4.694835681    27851.544         
4.692632567    14414.4184        
4.69043152     28281.0324        
4.688232536    24533.1659        
4.686035614    35605.5213        
4.683840749    32796.5498        
4.68164794     31105.1718        
4.679457183    26973.7099        
4.677268475    17765.7321        
4.675081814    19521.2265        
4.672897196    26835.1788        
4.670714619    23982.2419        
4.66853408     35134.7901        
4.666355576    26484.2366        
4.664179104    18690.296         
4.662004662    31160.7985        
4.659832246    14355.9893        
4.657661854    19531.8752        
4.655493482    25818.9636        
4.653327129    20275.3923        
4.651162791    33756.2058        
4.649000465    33898.6094        
4.646840149    30554.8859        
4.644681839    17198.8575        
4.642525534    15975.0453        
4.64037123     15410.168         
4.638218924    33128.9123        
4.636068614    28405.7031        
4.633920297    33004.8131        
4.631773969    17493.6694        
4.62962963     14847.9602        
4.627487274    38589.3532        
4.625346901    14767.4662        
4.623208507    18252.2437        
4.621072089    31508.9152        
4.618937644    27208.8038        
4.616805171    29712.1117        
4.614674665    26757.9137        
4.612546125    33908.4603        
4.610419548    32961.5578        
4.608294931    27142.3042        
4.606172271    26115.6943        
4.604051565    31576.6043        
4.601932812    14337.3826        
4.599816007    34239.5989        
4.597701149    22771.3372        
4.595588235    18378.5028        
4.593477262    16649.4654        
4.591368228    35691.4458        
4.589261129    29623.1457        
4.587155963    29031.2915        
4.585052728    24170.6081        
4.582951421    31519.3353        
4.580852038    29465.3295        
4.578754579    15226.4536        
4.576659039    33206.3881        
4.574565416    15751.0299        
4.572473708    15004.0002        
4.570383912    26901.515         
4.568296026    18876.6784        
4.566210046    14295.0508        
4.56412597     27575.4887        
