# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.29307e+01       80993.1810     0077
   4.9975012   1.16940e+01       81412.6560     0068
   4.9950050   1.45882e+01       81143.5440     0074
   4.9925112   1.14340e+01       81721.5310     0060
   4.9900200   1.25549e+01       81327.6520     0070
   4.9875312   1.17870e+01       80993.1810     0077
   4.9850449   1.33935e+01       80835.5250     0080
   4.9825610   1.79355e+01       81044.3200     0076
   4.9800797   1.26295e+01       81044.3200     0076
   4.9776008   1.00684e+01       81044.3200     0076
   4.9751244   1.03969e+01       80888.6040     0079
   4.9726504   1.17222e+01       81283.4530     0071
   4.9701789   1.07204e+01       81143.5440     0074
   4.9677099   1.13111e+01       81283.4530     0071
   4.9652433   1.38552e+01       81143.5440     0074
   4.9627792   1.25663e+01       81238.0560     0072
   4.9603175   1.44459e+01       81453.6410     0067
   4.9578582   1.25649e+01       81094.4830     0075
   4.9554014   1.11533e+01       81412.6560     0068
   4.9529470   1.31810e+01       81143.5440     0074
   4.9504950   1.38263e+01       81238.0560     0072
   4.9480455   1.26849e+01       81533.0790     0065
   4.9455984   1.04926e+01       80888.6040     0079
   4.9431537   1.21881e+01       81453.6410     0067
   4.9407115   1.25258e+01       80782.1380     0081
   4.9382716   1.06814e+01       81327.6520     0070
   4.9358342   1.23943e+01       81830.7450     0057
   4.9333991   1.33388e+01       81143.5440     0074
   4.9309665   1.28084e+01       81143.5440     0074
   4.9285362   1.30510e+01       81044.3200     0076
   4.9261084   1.03889e+01       81327.6520     0070
   4.9236829   1.51634e+01       81143.5440     0074
   4.9212598   1.54124e+01       80993.1810     0077
   4.9188392   1.27720e+01       80888.6040     0079
   4.9164208   1.93872e+01       81143.5440     0074
   4.9140049   1.24516e+01       80941.2170     0078
   4.9115914   1.48357e+01       80835.5250     0080
   4.9091802   1.42312e+01       81647.4510     0062
   4.9067713   1.02477e+01       81453.6410     0067
   4.9043649   1.69529e+01       80888.6040     0079
   4.9019608   1.23324e+01       81238.0560     0072
   4.8995590   1.03684e+01       81609.8390     0063
   4.8971596   1.35413e+01       81094.4830     0075
   4.8947626   1.26048e+01       82330.5340     0043
   4.8923679   1.43382e+01       81044.3200     0076
   4.8899756   1.13140e+01       81493.7460     0066
   4.8875855   3.66922e+01       80993.1810     0077
   4.8851979   1.25047e+01       81283.4530     0071
   4.8828125   1.71224e+01       80835.5250     0080
   4.8804295   1.52666e+01       80835.5250     0080
   4.8780488   1.06564e+01       80993.1810     0077
   4.8756704   1.03311e+01       81238.0560     0072
   4.8732943   1.39778e+01       81044.3200     0076
   4.8709206   1.15933e+01       81283.4530     0071
   4.8685492   1.40938e+01       80993.1810     0077
   4.8661800   1.29679e+01       81044.3200     0076
   4.8638132   1.35511e+01       81412.6560     0068
   4.8614487   1.01772e+01       80993.1810     0077
   4.8590865   1.19689e+01       81412.6560     0068
   4.8567266   1.03481e+01       81143.5440     0074
   4.8543689   1.57759e+01       81412.6560     0068
   4.8520136   1.17146e+01       80993.1810     0077
   4.8496605   1.25004e+01       80941.2170     0078
   4.8473097   1.03623e+01       80941.2170     0078
   4.8449612   2.90832e+01       80941.2170     0078
   4.8426150   1.05724e+01       81533.0790     0065
   4.8402711   1.20024e+01       81094.4830     0075
   4.8379294   1.60549e+01       80941.2170     0078
   4.8355899   1.04447e+01       81533.0790     0065
   4.8332528   1.06052e+01       81191.4130     0073
   4.8309179   1.18210e+01       81094.4830     0075
   4.8285852   1.07903e+01       81044.3200     0076
   4.8262548   1.11967e+01       81493.7460     0066
   4.8239267   1.06016e+01       81758.1460     0059
   4.8216008   1.03726e+01       81609.8390     0063
   4.8192771   1.02302e+01       81143.5440     0074
   4.8169557   1.45223e+01       80941.2170     0078
   4.8146365   1.19930e+01       81191.4130     0073
   4.8123195   3.86312e+01       80941.2170     0078
   4.8100048   1.49840e+01       81143.5440     0074
   4.8076923   1.22595e+01       81044.3200     0076
   4.8053820   1.63167e+01       80993.1810     0077
   4.8030740   1.25942e+01       82756.8480     0031
   4.8007681   1.62996e+01       81044.3200     0076
   4.7984645   1.20812e+01       80728.5740     0082
   4.7961631   1.06476e+01       81493.7460     0066
