#wvl [um]        modulation
5                0.0240272169      
4.99750125       0.0243295788      
4.995005         0.0242656093      
4.99251123       0.024607869       
4.99001996       0.0241600104      
4.98753117       0.024078249       
4.98504487       0.0240453029      
4.98256104       0.0241917215      
4.98007968       0.024163533       
4.9776008        0.0241595942      
4.97512438       0.0240356875      
4.97265042       0.0242769382      
4.97017893       0.0241697755      
4.96770989       0.0242449317      
4.9652433        0.0242264945      
4.96277916       0.0243207613      
4.96031746       0.0242361332      
4.95785821       0.0239912348      
4.95540139       0.0243138236      
4.952947         0.0242706836      
4.95049505       0.02423573        
4.94804552       0.0242720231      
4.94559842       0.0240995311      
4.94315373       0.0243962649      
4.94071146       0.0239869415      
4.9382716        0.0242700086      
4.93583416       0.024599125       
4.93339911       0.0242180739      
4.93096647       0.0242962083      
4.92853622       0.0240835596      
4.92610837       0.0245072309      
4.92368291       0.0241347201      
4.92125984       0.0241257458      
4.91883915       0.0239753085      
4.91642085       0.024247217       
4.91400491       0.0240652071      
4.91159136       0.0242776224      
4.90918017       0.0244431852      
4.90677134       0.0243552898      
4.90436488       0.0239703181      
4.90196078       0.0242479659      
4.89955904       0.0243889426      
4.89715965       0.0241859572      
4.8947626        0.0246393462      
4.89236791       0.0242427854      
4.88997555       0.0244757211      
4.88758553       0.0241331118      
4.88519785       0.0242743866      
4.8828125        0.0239496154      
4.88042948       0.0241159316      
4.87804878       0.0241685372      
4.8756704        0.0242528904      
4.87329435       0.0242898037      
4.8709206        0.0244530432      
4.86854917       0.0241335992      
4.86618005       0.0241829922      
4.86381323       0.0242389252      
4.86144871       0.0241327862      
4.85908649       0.0243557191      
4.85672657       0.0241744409      
4.85436893       0.0241192683      
4.85201359       0.0241102525      
4.84966052       0.0239491289      
4.84730974       0.0240434318      
4.84496124       0.0241733382      
4.84261501       0.0244758762      
4.84027106       0.0240946384      
4.83792937       0.0239865811      
4.83558994       0.0243698285      
4.83325278       0.0241340409      
4.83091787       0.0242582565      
4.82858522       0.0240961243      
4.82625483       0.0244778383      
4.82392668       0.0243887038      
4.82160077       0.0244949541      
4.81927711       0.0241056333      
4.81695568       0.0241481826      
4.81463649       0.024245977       
4.81231954       0.0240943333      
4.81000481       0.0242143247      
4.80769231       0.0242162521      
4.80538203       0.0241305223      
4.80307397       0.0248390148      
4.80076812       0.0241223097      
4.79846449       0.0242543653      
4.79616307       0.0243883858      
4.79386385       0.02406844        
4.79156684       0.0241081808      
4.78927203       0.0242103453      
4.78697942       0.0240344493      
4.784689         0.0243466097      
4.78240077       0.0241792984      
4.78011472       0.0242058671      
4.77783086       0.0243448117      
4.77554919       0.024161408       
4.77326969       0.0242784744      
4.77099237       0.0240719603      
4.76871722       0.0241556828      
4.76644423       0.0241500467      
4.76417342       0.0239548969      
4.76190476       0.0242086515      
4.75963827       0.0241741163      
4.75737393       0.0240931585      
4.75511175       0.0244553843      
4.75285171       0.0242646974      
4.75059382       0.0242394259      
4.74833808       0.0241320901      
4.74608448       0.0240409523      
4.74383302       0.0241355325      
4.74158369       0.0241650636      
4.73933649       0.0243512923      
4.73709143       0.024003991       
4.73484848       0.0242122889      
4.73260767       0.0242929938      
4.73036897       0.024221442       
4.72813239       0.0244598397      
4.72589792       0.0243904728      
4.72366556       0.0241734762      
4.72143532       0.0240845872      
4.71920717       0.0243417186      
4.71698113       0.0243724112      
4.71475719       0.0241031108      
4.71253534       0.0241204707      
4.71031559       0.0241182164      
4.70809793       0.0241345152      
4.70588235       0.0243431513      
4.70366886       0.0240174717      
4.70145745       0.0241453568      
4.69924812       0.0243682167      
4.69704086       0.02398293        
4.69483568       0.0241320534      
4.69263257       0.0246362738      
4.69043152       0.0240897051      
4.68823254       0.0240434117      
4.68603561       0.0239832846      
4.68384075       0.0240827373      
4.68164794       0.0240228227      
4.67945718       0.0240980562      
4.67726848       0.0241901513      
4.67508181       0.0240584924      
4.6728972        0.0241075956      
4.67071462       0.0241267682      
4.66853408       0.024018847       
4.66635558       0.0240933734      
4.6641791        0.0242556031      
4.66200466       0.0240827723      
4.65983225       0.0246767186      
4.65766185       0.0241529223      
4.65549348       0.0241747672      
4.65332713       0.0242043148      
4.65116279       0.0240228735      
4.64900046       0.0239976527      
4.64684015       0.0240930028      
4.64468184       0.0242223494      
4.64252553       0.0241769874      
4.64037123       0.0244850219      
4.63821892       0.0240739515      
4.63606861       0.0240745934      
4.6339203        0.0240863494      
4.63177397       0.0241814207      
4.62962963       0.0244978272      
4.62748727       0.0240235788      
4.6253469        0.0244886012      
4.62320851       0.0240988128      
4.62107209       0.0240564182      
4.61893764       0.0241117697      
4.61680517       0.0241014532      
4.61467467       0.0241120761      
4.61254613       0.0240496901      
4.61041955       0.0240585983      
4.60829493       0.0241531478      
4.60617227       0.0241347291      
4.60405157       0.0240628026      
4.60193281       0.0243385634      
4.59981601       0.0240653518      
4.59770115       0.0241974067      
4.59558824       0.0241257782      
4.59347726       0.0242831179      
4.59136823       0.024025035       
4.58926113       0.0241192793      
4.58715596       0.0241437299      
4.58505273       0.0241415257      
4.58295142       0.0240882963      
4.58085204       0.0241352927      
4.57875458       0.0243921637      
4.57665904       0.0241097679      
4.57456542       0.0242489156      
4.57247371       0.0244145089      
4.57038391       0.0242131594      
4.56829603       0.0241998624      
4.56621005       0.0245727377      
4.56412597       0.0241742131      
4.5620438        0.02410577        
4.55996352       0.0241745936      
4.55788514       0.0242959303      
4.55580866       0.0241422919      
4.55373406       0.0241463595      
4.55166136       0.0241967072      
4.54959054       0.0242076691      
4.5475216        0.0242008205      
4.54545455       0.0243963251      
4.54338937       0.024102101       
4.54132607       0.0241787241      
4.53926464       0.0240935584      
4.53720508       0.0241676754      
4.53514739       0.0241303774      
4.53309157       0.0241903532      
4.53103761       0.0242396325      
4.52898551       0.0241827059      
4.52693526       0.0241119271      
4.52488688       0.0242042068      
4.52284034       0.0241201395      
4.52079566       0.0241983907      
4.51875282       0.0241277136      
4.51671183       0.024121455       
4.51467269       0.0241610938      
4.51263538       0.0241767574      
4.51059991       0.0243472759      
4.50856628       0.0241767677      
4.50653447       0.0241843567      
4.5045045        0.0242452838      
4.50247636       0.0242245207      
4.50045005       0.024384716       
4.49842555       0.024247512       
4.49640288       0.0241531677      
4.49438202       0.0242503828      
4.49236298       0.024197844       
4.49034576       0.024218758       
4.48833034       0.0242786913      
4.48631673       0.0242537694      
4.48430493       0.0242495364      
4.48229494       0.0242483378      
4.48028674       0.0241560056      
4.47828034       0.0243076826      
4.47627574       0.0242134384      
4.47427293       0.024124795       
4.47227191       0.0243051017      
4.47027269       0.0242043765      
4.46827525       0.0242748495      
4.46627959       0.0243553601      
4.46428571       0.0242328911      
4.46229362       0.0241818939      
4.4603033        0.0242582675      
4.45831476       0.0242087939      
4.45632799       0.0241469115      
4.45434298       0.0242078751      
4.45235975       0.0242740382      
4.45037828       0.0243614327      
4.44839858       0.024482678       
4.44642063       0.0241972931      
4.44444444       0.0243578105      
4.44247001       0.0243366534      
4.44049734       0.0244624599      
4.43852641       0.0242442052      
4.43655723       0.0241085867      
4.4345898        0.0243382841      
4.43262411       0.0242778425      
4.43066017       0.0241513708      
4.42869796       0.024219178       
4.42673749       0.0242244063      
4.42477876       0.0243886079      
4.42282176       0.0242733386      
4.42086649       0.0242917383      
4.41891295       0.0242274203      
4.41696113       0.024241382       
4.41501104       0.0242566614      
4.41306267       0.0241459654      
4.41111601       0.02420943        
4.40917108       0.0244500624      
4.40722785       0.0242903186      
4.40528634       0.0242586951      
4.40334654       0.0243939753      
4.40140845       0.0245373716      
4.39947206       0.0244163287      
4.39753738       0.0242560277      
4.3956044        0.0244128459      
4.39367311       0.0243718329      
4.39174352       0.0242416643      
4.38981563       0.0244092796      
4.38788943       0.024390207       
4.38596491       0.0242675491      
4.38404209       0.0242635288      
4.38212095       0.0242149564      
4.38020149       0.0242686572      
4.37828371       0.0244120997      
4.37636761       0.0242502838      
4.37445319       0.0241967462      
4.37254045       0.0243097002      
4.37062937       0.0242663299      
4.36871997       0.0242310778      
4.36681223       0.0244012366      
4.36490615       0.0245179664      
4.36300175       0.0241612292      
4.361099         0.024239037       
4.35919791       0.0242257353      
4.35729847       0.0243404072      
4.3554007        0.0243611555      
4.35350457       0.0242440035      
4.3516101        0.0242930621      
4.34971727       0.0244051358      
4.34782609       0.0241940005      
4.34593655       0.0245476438      
4.34404865       0.0244474297      
4.3421624        0.0242926094      
4.34027778       0.0242759152      
4.33839479       0.0243204529      
4.33651344       0.0242476484      
4.33463372       0.0242902093      
4.33275563       0.024373882       
4.33087917       0.0243670049      
4.32900433       0.0246114376      
4.32713111       0.0242435746      
