# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   9.47013e+06       80327.4950     0099
   4.9975012   1.35034e+07       80327.4950     0099
   4.9950050   1.52021e+07       80327.4950     0099
   4.9925112   1.57362e+07       80327.4950     0099
   4.9900200   1.59765e+07       80327.4950     0099
   4.9875312   1.33085e+07       80327.4950     0099
   4.9850449   1.31412e+07       80327.4950     0099
   4.9825610   1.48517e+07       80327.4950     0099
   4.9800797   1.71355e+07       80327.4950     0099
   4.9776008   1.65527e+07       80327.4950     0099
   4.9751244   1.48526e+07       80327.4950     0099
   4.9726504   1.65035e+07       80327.4950     0099
   4.9701789   1.98158e+07       80327.4950     0099
   4.9677099   2.26940e+07       80327.4950     0099
   4.9652433   2.17125e+07       80327.4950     0099
   4.9627792   1.97991e+07       80327.4950     0099
   4.9603175   2.23779e+07       80327.4950     0099
   4.9578582   2.69258e+07       80327.4950     0099
   4.9554014   2.91285e+07       80327.4950     0099
   4.9529470   2.44992e+07       80327.4950     0099
   4.9504950   2.07503e+07       80327.4950     0099
   4.9480455   1.94248e+07       80327.4950     0099
   4.9455984   2.01068e+07       80327.4950     0099
   4.9431537   2.66743e+07       80327.4950     0099
   4.9407115   1.96417e+07       80327.4950     0099
   4.9382716   1.96812e+07       80327.4950     0099
   4.9358342   2.08508e+07       80327.4950     0099
   4.9333991   2.24892e+07       80327.4950     0099
   4.9309665   2.31997e+07       80327.4950     0099
   4.9285362   2.00838e+07       80327.4950     0099
   4.9261084   1.96757e+07       80327.4950     0099
   4.9236829   1.90114e+07       80327.4950     0099
   4.9212598   2.21463e+07       80327.4950     0099
   4.9188392   2.06106e+07       80327.4950     0099
   4.9164208   1.98755e+07       80327.4950     0099
   4.9140049   1.81542e+07       80327.4950     0099
   4.9115914   1.91177e+07       80327.4950     0099
   4.9091802   2.75755e+07       80327.4950     0099
   4.9067713   2.09904e+07       80327.4950     0099
   4.9043649   1.97509e+07       80327.4950     0099
   4.9019608   2.07513e+07       80327.4950     0099
   4.8995590   2.76439e+07       80327.4950     0099
   4.8971596   2.93823e+07       80327.4950     0099
   4.8947626   2.39564e+07       80327.4950     0099
   4.8923679   1.97122e+07       80327.4950     0099
   4.8899756   1.97901e+07       80327.4950     0099
   4.8875855   2.60697e+07       80327.4950     0099
   4.8851979   2.45463e+07       80327.4950     0099
   4.8828125   2.09112e+07       80327.4950     0099
   4.8804295   1.98653e+07       80327.4950     0099
   4.8780488   2.35571e+07       80327.4950     0099
   4.8756704   3.13222e+07       80327.4950     0099
   4.8732943   2.40237e+07       80327.4950     0099
   4.8709206   1.95160e+07       80327.4950     0099
   4.8685492   1.98612e+07       80327.4950     0099
   4.8661800   2.52903e+07       80327.4950     0099
   4.8638132   2.50490e+07       80327.4950     0099
   4.8614487   1.92127e+07       80327.4950     0099
   4.8590865   1.83921e+07       80327.4950     0099
   4.8567266   2.17132e+07       80327.4950     0099
   4.8543689   3.18398e+07       80327.4950     0099
   4.8520136   2.20368e+07       80327.4950     0099
   4.8496605   1.97036e+07       80327.4950     0099
   4.8473097   2.20955e+07       80327.4950     0099
   4.8449612   3.10179e+07       80327.4950     0099
   4.8426150   3.46980e+07       80327.4950     0099
   4.8402711   2.74497e+07       80327.4950     0099
   4.8379294   2.35472e+07       80327.4950     0099
   4.8355899   2.60396e+07       80327.4950     0099
   4.8332528   3.30898e+07       80327.4950     0099
   4.8309179   2.16617e+07       80327.4950     0099
   4.8285852   1.88243e+07       80327.4950     0099
   4.8262548   2.09033e+07       80327.4950     0099
   4.8239267   2.99924e+07       80327.4950     0099
