# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.57409e+01       81341.6930     0071
   4.9975012   1.18416e+01       81839.4150     0053
   4.9950050   1.09814e+01       81653.6810     0060
   4.9925112   1.05370e+01       82265.6670     0033
   4.9900200   1.12924e+01       81597.6340     0062
   4.9875312   1.39041e+01       81427.2900     0068
   4.9850449   1.40971e+01       81370.2600     0070
   4.9825610   1.50650e+01       81597.6340     0062
   4.9800797   1.28478e+01       81569.3890     0063
   4.9776008   1.08373e+01       81569.3890     0063
   4.9751244   1.02397e+01       81370.2600     0070
   4.9726504   1.03223e+01       81788.6830     0055
   4.9701789   1.36730e+01       81597.6340     0062
   4.9677099   1.02968e+01       81735.8750     0057
   4.9652433   1.16678e+01       81681.3950     0059
   4.9627792   1.25944e+01       81814.3260     0054
   4.9603175   1.12306e+01       81708.8130     0058
   4.9578582   2.14359e+03       81313.0900     0072
   4.9554014   1.21986e+01       81839.4150     0053
   4.9529470   1.23357e+01       81708.8130     0058
   4.9504950   1.09794e+01       81708.8130     0058
   4.9480455   1.10934e+01       81788.6830     0055
   4.9455984   1.01431e+01       81484.2260     0066
   4.9431537   1.27177e+01       81887.9010     0051
   4.9407115   1.13814e+01       81226.8920     0075
   4.9382716   1.48774e+01       81681.3950     0059
   4.9358342   1.14216e+01       82245.7050     0034
   4.9333991   1.11681e+01       81653.6810     0060
   4.9309665   1.23190e+01       81788.6830     0055
   4.9285362   1.24751e+01       81455.7690     0067
   4.9261084   1.18966e+01       82084.2500     0042
   4.9236829   1.00198e+01       81512.6580     0065
   4.9212598   1.53656e+01       81512.6580     0065
   4.9188392   2.01045e+01       81284.4290     0073
   4.9164208   1.47395e+01       81681.3950     0059
   4.9140049   1.11121e+01       81427.2900     0068
   4.9115914   1.08213e+01       81708.8130     0058
   4.9091802   1.17231e+01       81978.7140     0047
   4.9067713   1.23873e+01       81887.9010     0051
   4.9043649   1.16247e+01       81313.0900     0072
   4.9019608   1.37870e+01       81708.8130     0058
   4.8995590   1.29626e+01       81934.2400     0049
   4.8971596   1.01072e+01       81597.6340     0062
   4.8947626   1.24369e+01       82305.5340     0031
   4.8923679   1.44812e+01       81653.6810     0060
   4.8899756   1.16417e+01       82042.7690     0044
   4.8875855   1.01089e+01       81512.6580     0065
   4.8851979   1.29227e+01       81762.5170     0056
   4.8828125   1.42182e+01       81284.4290     0073
   4.8804295   1.01380e+01       81427.2900     0068
   4.8780488   1.07989e+01       81484.2260     0066
   4.8756704   1.37678e+01       81708.8130     0058
   4.8732943   1.13252e+01       81762.5170     0056
   4.8709206   1.15473e+01       82000.3710     0046
   4.8685492   1.00276e+01       81512.6580     0065
   4.8661800   1.30475e+01       81569.3890     0063
   4.8638132   1.62802e+01       81681.3950     0059
   4.8614487   1.57736e+01       81512.6580     0065
   4.8590865   1.12233e+01       81839.4150     0053
   4.8567266   1.04995e+01       81597.6340     0062
   4.8543689   1.00980e+01       81427.2900     0068
   4.8520136   1.18805e+01       81398.7880     0069
   4.8496605   4.47015e+01       81341.6930     0071
   4.8473097   1.41076e+01       81341.6930     0071
   4.8449612   1.18578e+01       81541.0500     0064
   4.8426150   1.03912e+01       82042.7690     0044
   4.8402711   1.21167e+01       81370.2600     0070
   4.8379294   1.02297e+01       81313.0900     0072
   4.8355899   1.31465e+01       81911.3280     0050
   4.8332528   1.37189e+01       81541.0500     0064
   4.8309179   1.24927e+01       81735.8750     0057
   4.8285852   1.05728e+01       81484.2260     0066
   4.8262548   1.18461e+01       82042.7690     0044
   4.8239267   1.16015e+01       81911.3280     0050
   4.8216008   1.23644e+01       82063.6060     0043
   4.8192771   1.00554e+01       81484.2260     0066
   4.8169557   1.43453e+01       81541.0500     0064
   4.8146365   1.00970e+01       81708.8130     0058
   4.8123195   1.01050e+01       81455.7690     0067
   4.8100048   1.00245e+01       81541.0500     0064
   4.8076923   1.27055e+01       81653.6810     0060
   4.8053820   1.24220e+01       81512.6580     0065
   4.8030740   1.08008e+01       82762.7150     0008
   4.8007681   1.41097e+01       81484.2260     0066
   4.7984645   1.16201e+01       81625.7490     0061
   4.7961631   1.05028e+01       81911.3280     0050
   4.7938639   1.85646e+01       81313.0900     0072
   4.7915668   1.59979e+01       81484.2260     0066
   4.7892720   1.06958e+01       81625.7490     0061
   4.7869794   1.41662e+01       81313.0900     0072
   4.7846890   1.16674e+01       81814.3260     0054
   4.7824008   1.13311e+01       81597.6340     0062
   4.7801147   1.03194e+01       81653.6810     0060
   4.7778309   1.42001e+01       81863.9420     0052
   4.7755492   1.00105e+01       81597.6340     0062
   4.7732697   1.24332e+01       81681.3950     0059
   4.7709924   1.22607e+01       81398.7880     0069
   4.7687172   1.21943e+01       81569.3890     0063
