# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   8.56208e+04       80003.6770     0099
   4.9975012   1.31636e+05       80003.6770     0099
   4.9950050   2.24930e+05       80003.6770     0099
   4.9925112   2.55869e+05       80003.6770     0099
   4.9900200   3.41211e+05       80003.6770     0099
   4.9875312   1.95350e+05       80003.6770     0099
   4.9850449   1.91333e+05       80003.6770     0099
   4.9825610   2.59734e+05       80003.6770     0099
   4.9800797   3.32369e+05       80003.6770     0099
   4.9776008   3.28558e+05       80003.6770     0099
   4.9751244   2.20073e+05       80003.6770     0099
   4.9726504   2.45466e+05       80003.6770     0099
   4.9701789   2.90069e+05       80003.6770     0099
   4.9677099   4.28864e+05       80003.6770     0099
   4.9652433   3.41619e+05       80003.6770     0099
   4.9627792   2.59229e+05       80003.6770     0099
   4.9603175   3.93643e+05       80003.6770     0099
   4.9578582   3.53527e+05       80003.6770     0099
   4.9554014   5.95660e+05       80003.6770     0099
   4.9529470   3.50577e+05       80003.6770     0099
   4.9504950   3.00465e+05       80003.6770     0099
   4.9480455   3.24813e+05       80003.6770     0099
   4.9455984   3.53723e+05       80003.6770     0099
   4.9431537   7.22631e+05       80003.6770     0099
   4.9407115   3.37023e+05       80003.6770     0099
   4.9382716   3.82419e+05       80003.6770     0099
   4.9358342   3.43458e+05       80003.6770     0099
   4.9333991   4.29409e+05       80003.6770     0099
   4.9309665   5.28090e+05       80003.6770     0099
   4.9285362   3.65577e+05       80003.6770     0099
   4.9261084   3.68339e+05       80003.6770     0099
   4.9236829   3.43767e+05       80003.6770     0099
   4.9212598   5.58501e+05       80003.6770     0099
   4.9188392   4.72114e+05       80003.6770     0099
   4.9164208   4.44441e+05       80003.6770     0099
   4.9140049   3.42584e+05       80003.6770     0099
   4.9115914   3.97599e+05       80003.6770     0099
   4.9091802   1.14493e+06       80003.6770     0099
   4.9067713   4.67456e+05       80003.6770     0099
   4.9043649   3.98570e+05       80003.6770     0099
   4.9019608   3.68212e+05       80003.6770     0099
   4.8995590   5.43914e+05       80003.6770     0099
   4.8971596   7.05716e+05       80003.6770     0099
   4.8947626   7.03491e+05       80003.6770     0099
   4.8923679   3.74031e+05       80003.6770     0099
   4.8899756   4.15418e+05       80003.6770     0099
   4.8875855   7.58725e+05       80003.6770     0099
   4.8851979   6.20462e+05       80003.6770     0099
   4.8828125   4.30471e+05       80003.6770     0099
   4.8804295   3.89023e+05       80003.6770     0099
   4.8780488   5.30916e+05       80003.6770     0099
   4.8756704   1.00203e+06       80003.6770     0099
   4.8732943   5.57187e+05       80003.6770     0099
   4.8709206   4.01475e+05       80003.6770     0099
   4.8685492   4.46715e+05       80003.6770     0099
   4.8661800   7.55975e+05       80003.6770     0099
   4.8638132   8.07518e+05       80003.6770     0099
   4.8614487   4.50327e+05       80003.6770     0099
   4.8590865   4.21719e+05       80003.6770     0099
   4.8567266   5.65357e+05       80003.6770     0099
   4.8543689   1.25851e+06       80003.6770     0099
   4.8520136   5.54827e+05       80003.6770     0099
   4.8496605   4.35018e+05       80003.6770     0099
   4.8473097   4.94263e+05       80003.6770     0099
   4.8449612   8.52722e+05       80003.6770     0099
   4.8426150   7.87217e+05       80003.6770     0099
   4.8402711   5.06974e+05       80003.6770     0099
   4.8379294   4.71500e+05       80003.6770     0099
   4.8355899   6.44471e+05       80003.6770     0099
   4.8332528   1.20030e+06       80003.6770     0099
   4.8309179   5.49474e+05       80003.6770     0099
   4.8285852   4.55784e+05       80003.6770     0099
   4.8262548   5.41870e+05       80003.6770     0099
   4.8239267   1.19680e+06       80003.6770     0099
   4.8216008   6.80501e+05       80003.6770     0099
   4.8192771   4.82818e+05       80003.6770     0099
   4.8169557   4.96084e+05       80003.6770     0099
   4.8146365   8.18922e+05       80003.6770     0099
   4.8123195   9.22439e+05       80003.6770     0099
   4.8100048   5.35077e+05       80003.6770     0099
   4.8076923   4.76415e+05       80003.6770     0099
   4.8053820   6.66634e+05       80003.6770     0099
   4.8030740   2.52877e+06       80003.6770     0099
   4.8007681   5.96027e+05       80003.6770     0099
   4.7984645   4.73391e+05       80003.6770     0099
   4.7961631   5.89573e+05       80003.6770     0099
   4.7938639   9.60280e+05       80003.6770     0099
   4.7915668   7.12628e+05       80003.6770     0099
   4.7892720   4.99651e+05       80003.6770     0099
   4.7869794   5.50201e+05       80003.6770     0099
   4.7846890   7.89871e+05       80003.6770     0099
   4.7824008   8.68668e+05       80003.6770     0099
   4.7801147   5.22122e+05       80003.6770     0099
   4.7778309   5.14472e+05       80003.6770     0099
   4.7755492   6.46433e+05       80003.6770     0099
   4.7732697   1.16535e+06       80003.6770     0099
   4.7709924   5.44896e+05       80003.6770     0099
   4.7687172   4.89320e+05       80003.6770     0099
   4.7664442   5.69174e+05       80003.6770     0099
   4.7641734   1.28770e+06       80003.6770     0099
   4.7619048   5.80883e+05       80003.6770     0099
   4.7596383   4.77777e+05       80003.6770     0099
   4.7573739   5.12193e+05       80003.6770     0099
   4.7551117   8.99964e+05       80003.6770     0099
   4.7528517   6.18998e+05       80003.6770     0099
   4.7505938   4.76707e+05       80003.6770     0099
   4.7483381   4.67344e+05       80003.6770     0099
   4.7460845   7.34023e+05       80003.6770     0099
   4.7438330   6.50686e+05       80003.6770     0099
   4.7415837   4.70836e+05       80003.6770     0099
   4.7393365   4.28123e+05       80003.6770     0099
   4.7370914   6.30028e+05       80003.6770     0099
   4.7348485   6.80275e+05       80003.6770     0099
   4.7326077   4.90059e+05       80003.6770     0099
   4.7303690   4.08453e+05       80003.6770     0099
   4.7281324   5.86727e+05       80003.6770     0099
   4.7258979   6.80646e+05       80003.6770     0099
   4.7236656   3.87855e+05       80003.6770     0099
   4.7214353   3.51779e+05       80003.6770     0099
   4.7192072   4.93680e+05       80003.6770     0099
   4.7169811   6.43962e+05       80003.6770     0099
   4.7147572   3.66114e+05       80003.6770     0099
   4.7125353   3.33176e+05       80003.6770     0099
   4.7103156   4.52575e+05       80003.6770     0099
   4.7080979   6.10219e+05       80003.6770     0099
   4.7058824   3.41939e+05       80003.6770     0099
   4.7036689   3.10158e+05       80003.6770     0099
   4.7014575   4.06487e+05       80003.6770     0099
   4.6992481   5.80408e+05       80003.6770     0099
   4.6970409   3.10642e+05       80003.6770     0099
   4.6948357   2.82367e+05       80003.6770     0099
   4.6926326   3.91334e+05       80003.6770     0099
   4.6904315   4.57943e+05       80003.6770     0099
   4.6882325   2.87233e+05       80003.6770     0099
   4.6860356   2.60803e+05       80003.6770     0099
   4.6838407   3.72927e+05       80003.6770     0099
   4.6816479   3.92700e+05       80003.6770     0099
   4.6794572   2.57143e+05       80003.6770     0099
   4.6772685   2.53960e+05       80003.6770     0099
   4.6750818   4.18055e+05       80003.6770     0099
   4.6728972   3.14631e+05       80003.6770     0099
   4.6707146   2.04577e+05       80003.6770     0099
   4.6685341   1.94675e+05       80003.6770     0099
   4.6663556   1.84965e+05       80003.6770     0099
   4.6641791   1.53397e+05       80003.6770     0099
   4.6620047   1.57211e+05       80003.6770     0099
   4.6598322   3.84782e+05       80003.6770     0099
   4.6576619   1.96365e+05       80003.6770     0099
   4.6554935   1.66625e+05       80003.6770     0099
   4.6533271   2.23704e+05       80003.6770     0099
   4.6511628   2.36360e+05       80003.6770     0099
   4.6490005   2.85187e+05       80003.6770     0099
   4.6468401   2.37375e+05       80003.6770     0099
   4.6446818   3.56744e+05       80003.6770     0099
   4.6425255   2.97435e+05       80003.6770     0099
   4.6403712   3.34284e+05       80003.6770     0099
   4.6382189   3.20180e+05       80003.6770     0099
   4.6360686   3.14522e+05       80003.6770     0099
   4.6339203   4.39206e+05       80003.6770     0099
   4.6317740   3.87657e+05       80003.6770     0099
   4.6296296   3.88989e+05       80003.6770     0099
   4.6274873   3.87617e+05       80003.6770     0099
   4.6253469   8.66420e+05       80003.6770     0099
   4.6232085   5.29813e+05       80003.6770     0099
