#wvl [um]      Flux [erg/s/cm]
5              23444.5019        
4.997501249    17574.2769        
4.995004995    22200.0777        
4.992511233    17398.1018        
4.99001996     18174.6993        
4.987531172    21153.5688        
4.985044865    24919.9246        
4.982561036    20638.5316        
4.980079681    21310.8908        
4.977600796    20228.6213        
4.975124378    22949.9409        
4.972650423    17759.0481        
4.970178926    20287.5205        
4.967709886    18044.9672        
4.965243297    19011.1306        
4.962779156    17660.7658        
4.96031746     17588.1326        
4.957858205    25093.0278        
4.955401388    17534.9137        
4.952947003    19453.3401        
4.95049505     18847.8871        
4.948045522    17387.0085        
4.945598417    24633.3758        
4.943153732    17771.8826        
4.940711462    28308.1161        
4.938271605    17985.4384        
4.935834156    17380.9618        
4.933399112    19390.2192        
4.930966469    18215.434         
4.928536225    22201.1171        
4.926108374    17506.5244        
4.923682915    19297.5165        
4.921259843    22000.9132        
4.918839154    26577.4546        
4.916420846    19447.26          
4.914004914    24569.5511        
4.911591356    21459.705         
4.909180167    17375.3463        
4.906771344    17421.8123        
4.904364885    28349.3987        
4.901960784    18191.4686        
4.89955904     17373.7061        
4.897159647    19222.1739        
4.894762604    17369.529         
4.892367906    20570.4581        
4.88997555     17385.0601        
4.887585533    20408.151         
4.885197851    17819.2188        
4.8828125      27574.4513        
4.880429478    23911.6309        
4.87804878     22050.3245        
4.875670405    18445.3721        
4.873294347    18986.2698        
4.870920604    17540.1699        
4.868549172    21415.104         
4.866180049    20025.0295        
4.86381323     17656.6206        
4.861448712    22151.7135        
4.859086492    17424.6638        
4.856726566    19769.2688        
4.854368932    18507.037         
4.852013586    21053.8086        
4.849660524    22516.168         
4.847309743    26193.362         
4.84496124     20742.4619        
4.842615012    17351.7339        
4.840271055    20410.7037        
4.837929366    26570.8874        
4.835589942    17355.8328        
4.833252779    20153.3211        
4.830917874    18170.9883        
4.828585225    22505.614         
4.826254826    17355.0733        
4.823926676    17327.884         
4.821600771    17333.9273        
4.819277108    20044.3973        
4.816955684    22472.3774        
4.814636495    19296.0455        
4.812319538    23172.4017        
4.81000481     19463.5677        
4.807692308    19019.6713        
4.805382028    21178.4823        
4.803073967    17320.6444        
4.800768123    21438.6874        
4.798464491    24879.2501        
