# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.10252e+01       81073.1860     0076
   4.9975012   1.00675e+01       81487.9140     0066
   4.9950050   1.61736e+01       81204.3600     0073
   4.9925112   1.24057e+01       81789.0830     0058
   4.9900200   1.19465e+01       81409.7810     0068
   4.9875312   1.23108e+01       81117.5340     0075
   4.9850449   1.01146e+01       80937.1490     0079
   4.9825610   1.60590e+01       81117.5340     0075
   4.9800797   1.53686e+01       81117.5340     0075
   4.9776008   1.18565e+01       81073.1860     0076
   4.9751244   1.20444e+01       80982.9220     0078
   4.9726504   1.00304e+01       81369.9560     0069
   4.9701789   1.00935e+01       81204.3600     0073
   4.9677099   1.17937e+01       81329.5440     0070
   4.9652433   1.37075e+01       81204.3600     0073
   4.9627792   1.06869e+01       81369.9560     0069
   4.9603175   1.02154e+01       81564.4690     0064
   4.9578582   1.13291e+01       81161.2760     0074
   4.9554014   1.36675e+01       81449.0790     0067
   4.9529470   1.52643e+01       81204.3600     0073
   4.9504950   1.40125e+01       81288.4880     0071
   4.9480455   1.02240e+01       81751.9420     0059
   4.9455984   1.55325e+01       80937.1490     0079
   4.9431537   1.36020e+01       81487.9140     0066
   4.9407115   1.34853e+01       80844.7260     0081
   4.9382716   1.41342e+01       81409.7810     0068
   4.9358342   1.18005e+01       81937.1950     0054
   4.9333991   1.33544e+01       81204.3600     0073
   4.9309665   1.18579e+01       81246.7710     0072
   4.9285362   1.09840e+01       81117.5340     0075
   4.9261084   1.13860e+01       81409.7810     0068
   4.9236829   1.01261e+01       81204.3600     0073
   4.9212598   1.33251e+01       81073.1860     0076
   4.9188392   1.37698e+01       80982.9220     0078
   4.9164208   1.00569e+01       81246.7710     0072
   4.9140049   1.54798e+01       80982.9220     0078
   4.9115914   1.16938e+01       80937.1490     0079
   4.9091802   1.22357e+01       81751.9420     0059
   4.9067713   1.12998e+01       81526.3560     0065
   4.9043649   3.40877e+01       80937.1490     0079
   4.9019608   1.28884e+01       81288.4880     0071
   4.8995590   1.17861e+01       81677.4030     0061
   4.8971596   1.20245e+01       81246.7710     0072
   4.8947626   1.13265e+01       82565.2060     0037
   4.8923679   1.09563e+01       81161.2760     0074
   4.8899756   1.04592e+01       81602.3180     0063
   4.8875855   1.03193e+01       81117.5340     0075
   4.8851979   1.16655e+01       81369.9560     0069
   4.8828125   1.39242e+01       80937.1490     0079
   4.8804295   1.26606e+01       80937.1490     0079
   4.8780488   1.68562e+01       81073.1860     0076
   4.8756704   1.27983e+01       81288.4880     0071
   4.8732943   1.01323e+01       81161.2760     0074
   4.8709206   1.22976e+01       81369.9560     0069
   4.8685492   1.51632e+01       81117.5340     0075
   4.8661800   1.18819e+01       81117.5340     0075
   4.8638132   1.51434e+01       81487.9140     0066
   4.8614487   1.42941e+01       81028.2930     0077
   4.8590865   1.31946e+01       81526.3560     0065
   4.8567266   1.31834e+01       81161.2760     0074
   4.8543689   1.72465e+01       81449.0790     0067
   4.8520136   1.04881e+01       81028.2930     0077
   4.8496605   1.40312e+01       81073.1860     0076
   4.8473097   1.17068e+01       81028.2930     0077
   4.8449612   1.29344e+01       81028.2930     0077
   4.8426150   1.19374e+01       81639.9470     0062
   4.8402711   1.26370e+01       81161.2760     0074
   4.8379294   1.68215e+01       81028.2930     0077
   4.8355899   1.17580e+01       81602.3180     0063
   4.8332528   1.33573e+01       81204.3600     0073
   4.8309179   1.01751e+01       81204.3600     0073
   4.8285852   1.72904e+01       81073.1860     0076
   4.8262548   1.00180e+01       81602.3180     0063
   4.8239267   1.21807e+01       81937.1950     0054
   4.8216008   1.12920e+01       81677.4030     0061
   4.8192771   1.36542e+01       81204.3600     0073
   4.8169557   1.52668e+01       81028.2930     0077
   4.8146365   1.21669e+01       81246.7710     0072
   4.8123195   1.29688e+01       81028.2930     0077
   4.8100048   1.15159e+01       81246.7710     0072
   4.8076923   1.22355e+01       81117.5340     0075
   4.8053820   1.14977e+01       81117.5340     0075
   4.8030740   1.12834e+01       82971.5770     0026
   4.8007681   1.38438e+01       81117.5340     0075
   4.7984645   1.29297e+01       80798.2310     0082
   4.7961631   1.07465e+01       81677.4030     0061
   4.7938639   1.23260e+01       81028.2930     0077
   4.7915668   1.62964e+01       81073.1860     0076
   4.7892720   1.02410e+01       81288.4880     0071
   4.7869794   1.92914e+01       80982.9220     0078
   4.7846890   1.31774e+01       81409.7810     0068
   4.7824008   1.01290e+01       81117.5340     0075
   4.7801147   1.35881e+01       81246.7710     0072
   4.7778309   1.30827e+01       81449.0790     0067
   4.7755492   1.30913e+01       81161.2760     0074
   4.7732697   9.85028e+01       81161.2760     0074
   4.7709924   1.60506e+01       80982.9220     0078
   4.7687172   1.18056e+01       81073.1860     0076
   4.7664442   1.07764e+01       81117.5340     0075
   4.7641734   1.28141e+01       81602.3180     0063
   4.7619048   1.27431e+01       81204.3600     0073
   4.7596383   1.21125e+01       81161.2760     0074
   4.7573739   1.01785e+01       81117.5340     0075
   4.7551117   1.05651e+01       81204.3600     0073
   4.7528517   6.24461e+01       80891.0570     0080
   4.7505938   1.32719e+01       81117.5340     0075
   4.7483381   1.24163e+01       81028.2930     0077
   4.7460845   1.20662e+01       81028.2930     0077
   4.7438330   9.29976e+01       80891.0570     0080
   4.7415837   1.66953e+01       81161.2760     0074
   4.7393365   1.36688e+01       81028.2930     0077
   4.7370914   8.77671e+01       80937.1490     0079
   4.7348485   1.16942e+01       81161.2760     0074
   4.7326077   1.51847e+01       81564.4690     0064
   4.7303690   1.28832e+01       81246.7710     0072
   4.7281324   1.34599e+01       81602.3180     0063
   4.7258979   1.28137e+01       81409.7810     0068
   4.7236656   1.26355e+01       80982.9220     0078
   4.7214353   1.35529e+01       81028.2930     0077
   4.7192072   1.15540e+01       81526.3560     0065
   4.7169811   1.23753e+01       81329.5440     0070
   4.7147572   1.30182e+01       81073.1860     0076
   4.7125353   1.64528e+01       81073.1860     0076
   4.7103156   1.12013e+01       81028.2930     0077
   4.7080979   4.28063e+01       81073.1860     0076
   4.7058824   1.07920e+01       81117.5340     0075
   4.7036689   1.84240e+01       81028.2930     0077
   4.7014575   1.38378e+01       81028.2930     0077
   4.6992481   1.17274e+01       81863.2020     0056
   4.6970409   1.29112e+01       80891.0570     0080
   4.6948357   1.57744e+01       81028.2930     0077
   4.6926326   1.03887e+01       82158.8840     0048
   4.6904315   1.17736e+01       81028.2930     0077
   4.6882325   1.06214e+01       81204.3600     0073
   4.6860356   1.34205e+01       80937.1490     0079
   4.6838407   1.58071e+01       80982.9220     0078
   4.6816479   1.62549e+01       81117.5340     0075
   4.6794572   1.17713e+01       81073.1860     0076
   4.6772685   1.09826e+01       81329.5440     0070
   4.6750818   1.00238e+01       81369.9560     0069
   4.6728972   1.24097e+01       81117.5340     0075
   4.6707146   1.10362e+01       81161.2760     0074
   4.6685341   1.98449e+01       80937.1490     0079
   4.6663556   1.66585e+01       81117.5340     0075
   4.6641791   1.25618e+01       81369.9560     0069
   4.6620047   1.16154e+01       81028.2930     0077
   4.6598322   1.10223e+01       82565.2060     0037
   4.6576619   1.25389e+01       81329.5440     0070
   4.6554935   1.24516e+01       81073.1860     0076
   4.6533271   1.55592e+01       81246.7710     0072
   4.6511628   2.65519e+01       80937.1490     0079
   4.6490005   1.20634e+01       81161.2760     0074
   4.6468401   1.14471e+01       81073.1860     0076
   4.6446818   1.41920e+01       81449.0790     0067
   4.6425255   1.31665e+01       81487.9140     0066
   4.6403712   1.04036e+01       81409.7810     0068
   4.6382189   2.04573e+01       80982.9220     0078
   4.6360686   1.40859e+01       81028.2930     0077
   4.6339203   2.17346e+01       81073.1860     0076
   4.6317740   1.08982e+01       81409.7810     0068
   4.6296296   1.23529e+01       81526.3560     0065
   4.6274873   1.46101e+01       80937.1490     0079
   4.6253469   1.09619e+01       81714.7160     0060
   4.6232085   1.27559e+01       81409.7810     0068
   4.6210721   1.09530e+01       80982.9220     0078
   4.6189376   1.41548e+01       81028.2930     0077
   4.6168052   5.80497e+01       80982.9220     0078
   4.6146747   1.74399e+01       81073.1860     0076
   4.6125461   1.19363e+01       80937.1490     0079
   4.6104195   7.24378e+01       81117.5340     0075
   4.6082949   1.47230e+01       81117.5340     0075
   4.6061723   1.40995e+01       81073.1860     0076
