#wvl [um]        modulation
5                0.0240424516      
4.99750125       0.0243867167      
4.995005         0.0242921664      
4.99251123       0.024679604       
4.99001996       0.0242031337      
4.98753117       0.0241121904      
4.98504487       0.0240560136      
4.98256104       0.0242265361      
4.98007968       0.0241872633      
4.9776008        0.0241950426      
4.97512438       0.0240660639      
4.97265042       0.0243385286      
4.97017893       0.0241930032      
4.96770989       0.0243017505      
4.9652433        0.0242695567      
4.96277916       0.0243744157      
4.96031746       0.0243071204      
4.95785821       0.024003916       
4.95540139       0.0243815399      
4.952947         0.0242888765      
4.95049505       0.0242690546      
4.94804552       0.0243495631      
4.94559842       0.0241151703      
4.94315373       0.0244361239      
4.94071146       0.0239546061      
4.9382716        0.0243260222      
4.93583416       0.0246886213      
4.93339911       0.024248892       
4.93096647       0.0243534095      
4.92853622       0.0240995669      
4.92610837       0.0245549136      
4.92368291       0.0241721762      
4.92125984       0.024146567       
4.91883915       0.0239819323      
4.91642085       0.0242706147      
4.91400491       0.0240776254      
4.91159136       0.024314835       
4.90918017       0.0245271576      
4.90677134       0.0244236333      
4.90436488       0.0239755647      
4.90196078       0.0242897328      
4.89955904       0.0244719046      
4.89715965       0.0242278667      
4.8947626        0.0247847011      
4.89236791       0.0242532888      
4.88997555       0.0245447549      
4.88758553       0.0241783204      
4.88519785       0.0243314767      
4.8828125        0.0239635524      
4.88042948       0.0241403933      
4.87804878       0.0241881185      
4.8756704        0.024303168       
4.87329435       0.024337986       
4.8709206        0.0245018976      
4.86854917       0.024154919       
4.86618005       0.0242296232      
4.86381323       0.0243056543      
4.86144871       0.0241534538      
4.85908649       0.0244263053      
4.85672657       0.0242135361      
4.85436893       0.0240988105      
4.85201359       0.0241330618      
4.84966052       0.023974343       
4.84730974       0.0240437867      
4.84496124       0.024216043       
4.84261501       0.024548794       
4.84027106       0.0241467034      
4.83792937       0.0239989358      
4.83558994       0.0244456287      
4.83325278       0.0241605772      
4.83091787       0.024314066       
4.82858522       0.0241134987      
4.82625483       0.0245463974      
4.82392668       0.0244806459      
4.82160077       0.024570303       
4.81927711       0.0241369389      
4.81695568       0.0241638661      
4.81463649       0.024271014       
4.81231954       0.0241127369      
4.81000481       0.0242543159      
4.80769231       0.0242665308      
4.80538203       0.0241629082      
4.80307397       0.0249630686      
4.80076812       0.0241434257      
4.79846449       0.0242786298      
4.79616307       0.0244750834      
4.79386385       0.0240887735      
4.79156684       0.0241266111      
4.78927203       0.0242781661      
4.78697942       0.0240352099      
4.784689         0.0243816523      
4.78240077       0.0242211566      
4.78011472       0.0242554078      
4.77783086       0.0244081656      
4.77554919       0.024179026       
4.77326969       0.02430787        
4.77099237       0.0240676495      
4.76871722       0.0241736184      
4.76644423       0.0241791648      
4.76417342       0.0239587569      
4.76190476       0.024232115       
4.75963827       0.0242227074      
4.75737393       0.024116639       
4.75511175       0.0244998464      
4.75285171       0.0241743917      
4.75059382       0.0243048628      
4.74833808       0.024150757       
4.74608448       0.0240624483      
4.74383302       0.0241505214      
4.74158369       0.0241875715      
4.73933649       0.0243803228      
4.73709143       0.0240260289      
4.73484848       0.0242588671      
4.73260767       0.0243651739      
4.73036897       0.0242590151      
4.72813239       0.0245124244      
4.72589792       0.0244472411      
4.72366556       0.024207748       
4.72143532       0.0241244408      
4.71920717       0.024408167       
4.71698113       0.0244280925      
4.71475719       0.0241242522      
4.71253534       0.024138785       
4.71031559       0.0240679401      
4.70809793       0.024146012       
4.70588235       0.0243880645      
4.70366886       0.0240087407      
4.70145745       0.0241421307      
4.69924812       0.024455368       
4.69704086       0.0239780702      
4.69483568       0.0241490512      
4.69263257       0.0247356258      
4.69043152       0.0241078395      
4.68823254       0.0240566812      
4.68603561       0.0239821134      
4.68384075       0.0240912221      
4.68164794       0.0239918044      
4.67945718       0.0241150329      
4.67726848       0.0242634092      
4.67508181       0.0240875253      
4.6728972        0.0241215514      
4.67071462       0.0241508429      
4.66853408       0.0240187407      
4.66635558       0.0241243548      
4.6641791        0.0243053695      
4.66200466       0.0240964259      
