# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.01256e+07       80102.2240     0099
   4.9975012   1.46177e+07       80102.2240     0099
   4.9950050   1.80913e+07       80102.2240     0099
   4.9925112   1.83177e+07       80102.2240     0099
   4.9900200   1.92087e+07       80102.2240     0099
   4.9875312   1.47646e+07       80102.2240     0099
   4.9850449   1.47216e+07       80102.2240     0099
   4.9825610   1.73872e+07       80102.2240     0099
   4.9800797   1.96515e+07       80102.2240     0099
   4.9776008   1.88300e+07       80102.2240     0099
   4.9751244   1.58048e+07       80102.2240     0099
   4.9726504   1.79871e+07       80102.2240     0099
   4.9701789   2.14523e+07       80102.2240     0099
   4.9677099   2.48251e+07       80102.2240     0099
   4.9652433   2.19469e+07       80102.2240     0099
   4.9627792   1.89639e+07       80102.2240     0099
   4.9603175   2.20267e+07       80102.2240     0099
   4.9578582   2.37234e+07       80102.2240     0099
   4.9554014   2.80993e+07       80102.2240     0099
   4.9529470   2.25891e+07       80102.2240     0099
   4.9504950   2.01854e+07       80102.2240     0099
   4.9480455   1.99499e+07       80102.2240     0099
   4.9455984   1.98346e+07       80102.2240     0099
   4.9431537   2.69174e+07       80102.2240     0099
   4.9407115   1.90228e+07       80102.2240     0099
   4.9382716   2.09693e+07       80102.2240     0099
   4.9358342   2.14772e+07       80102.2240     0099
   4.9333991   2.26642e+07       80102.2240     0099
   4.9309665   2.40262e+07       80102.2240     0099
   4.9285362   2.11575e+07       80102.2240     0099
   4.9261084   2.16587e+07       80102.2240     0099
   4.9236829   1.95071e+07       80102.2240     0099
   4.9212598   2.29417e+07       80102.2240     0099
   4.9188392   2.10616e+07       80102.2240     0099
   4.9164208   2.13726e+07       80102.2240     0099
   4.9140049   1.88681e+07       80102.2240     0099
   4.9115914   1.92146e+07       80102.2240     0099
   4.9091802   3.02589e+07       80102.2240     0099
   4.9067713   2.16864e+07       80102.2240     0099
   4.9043649   2.02526e+07       80102.2240     0099
   4.9019608   1.89970e+07       80102.2240     0099
   4.8995590   2.46147e+07       80102.2240     0099
   4.8971596   2.79412e+07       80102.2240     0099
   4.8947626   2.48844e+07       80102.2240     0099
   4.8923679   1.87883e+07       80102.2240     0099
   4.8899756   1.84100e+07       80102.2240     0099
   4.8875855   2.55210e+07       80102.2240     0099
   4.8851979   2.45253e+07       80102.2240     0099
   4.8828125   2.02776e+07       80102.2240     0099
   4.8804295   1.84186e+07       80102.2240     0099
   4.8780488   2.20819e+07       80102.2240     0099
   4.8756704   3.17966e+07       80102.2240     0099
   4.8732943   2.38972e+07       80102.2240     0099
   4.8709206   1.83545e+07       80102.2240     0099
   4.8685492   1.85771e+07       80102.2240     0099
   4.8661800   2.52058e+07       80102.2240     0099
   4.8638132   2.60031e+07       80102.2240     0099
   4.8614487   1.82324e+07       80102.2240     0099
   4.8590865   1.71641e+07       80102.2240     0099
   4.8567266   2.07136e+07       80102.2240     0099
   4.8543689   3.26321e+07       80102.2240     0099
   4.8520136   2.05097e+07       80102.2240     0099
   4.8496605   1.72584e+07       80102.2240     0099
   4.8473097   1.89431e+07       80102.2240     0099
   4.8449612   2.70597e+07       80102.2240     0099
   4.8426150   2.86995e+07       80102.2240     0099
   4.8402711   2.21209e+07       80102.2240     0099
   4.8379294   1.99666e+07       80102.2240     0099
   4.8355899   2.33318e+07       80102.2240     0099
   4.8332528   3.23566e+07       80102.2240     0099
   4.8309179   1.91640e+07       80102.2240     0099
   4.8285852   1.65762e+07       80102.2240     0099
   4.8262548   1.84032e+07       80102.2240     0099
   4.8239267   2.89166e+07       80102.2240     0099
   4.8216008   2.07310e+07       80102.2240     0099
   4.8192771   1.66898e+07       80102.2240     0099
   4.8169557   1.73208e+07       80102.2240     0099
   4.8146365   2.42855e+07       80102.2240     0099
   4.8123195   2.60831e+07       80102.2240     0099
   4.8100048   1.84469e+07       80102.2240     0099
   4.8076923   1.64521e+07       80102.2240     0099
   4.8053820   2.02500e+07       80102.2240     0099
   4.8030740   4.42318e+07       80102.2240     0099
   4.8007681   1.84606e+07       80102.2240     0099
   4.7984645   1.56786e+07       80102.2240     0099
   4.7961631   1.85114e+07       80102.2240     0099
   4.7938639   2.53875e+07       80102.2240     0099
   4.7915668   2.14201e+07       80102.2240     0099
   4.7892720   1.70081e+07       80102.2240     0099
   4.7869794   1.83227e+07       80102.2240     0099
   4.7846890   2.41197e+07       80102.2240     0099
   4.7824008   2.32278e+07       80102.2240     0099
   4.7801147   1.71063e+07       80102.2240     0099
   4.7778309   1.70367e+07       80102.2240     0099
   4.7755492   1.86507e+07       80102.2240     0099
   4.7732697   2.60299e+07       80102.2240     0099
   4.7709924   1.58179e+07       80102.2240     0099
   4.7687172   1.51183e+07       80102.2240     0099
   4.7664442   1.64670e+07       80102.2240     0099
   4.7641734   2.71471e+07       80102.2240     0099
   4.7619048   1.66186e+07       80102.2240     0099
   4.7596383   1.48110e+07       80102.2240     0099
   4.7573739   1.52146e+07       80102.2240     0099
   4.7551117   2.15310e+07       80102.2240     0099
   4.7528517   1.71043e+07       80102.2240     0099
   4.7505938   1.47729e+07       80102.2240     0099
   4.7483381   1.40319e+07       80102.2240     0099
   4.7460845   1.77228e+07       80102.2240     0099
   4.7438330   1.62891e+07       80102.2240     0099
   4.7415837   1.35973e+07       80102.2240     0099
   4.7393365   1.25486e+07       80102.2240     0099
   4.7370914   1.57639e+07       80102.2240     0099
   4.7348485   1.70463e+07       80102.2240     0099
   4.7326077   1.40811e+07       80102.2240     0099
   4.7303690   1.35056e+07       80102.2240     0099
   4.7281324   1.80252e+07       80102.2240     0099
   4.7258979   1.80653e+07       80102.2240     0099
   4.7236656   1.24000e+07       80102.2240     0099
   4.7214353   1.14948e+07       80102.2240     0099
   4.7192072   1.41147e+07       80102.2240     0099
   4.7169811   1.63061e+07       80102.2240     0099
   4.7147572   1.18440e+07       80102.2240     0099
   4.7125353   1.21164e+07       80102.2240     0099
   4.7103156   1.43153e+07       80102.2240     0099
   4.7080979   1.64235e+07       80102.2240     0099
   4.7058824   1.17483e+07       80102.2240     0099
   4.7036689   1.10289e+07       80102.2240     0099
   4.7014575   1.23363e+07       80102.2240     0099
   4.6992481   1.51190e+07       80102.2240     0099
   4.6970409   1.12443e+07       80102.2240     0099
   4.6948357   1.06084e+07       80102.2240     0099
   4.6926326   1.22871e+07       80102.2240     0099
   4.6904315   1.37465e+07       80102.2240     0099
   4.6882325   1.10675e+07       80102.2240     0099
   4.6860356   1.08158e+07       80102.2240     0099
   4.6838407   1.34159e+07       80102.2240     0099
   4.6816479   1.49121e+07       80102.2240     0099
   4.6794572   1.20686e+07       80102.2240     0099
   4.6772685   1.18100e+07       80102.2240     0099
   4.6750818   1.54439e+07       80102.2240     0099
   4.6728972   1.36699e+07       80102.2240     0099
   4.6707146   1.08023e+07       80102.2240     0099
   4.6685341   1.09388e+07       80102.2240     0099
   4.6663556   1.08690e+07       80102.2240     0099
   4.6641791   9.70340e+06       80102.2240     0099
   4.6620047   1.05034e+07       80102.2240     0099
   4.6598322   1.36183e+07       80102.2240     0099
   4.6576619   1.10191e+07       80102.2240     0099
   4.6554935   1.05973e+07       80102.2240     0099
   4.6533271   1.25248e+07       80102.2240     0099
   4.6511628   1.24143e+07       80102.2240     0099
   4.6490005   1.29640e+07       80102.2240     0099
   4.6468401   1.29122e+07       80102.2240     0099
   4.6446818   1.46855e+07       80102.2240     0099
   4.6425255   1.30672e+07       80102.2240     0099
   4.6403712   1.39052e+07       80102.2240     0099
   4.6382189   1.45527e+07       80102.2240     0099
   4.6360686   1.41258e+07       80102.2240     0099
   4.6339203   1.56120e+07       80102.2240     0099
   4.6317740   1.51387e+07       80102.2240     0099
   4.6296296   1.56508e+07       80102.2240     0099
   4.6274873   1.57395e+07       80102.2240     0099
   4.6253469   2.35056e+07       80102.2240     0099
   4.6232085   1.88981e+07       80102.2240     0099
   4.6210721   1.62599e+07       80102.2240     0099
   4.6189376   1.73570e+07       80102.2240     0099
   4.6168052   1.99264e+07       80102.2240     0099
   4.6146747   1.75681e+07       80102.2240     0099
   4.6125461   1.63776e+07       80102.2240     0099
   4.6104195   2.21864e+07       80102.2240     0099
   4.6082949   1.98810e+07       80102.2240     0099
   4.6061723   1.67666e+07       80102.2240     0099
   4.6040516   1.93310e+07       80102.2240     0099
   4.6019328   2.60780e+07       80102.2240     0099
   4.5998160   1.80469e+07       80102.2240     0099
   4.5977011   1.83539e+07       80102.2240     0099
   4.5955882   2.67225e+07       80102.2240     0099
   4.5934773   2.09353e+07       80102.2240     0099
   4.5913682   1.83227e+07       80102.2240     0099
   4.5892611   2.27170e+07       80102.2240     0099
   4.5871560   2.57708e+07       80102.2240     0099
   4.5850527   1.94052e+07       80102.2240     0099
   4.5829514   2.11750e+07       80102.2240     0099
   4.5808520   2.72425e+07       80102.2240     0099
   4.5787546   2.19019e+07       80102.2240     0099
   4.5766590   2.17447e+07       80102.2240     0099
   4.5745654   2.47543e+07       80102.2240     0099
   4.5724737   2.71897e+07       80102.2240     0099
   4.5703839   2.25206e+07       80102.2240     0099
   4.5682960   2.36022e+07       80102.2240     0099
   4.5662100   3.98225e+07       80102.2240     0099
   4.5641260   2.37385e+07       80102.2240     0099
   4.5620438   2.30410e+07       80102.2240     0099
   4.5599635   2.70890e+07       80102.2240     0099
   4.5578851   2.58562e+07       80102.2240     0099
   4.5558087   2.25592e+07       80102.2240     0099
   4.5537341   2.43996e+07       80102.2240     0099
   4.5516614   2.95183e+07       80102.2240     0099
   4.5495905   2.28918e+07       80102.2240     0099
   4.5475216   2.35520e+07       80102.2240     0099
   4.5454545   3.73290e+07       80102.2240     0099
   4.5433894   2.35980e+07       80102.2240     0099
   4.5413261   2.31264e+07       80102.2240     0099
   4.5392646   3.42131e+07       80102.2240     0099
   4.5372051   2.48292e+07       80102.2240     0099
   4.5351474   2.35139e+07       80102.2240     0099
   4.5330916   3.14578e+07       80102.2240     0099
   4.5310376   2.61176e+07       80102.2240     0099
   4.5289855   2.32739e+07       80102.2240     0099
   4.5269353   2.85153e+07       80102.2240     0099
   4.5248869   2.73573e+07       80102.2240     0099
   4.5228403   2.40016e+07       80102.2240     0099
   4.5207957   2.68103e+07       80102.2240     0099
   4.5187528   2.81614e+07       80102.2240     0099
   4.5167118   2.39740e+07       80102.2240     0099
   4.5146727   2.49438e+07       80102.2240     0099
   4.5126354   2.90719e+07       80102.2240     0099
   4.5105999   2.39044e+07       80102.2240     0099
   4.5085663   2.45993e+07       80102.2240     0099
   4.5065345   3.05815e+07       80102.2240     0099
   4.5045045   2.33549e+07       80102.2240     0099
