# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.44954e+01       81372.0950     0071
   4.9975012   1.12419e+01       81916.9650     0052
   4.9950050   1.04233e+01       81662.0830     0061
   4.9925112   1.13065e+01       82339.3210     0034
   4.9900200   1.28195e+01       81633.2860     0062
   4.9875312   1.10911e+01       81488.8450     0067
   4.9850449   1.10190e+01       81401.4550     0070
   4.9825610   1.15399e+01       81633.2860     0062
   4.9800797   1.40195e+01       81575.6160     0064
   4.9776008   1.17457e+01       81575.6160     0064
   4.9751244   1.35600e+01       81401.4550     0070
   4.9726504   1.31494e+01       81833.8700     0055
   4.9701789   1.02941e+01       81633.2860     0062
   4.9677099   1.08455e+01       81776.9860     0057
   4.9652433   1.00620e+01       81719.6150     0059
   4.9627792   1.03125e+01       81889.6710     0053
   4.9603175   1.16547e+01       81776.9860     0057
   4.9578582   1.27701e+03       81342.5830     0072
   4.9554014   1.19729e+01       81916.9650     0052
   4.9529470   1.29728e+01       81719.6150     0059
   4.9504950   1.35778e+01       81719.6150     0059
   4.9480455   1.30257e+01       81889.6710     0053
   4.9455984   1.21655e+01       81488.8450     0067
   4.9431537   1.01567e+01       81943.7580     0051
   4.9407115   1.10560e+01       81252.6440     0075
   4.9382716   1.24084e+01       81748.3340     0058
   4.9358342   1.23048e+01       82339.3210     0034
   4.9333991   1.27347e+01       81662.0830     0061
   4.9309665   1.14454e+01       81833.8700     0055
   4.9285362   1.47735e+01       81459.8040     0068
   4.9261084   1.09385e+01       82139.0510     0043
   4.9236829   1.10047e+01       81517.8180     0066
   4.9212598   1.13595e+01       81546.7390     0065
   4.9188392   2.62389e+01       81312.8650     0073
   4.9164208   1.08029e+01       81719.6150     0059
   4.9140049   1.21558e+01       81430.6810     0069
   4.9115914   1.06778e+01       81719.6150     0059
   4.9091802   1.08881e+01       82093.0710     0045
   4.9067713   1.22505e+01       81970.0210     0050
   4.9043649   1.38273e+01       81312.8650     0073
   4.9019608   1.24920e+01       81748.3340     0058
   4.8995590   1.06675e+01       82045.4270     0047
   4.8971596   1.27698e+01       81633.2860     0062
   4.8947626   1.04931e+01       82521.4900     0026
   4.8923679   1.56820e+01       81662.0830     0061
   4.8899756   1.14309e+01       82116.2350     0044
   4.8875855   1.20338e+01       81546.7390     0065
   4.8851979   1.17297e+01       81833.8700     0055
   4.8828125   1.77338e+01       81312.8650     0073
